year USA     AUS    AUT   CA     DEN   FRA    BEL    GBR    ITA    JPN    NOR    SWE   KOR   NLD
1960 3206354 157411 80570 263862 68117 525384 107474 622141 493997 574859 59380 104309 38433 163562
1961 3281057 156627 84850 272134 72123 550628 112825 639328 534536 642998 62997 110235 40681 168306
1962 3479888 165396 86885 291167 76100 588468 118705 648672 567702 698275 64692 114930 41550 175543
1963 3632016 175398 90429 306618 76450 624954 123871 679012 599551 759635 67143 121053 45346 181336
1964 3842183 186901 95888 326471 83281 665117 132488 718939 616317 844605 70508 129311 49732 196931
1965 4088852 195868 98629 347260 87277 697099 137206 737564 636464 892520 74233 134252 52587 207368
1966 4355358 201810 104195 370336 89334 733425 141544 754242 674552 983989 77043 137059 58992 213174
1967 4465430 215544 107328 381132 94377 769336 147030 775481 722977 1093053 81866 141672 62472 224473
1968 4681605 227466 112129 399731 99726 803574 153208 810934 770292 1223224 83713 146827 69553 239512
1969 4827044 243389 119166 419849 106187 860740 163381 830366 817265 1369438 87485 154181 79184 255799
1970 4836226 259298 127654 432572 107777 914109 173776 851620 860667 1510249 89232 164162 86121 271506
1971 4998556 268803 134181 450384 111012 962842 180155 871492 876315 1576536 94243 165713 95113 283227
1972 5264156 275051 142511 474912 115647 1006536 189665 905152 908655 1709178 99204 169506 101306 293237
1973 5569091 287716 149476 507986 119994 1073074 200876 972557 973405 1846470 103647 176232 116287 309201
1974 5538371 292463 155371 526735 119015 1123417 209090 961655 1026943 1823846 107604 181868 127196 319832
1975 5526695 298830 154808 536338 117561 1110794 205981 956741 1005479 1880231 113012 186511 136529 319840
1976 5823128 309995 161893 564223 124725 1159515 217461 981315 1077123 1954971 119558 188484 154900 334092
1977 6090882 315437 170002 583735 127193 1200942 218493 1005017 1104703 2040800 124508 185476 173206 342513
1978 6430618 322632 169754 606814 130086 1247724 224472 1037984 1140497 2148392 129306 188724 191042 351748
1979 6631603 335103 179016 629903 135225 1290762 229262 1067464 1208461 2266209 134941 195971 207070 358833
1980 6613352 345274 182209 643525 134731 1311889 239150 1046085 1249911 2330061 141019 199303 203155 363649
1981 6781237 359597 181946 666069 133536 1324734 238482 1032925 1260463 2427384 143201 198900 218196 360799
1982 6649514 359863 185488 647026 138496 1356758 239901 1056129 1265676 2509348 143380 201273 236288 356322
1983 6949915 358594 190965 664611 142169 1373472 240649 1096610 1280474 2586152 148925 204916 265072 363698
1984 7449373 380698 191081 703254 148091 1394000 246584 1128886 1321781 2701595 157702 213668 291206 374833
1985 7757596 401781 195775 736870 154051 1416447 250657 1172560 1358765 2872697 166146 218347 312962 384504
1986 8026370 411287 200310 754708 161675 1448402 255226 1223008 1397626 2954025 172854 224594 351268 395220
1987 8283127 431465 203007 786808 162143 1482996 261114 1286068 1442237 3075360 175931 232358 394354 402852
1988 8623657 450130 208831 825947 161912 1552218 273446 1357692 1502730 3295146 175627 238554 440338 416716
1989 8931766 470212 216948 847582 162840 1617221 282933 1392915 1553648 3472101 177379 245184 470069 435136
1990 9099424 477263 226376 849218 165457 1659596 291810 1418287 1585538 3665580 180796 247661 513774 453338
1991 9078113 473125 234167 831451 167609 1676845 297159 1393067 1609856 3787436 186411 244884 563676 464395
1992 9386109 485485 239069 838728 170920 1701628 301707 1405015 1622299 3818457 192979 241937 596173 472318
1993 9653862 505163 240328 858342 170767 1690272 298805 1448444 1613960 3824989 198356 236958 633907 478258
1994 10047104 529032 246101 899578 180202 1728259 308447 1514732 1651019 3858020 208376 246701 689512 492420
1995 10299780 546931 252668 924843 185726 1763642 315482 1562892 1698764 3932956 217099 256444 751090 507763
1996 10684974 568857 258900 939814 190990 1782471 319976 1611553 1719016 4035609 228171 260271 805063 525060
1997 11161194 593032 264878 979530 197099 1821397 331927 1673763 1746897 4100002 240475 267578 851489 547525
1998 11647276 622353 274905 1019665 201357 1882929 338329 1732590 1768382 4017873 246927 278713 802836 569007
1999 12209536 648296 284635 1076071 206513 1944914 350305 1787456 1788996 4009864 251929 291587 888985 595661
2000 12714776 668641 295073 1132385 213800 2016489 363160 1863163 1859766 4100386 260125 304809 967196 619136
2001 12852054 685353 297604 1152584 215307 2053505 366094 1916923 1894892 4114962 265302 308637 1005627 631060
2002 13085119 712473 302643 1186292 216310 2072579 371072 1963560 1903622 4126876 269287 316292 1077529 631542
2003 13417601 735401 305265 1208607 217140 2091222 374065 2038467 1899724 4196419 271935 323599 1107730 633661
2004 13882939 765192 313170 1246315 222127 2144437 386288 2097749 1934591 4295485 282707 337169 1158896 647833
2005 14309281 788802 320687 1283942 227558 2183605 393085 2155946 1954628 4351443 290026 347956 1204756 661091
2006 14689600 810721 332456 1320188 235283 2237471 403770 2212010 1998097 4425109 297137 362918 1267146 683529
2007 14970616 848145 344777 1349232 239008 2288602 415559 2292365 2034257 4522116 305020 375097 1331845 710328
2008 14920172 869146 349591 1358525 237135 2286756 419588 2270178 2011087 4475012 305127 372661 1362455 723143
2009 14462202 880883 336272 1320897 223301 2214790 407836 2179951 1898677 4227680 300040 353871 1366808 696621
2010 14808060 902684 344055 1363363 226194 2251623 416962 2219175 1938471 4415672 302070 375792 1453194 707970
2011 15075700 922870 354235 1396160 227935 2289849 424966 2236004 1950050 4383325 306441 390407 1506004 714997
