year mon newor totinv unfill vship
1992 2 114563 240930 468449 119997
1992 3 119920 242093 466047 124933
1992 4 124613 241603 467153 126135
1992 5 125664 240964 467931 127584
1992 6 122958 240250 465466 128069
1992 7 122702 239258 461375 129491
1992 8 120348 240113 456462 127844
1992 9 120597 239789 453348 126380
1992 10 127727 238663 455940 127910
1992 11 122512 237825 452192 128971
1992 12 126277 237914 451312 130109
1993 1 121319 235241 445486 129602
1993 2 128864 235475 445919 131217
1993 3 126650 237327 443677 131650
1993 4 127560 237903 442521 131447
1993 5 126689 238057 438758 133225
1993 6 130061 238171 438017 134008
1993 7 128315 237415 437891 131279
1993 8 129376 237295 438067 132207
1993 9 127234 238980 434249 134121
1993 10 133181 238555 432356 137899
1993 11 130927 238945 428699 137775
1993 12 133513 238766 425915 139542
1994 1 138471 240186 426431 141408
1994 2 137128 240793 425381 141699
1994 3 136392 241540 424128 141259
1994 4 140400 242139 424441 143926
1994 5 142655 244015 425111 145825
1994 6 145123 245207 427877 146178
1994 7 144965 246985 428463 148469
1994 8 146018 248099 428787 149771
1994 9 145601 248913 430311 148091
1994 10 149724 250016 433381 150780
1994 11 150258 251541 434845 153087
1994 12 152584 253104 435131 156659
1995 1 150319 254705 432815 157269
1995 2 153996 256273 434102 157445
1995 3 152581 258727 435924 155580
1995 4 151445 260015 434715 157732
1995 5 152848 262374 437435 155460
1995 6 150245 262745 436389 156846
1995 7 149051 263877 435544 155542
1995 8 154463 264124 437717 158170
1995 9 160329 265780 441806 162316
1995 10 155241 267087 442326 160589
1995 11 156600 266684 444595 160111
1995 12 163056 267382 447570 166106
1996 1 155872 270273 452482 156867
1996 2 150866 270348 453895 155081
1996 3 164855 270700 464105 160677
1996 4 156969 270025 464862 162146
1996 5 164409 270425 469729 165434
1996 6 164948 270123 472216 168372
1996 7 163306 270608 476663 164706
1996 8 157490 270998 473924 165855
1996 9 165793 271918 476692 168809
1996 10 165191 272616 482979 164996
1996 11 170771 273169 489985 169906
1996 12 162237 272466 488988 169354
1997 1 161768 273867 488663 167938
1997 2 170338 274634 491492 173836
1997 3 167850 273957 491079 175523
1997 4 173440 275435 492417 178421
1997 5 168682 276492 492327 175359
1997 6 174933 276771 493789 180118
1997 7 179038 278128 495751 183405
1997 8 176468 278964 498159 180796
1997 9 178111 279238 500800 182650
1997 10 178709 280709 504841 180601
1997 11 191175 279879 517522 184989
1997 12 173568 280961 513023 184622
1998 1 174404 283206 513830 179572
1998 2 181084 285299 513425 187853
1998 3 177262 286427 508967 187794
1998 4 181138 287819 511083 184867
1998 5 179988 288723 511111 185626
1998 6 172851 289907 509420 180550
1998 7 170068 289985 507728 177923
1998 8 179312 290724 508713 184749
1998 9 180791 291257 508634 187445
1998 10 179359 292429 504343 190251
1998 11 182188 292079 501858 191346
1998 12 179233 290472 496233 191473
1999 1 185758 288277 497673 191158
1999 2 185446 288817 496661 193027
1999 3 184967 290465 497732 190424
1999 4 182971 289218 495712 192143
1999 5 186403 289720 493940 195387
1999 6 182604 289360 490647 192648
1999 7 188894 291133 493604 193104
1999 8 189536 290699 493044 197054
1999 9 188817 292521 494747 193874
1999 10 194511 292215 499687 196748
1999 11 187058 294395 498541 195618
1999 12 196441 296464 505514 196781
2000 1 201454 295807 510578 202953
2000 2 183947 297225 509557 191829
2000 3 192039 297386 511450 197078
2000 4 194924 298990 511691 202029
2000 5 188607 298431 509952 198106
2000 6 220266 301044 537791 200220
2000 7 189463 301598 537864 197342
2000 8 189011 303431 539591 195084
2000 9 198864 303564 545308 201182
2000 10 186657 305042 544153 195598
2000 11 189748 306901 548502 192748
2000 12 188174 306394 549389 196185
2001 1 177014 307144 545016 187949
2001 2 180530 304739 540607 191374
2001 3 182283 300442 540568 188688
2001 4 171600 298389 537278 180472
2001 5 178419 295196 534503 186324
2001 6 176177 291830 532408 183543
2001 7 169939 287433 527711 179459
2001 8 170621 284555 523151 179371
2001 9 163543 280851 517561 173960
2001 10 172087 277159 520837 173490
2001 11 163487 272442 514975 173779
2001 12 166042 267633 509702 176245
2002 1 162363 265744 502333 174828
2002 2 171399 263946 503769 174988
2002 3 168011 261409 503296 174037
2002 4 171682 260353 500511 179700
2002 5 172587 259275 498641 179612
2002 6 165842 259527 491532 178229
2002 7 174574 258766 492691 178480
2002 8 177739 258776 495519 179962
2002 9 167316 259096 489807 178135
2002 10 168738 258478 485257 178314
2002 11 169832 257631 481850 178325
2002 12 163685 260394 478699 171828
2003 1 168525 258889 476715 175731
2003 2 173246 260790 478560 176940
2003 3 173067 258875 479395 177752
2003 4 169366 257649 480590 173798
2003 5 171212 256661 481485 175961
2003 6 173449 253422 483315 177261
2003 7 173880 250938 482524 179471
2003 8 173556 249228 485986 175885
2003 9 178277 247536 487439 182399
2003 10 183477 247644 494264 182277
2003 11 182135 245665 499045 183103
2003 12 181386 246854 504274 181938
2004 1 176359 246254 506493 179652
2004 2 180330 247150 510778 181793
2004 3 191973 248171 519277 189312
2004 4 184332 249351 523689 185785
2004 5 183778 251118 527965 185599
2004 6 184981 253697 531940 187057
2004 7 187002 255831 539718 185364
2004 8 185023 257907 541169 189716
2004 9 188702 259161 545075 190869
2004 10 185242 261100 545382 191027
2004 11 193325 264105 552812 192114
2004 12 193415 265005 556110 196449
2005 1 193026 268537 556536 198697
2005 2 195213 271844 560407 197467
2005 3 187520 273973 558636 195443
2005 4 194788 274745 558245 201105
2005 5 206188 276271 571225 199284
2005 6 210330 275948 587586 200142
2005 7 196455 278345 593385 196833
2005 8 205723 278182 603603 201889
2005 9 204225 278733 609411 204924
2005 10 210498 280318 618411 207192
2005 11 222570 282611 639504 207864
2005 12 220544 283742 653400 213804
2006 1 207399 285849 655887 210063
2006 2 217311 287086 666741 213695
2006 3 226907 290372 685427 214476
2006 4 214261 294051 696508 208427
2006 5 215647 297255 703108 215236
2006 6 221699 300552 715337 215491
2006 7 212299 304903 724803 208339
2006 8 210965 307183 726105 215621
2006 9 235946 311344 755133 212824
2006 10 217414 314672 765755 212498
2006 11 226172 316198 783157 214495
2006 12 229559 317506 797129 221108
2007 1 217949 320251 805687 215191
2007 2 221264 321912 813843 219031
2007 3 228946 322741 827004 221589
2007 4 233464 324103 843512 223023
2007 5 227836 325363 851071 226530
2007 6 230166 325955 862493 224664
2007 7 240168 326045 881223 227161
2007 8 233815 326388 892524 228519
2007 9 226612 327935 900233 224985
2007 10 229208 329199 909743 225131
2007 11 232245 331335 922485 226070
2007 12 243721 334621 947570 225662
2008 1 236580 334518 961369 229709
2008 2 232551 334814 973123 227515
2008 3 231230 336884 989322 221554
2008 4 230256 336791 997865 227724
2008 5 230340 336897 1008106 225589
2008 6 229731 336712 1017206 225490
2008 7 226772 337687 1023153 227080
2008 8 215684 338302 1026144 218160
2008 9 212732 336506 1026698 217519
2008 10 191391 335680 1017535 205980
2008 11 183260 333784 1009451 196236
2008 12 172294 330298 996797 191035
2009 1 147622 328389 972844 176110
2009 2 143087 324642 944416 175697
2009 3 141359 318254 918399 171927
2009 4 141770 314336 898111 167039
2009 5 147232 310128 886162 163970
2009 6 145001 304059 871579 163464
2009 7 157845 301295 863794 170788
2009 8 154150 297346 853571 169237
2009 9 157844 295437 842104 174105
2009 10 160813 295866 833359 174603
2009 11 158859 296857 819968 177080
2009 12 158938 296449 802460 181884
2010 1 181044 297440 806633 184239
2010 2 178696 299657 810229 180423
2010 3 181812 300962 813569 182346
2010 4 189700 302986 821267 188719
2010 5 189681 305430 827101 189553
2010 6 190874 309371 833191 188561
2010 7 198891 310912 838729 199953
2010 8 192793 312865 842588 195461
2010 9 205669 315847 857422 197358
2010 10 197079 318654 864630 196166
2010 11 200808 322047 875342 196502
2010 12 198431 324525 879247 201117
2011 1 202542 328196 887116 201174
2011 2 195640 332227 888337 201176
2011 3 211397 337907 897489 208781
2011 4 201627 341067 901244 204541
2011 5 207662 345619 909446 206082
2011 6 205297 347267 913890 207567
2011 7 219949 350260 922570 217802
2011 8 212790 353297 928914 213170
2011 9 212966 353185 937149 211477
2011 10 212058 355393 940858 215099
2011 11 219259 357659 952624 214251
2011 12 230392 358105 969434 219924
2012 1 219106 360710 974867 220130
2012 2 223578 361622 985934 219081
2012 3 215281 362921 986186 221050
2012 4 214666 363968 984750 222574
2012 5 217864 365566 984643 225096
2012 6 221368 366503 988660 225011
2012 7 230519 369153 996565 230736
