 ABT LLY MRK PFE F  GM  BP  CVX RD XOM
-0.04533667 -0.08483667 -0.07410667 -0.02075667 -0.0006366667 -0.02115667 0.04526333 -0.01928667 -0.01604667 -0.06636667
-0.01991 -0.04352 -0.06008 -0.13638 0.06022 0.08965 -0.01009 0.00776 -0.03088 0.00632
0.01875667 0.06380667 0.01644667 0.02095667 0.02058667 0.01569667 -0.04568333 -0.0009933333 0.01010667 -0.02520333
0.015125 0.016735 0.047485 -0.070395 -0.056735 -0.041895 -0.077905 -0.030545 -0.050805 -0.025445
0.11527 0.18312 0.12939 0.16492 0.03888 0.10937 0.11931 0.06679 0.08132 0.06758
0.08871833 0.05585833 0.04189833 -0.03301167 -0.05793167 -0.02701167 -0.008321667 -0.001081667 -0.02598167 -0.009041667
0.05975 -0.00485 0.02103 0.17494 -0.04064 -0.02735 0.11395 0.13255 0.10162 0.0772
-0.08666833 -0.09887833 -0.08407833 -0.06099833 -0.1658483 -0.1375783 0.1119617 -0.05029833 -0.03768833 -0.03078833
-0.02800333 -0.05438333 -0.07351333 -0.01141333 -0.1208333 -0.09418333 -0.06549333 -0.03084333 -0.02945333 -0.02613333
0.047315 -0.063665 0.003875 0.024115 -0.082895 0.007815 -0.002735 -0.085365 0.002145 -0.005975
0.05813667 0.09482667 0.1160667 0.1123267 -0.01939333 0.007726667 0.04572667 0.03117667 0.02149667 0.04095667
0.02590333 -0.01239667 0.04290333 -0.005616667 -0.03301667 -0.06383667 -0.04767667 0.03374333 -0.01972667 0.01660333
-0.03385333 0.05966667 0.01289667 0.1078167 0.07462667 0.04936667 -0.07672333 -0.02239333 -0.04652333 -0.007603333
0.06114 0.01428 0.11117 0.17068 0.16023 0.09574 0.07386 0.0602 0.07631 0.07582
0.030115 -0.014415 0.033605 0.014125 -0.012585 -0.049225 -0.086575 0.018335 -0.041735 0.056295
0.05519167 -0.02387833 0.01662167 0.01398167 0.01151167 -0.05768833 0.02232167 0.01087167 0.05102167 0.01238167
0.01026 0.0378 0.0987 0.08178 0.13007 0.21293 -0.03221 -0.04978 0.01338 -0.0143
0.002658333 -0.1005517 -0.02306167 -0.06196167 -0.02837167 -0.05971167 -0.05602167 -0.05202167 -0.05952167 -0.006791667
0.04124 0.05796 0.10407 0.11021 -0.06298 -0.02919 0.08819 0.02022 0.05825 0.01686
0.002518333 0.1019383 -0.01411167 0.05947833 -0.07534167 -0.03840167 0.02779833 0.001798333 -0.01961167 -0.01210167
-0.01126 -0.05495 0.02127 -0.01008 -0.04049 -0.0208 -0.00261 0.02004 0.01489 0.01711
0.09329167 -0.04020833 0.05060167 0.09565167 -0.08665833 -0.06435833 -0.03719833 0.01285167 -0.004158333 0.02105167
-0.02503 -0.0412 0.06268 -0.07249 -0.11901 -0.11697 -0.05501 -0.09979 -0.04244 -0.03175
0.1918383 0.1326583 0.1383983 0.2621483 0.1684883 -0.06437167 0.01204833 0.03031833 0.1059283 0.03498833
-0.07213667 -0.05855667 -0.05947667 -0.1341167 0.09550333 0.1180433 -0.05069667 -0.08106667 -0.07852667 -0.04628667
-0.00711 -0.04694 -2e-05 0.02242 0.20172 0.16746 -0.08304 -0.02167 -0.03455 -0.01101
-0.04462667 -0.05511667 -0.06560667 -0.07047667 0.04085333 -0.02669667 -0.05408667 0.03517333 -0.01469667 -0.04494667
0.083765 -0.034815 -0.017565 0.025655 0.189705 0.129985 0.090335 0.086715 0.091805 0.092765
0.006445 -0.035025 0.039215 0.045855 -0.025065 -0.042185 0.047505 0.032105 0.059645 0.019395
-0.10999 -0.01631 -0.03074 -0.02483 0.03075 0.11043 -0.20844 -0.06435 0.01289 0.01757
0.023455 0.081775 0.061425 0.070955 0.003315 -0.056655 0.036485 0.062625 0.008735 0.023585
0.001511667 -0.07269833 -0.06043833 -0.01223833 -0.1118983 -0.1611683 -0.03492833 0.03872167 0.02560167 0.02054167
-0.076195 -0.040815 -0.087255 -0.034785 -0.033095 -0.074625 -0.020845 0.006075 0.025065 -0.008265
0.02947667 -0.01835333 -0.01642333 0.009326667 -0.06820333 -0.04518333 -0.05332333 -0.04454333 -0.09814333 -0.04348333
0.05773167 0.02051167 0.02588167 0.03534167 0.1480717 0.05267167 -0.01058833 -0.02267833 -0.004118333 -0.01942833
-0.01488333 -0.03068333 -0.03592333 -0.07468333 0.01814667 -0.002683333 0.05207667 0.008226667 -0.02086333 0.02462667
-0.09221 -0.07246 -0.07166 -0.09216 0.08263 0.16804 -0.02982 0.04426 0.0083 -0.0025
-0.05244167 -0.08023167 -0.04888167 -0.1116117 -0.007861667 -0.01039167 0.08631833 0.06800833 0.01587833 0.05023833
-0.01680833 -0.05585833 -0.07713833 0.06392167 0.1310517 0.007611667 0.1511917 0.07709167 0.06201167 0.03683167
0.08673833 0.01298833 0.04354833 0.09399833 0.05818833 0.08398833 0.008898333 0.03369833 -0.002391667 -0.004281667
-0.02937667 0.04006333 0.03131333 0.05497333 -0.05269667 -0.01592667 0.03314333 0.03091333 0.07839333 0.0008633333
-0.05785833 -0.03686833 -0.06791833 -0.06875833 0.002251667 0.1064717 -0.02429833 -0.006818333 -0.007918333 0.006981667
-0.02029333 -0.05583333 -0.1398533 -0.1144733 0.01468667 0.08735667 -0.01364333 0.004586667 0.01363667 -0.01009333
0.03748333 0.03995333 0.03830333 0.06336333 -0.03569667 -0.03189667 0.03969333 0.06113333 0.06247333 0.004643333
0.05042167 0.03921167 -0.02896833 -0.05801833 0.08087167 -0.1117883 0.03015167 0.04720167 0.03047167 -0.0005483333
0.04022333 0.07998333 0.04220333 0.04370333 0.1246333 0.1382033 0.04590333 -0.01018667 0.03807333 -0.004426667
0.02825667 0.06863667 0.06356667 0.07243667 -0.02076333 0.1092267 -0.04329333 -0.09794333 -0.04750333 -0.03172333
0.01027 0.03231 0.00927 0.03504 0.05918 0.03773 0.07762 0.00033 0.03087 0.00343
-0.0009633333 0.005936667 0.05933667 -0.06589333 0.04247667 0.1136867 0.06392667 0.06925667 0.05140667 0.05098667
-0.06626833 -0.06742833 -0.1157183 -0.09794833 -0.07546833 -0.04841833 -0.04175833 -0.06508833 -0.03225833 -0.01631833
-0.03911667 -0.1022367 -0.07534667 -0.07188667 -0.05724667 -0.07802667 -0.06049667 -0.03321667 -0.07200667 -0.03374667
0.06979333 -0.01559667 -0.007266667 0.08952333 -0.001786667 0.05029333 0.1374633 0.05645333 0.09379333 -0.003066667
0.04941 0.17168 0.02609 0.08502 -0.01416 -0.05279 0.00815 -0.01553 0.00143 -0.01983
-0.03274 -0.01 -0.01886 -0.01325 0.0182 -0.06857 0.0179 -0.04081 -0.02567 -0.07502
-0.02722833 -0.1486583 -0.007808333 -0.02142833 0.08453167 0.01878167 0.05562167 0.05609167 0.07773167 0.04485167
0.06293667 0.1813567 0.1481667 0.1046567 -0.08608333 -0.02173333 0.003856667 -0.03838333 -0.007053333 0.008366667
0.04198 0.0115 0.0489 0.00897 -0.05513 -0.07101 -0.00714 -0.02155 -0.03103 -0.03746
-0.010025 0.067145 -0.004125 0.068205 0.068305 -0.161455 0.114685 0.076955 0.080855 0.089355
0.02382167 0.01575167 0.04120167 0.04578167 -0.08491833 -0.03415833 -0.06060833 -0.02468833 -0.07200833 -0.03223833
0.01886333 0.04323333 0.02687333 -0.006286667 0.02298333 0.1002533 0.001633333 0.01825333 -0.01272667 0.001543333
0.08535167 -0.0009483333 0.05098167 0.05349167 -0.08959833 -0.08190833 -0.03292833 -0.004758333 0.03352167 0.02405167
-0.001278333 0.02206167 0.04799167 0.01684167 0.02984167 0.09680167 -0.01929833 0.07278167 -0.002578333 0.02919167
0.002265 0.086645 0.008205 0.028355 0.023935 0.027485 0.099195 0.003095 0.065455 0.038275
0.1025617 0.01751167 0.001161667 0.005491667 0.01613167 0.02086167 0.02365167 -0.01772833 0.02862167 0.03844167
0.011145 0.002235 0.091485 0.018595 0.073615 0.065635 -0.005075 0.041975 0.042625 0.033045
0.007941667 0.04737167 0.04704167 0.04083167 0.01253167 -0.02799833 -0.001628333 -0.06053833 -0.04301833 -0.01506833
-0.01167667 -0.007696667 0.04637333 0.09453333 -0.01930667 0.03548333 0.05533333 0.06017333 0.03753333 0.02203333
-0.03575 0.05007 -0.0384 -0.02406 0.05584 -0.03168 -0.00079 -0.01463 -0.06552 -0.04588
0.0956 0.09331 0.12522 0.07661 0.0078 -0.00971 -0.00717 0.00335 0.04457 0.04651
-0.06692 0.0707 0.02239 0.07054 -0.06946 -0.07107 -0.02248 -0.04543 -0.00338 0.05269
0.01754333 0.03237333 0.07162333 0.01095333 -0.02185667 0.1109633 0.08984333 0.06237333 0.04029333 0.01844333
0.02033667 0.1263667 0.06181667 0.08192667 0.01783667 0.08592667 0.06368667 0.05647667 0.09503667 0.04418667
0.02190333 0.01361333 0.06440333 0.08313333 0.02960333 -0.008896667 -0.04822667 -0.01371667 -0.01922667 -0.01495667
-0.021675 0.060905 -0.059285 -0.037965 0.055295 -0.022555 0.034145 0.077905 -0.013015 -0.004025
-0.02808333 0.06802667 -0.05938333 0.01673667 0.09586667 0.03488667 0.05439667 0.004856667 0.02127667 0.02102667
-0.001305 -0.094505 -0.032235 0.020035 0.049695 0.014655 0.024115 0.029285 0.009145 0.038815
0.05735667 0.08828667 0.06399667 0.02739667 0.01323667 0.01931667 -0.03088333 0.03460667 0.06619667 0.002166667
0.004458333 0.007428333 0.001018333 0.004588333 -0.1172517 -0.05413167 0.009988333 -0.01679167 0.02118833 0.02082833
0.009848333 -0.1427517 -0.01009167 -0.02110167 0.007598333 -0.07350167 0.02377833 -0.02336167 -0.02299167 -0.05753167
0.02143167 0.02423167 0.01719167 0.01189167 0.03054167 0.02194167 0.07800167 0.02240167 -0.01414833 -0.003718333
0.09019833 0.1223983 0.07423833 0.1101983 -0.07140167 -0.03699167 0.05732833 0.05944833 0.05790833 0.01722833
0.03117167 0.08886167 0.04557167 0.04165167 0.008161667 0.1130317 0.02484167 0.04574167 0.05509167 0.06040167
