year mon Greg hoil oilp gasp
1993 11 1.066 0.502 16.699 2.32
1993 12 1.014 0.435 14.51 2.09
1994 1 0.998 0.499 15 2.41
1994 2 1.009 0.557 14.78 2.59
1994 3 1.008 0.492 14.66 2.08
1994 4 1.027 0.479 16.38 2.04
1994 5 1.047 0.479 17.88 1.87
1994 6 1.078 0.492 19.07 1.96
1994 7 1.106 0.499 19.65 1.88
1994 8 1.155 0.495 18.38 1.59
1994 9 1.144 0.477 17.46 1.47
1994 10 1.114 0.482 17.71 1.54
1994 11 1.11 0.494 18.1 1.53
1994 12 1.06 0.483 17.16 1.69
1995 1 1.066 0.479 17.99 1.52
1995 2 1.058 0.476 18.53 1.59
1995 3 1.059 0.458 18.55 1.54
1995 4 1.104 0.494 19.87 1.63
1995 5 1.172 0.501 19.74 1.64
1995 6 1.186 0.476 18.42 1.62
1995 7 1.148 0.465 17.3 1.44
1995 8 1.12 0.491 18.03 1.56
1995 9 1.108 0.501 18.23 1.64
1995 10 1.082 0.487 17.44 1.77
1995 11 1.058 0.517 17.99 2.04
1995 12 1.066 0.576 19.04 2.71
1996 1 1.084 0.555 18.88 2.96
1996 2 1.082 0.614 19.07 4.56
1996 3 1.129 0.656 21.36 2.95
1996 4 1.22 0.676 23.57 2.23
1996 5 1.263 0.576 21.25 2.24
1996 6 1.243 0.514 20.45 2.49
1996 7 1.215 0.555 21.32 2.5
1996 8 1.199 0.603 21.96 2.04
1996 9 1.2 0.677 23.99 1.84
1996 10 1.204 0.723 24.9 2.37
1996 11 1.235 0.701 23.71 3.03
1996 12 1.233 0.722 25.39 3.82
1997 1 1.231 0.698 25.17 3.32
1997 2 1.224 0.611 22.21 2.22
1997 3 1.197 0.547 20.99 1.89
1997 4 1.188 0.577 19.72 2.03
1997 5 1.191 0.563 20.83 2.24
1997 6 1.189 0.522 19.17 2.2
1997 7 1.167 0.53 19.63 2.19
1997 8 1.213 0.54 19.93 2.48
1997 9 1.216 0.532 19.79 2.85
1997 10 1.182 0.572 21.26 3.04
1997 11 1.158 0.564 20.17 3.02
1997 12 1.119 0.511 18.32 2.33
1998 1 1.075 0.466 16.71 2.1
1998 2 1.042 0.443 16.06 2.22
1998 3 1.014 0.421 15.02 2.24
1998 4 1.024 0.43 15.44 2.43
1998 5 1.049 0.411 14.86 2.15
1998 6 1.048 0.378 13.66 2.17
1998 7 1.039 0.362 14.08 2.17
1998 8 1.011 0.345 13.36 1.85
1998 9 0.994 0.403 14.95 2.02
1998 10 1.006 0.385 14.39 1.89
1998 11 0.979 0.359 12.85 2.11
1998 12 0.923 0.313 11.28 1.73
1999 1 0.917 0.335 12.47 1.85
1999 2 0.9 0.304 12.01 1.78
1999 3 0.961 0.388 14.66 1.79
1999 4 1.099 0.431 17.34 2.15
1999 5 1.103 0.423 17.75 2.26
1999 6 1.095 0.433 17.89 2.31
1999 7 1.138 0.5 20.07 2.31
1999 8 1.199 0.548 21.26 2.79
1999 9 1.239 0.602 23.88 2.54
1999 10 1.23 0.584 22.64 2.73
1999 11 1.24 0.648 24.97 2.36
1999 12 1.261 0.671 26.08 2.36
2000 1 1.279 0.915 27.18 2.42
2000 2 1.371 0.937 29.35 2.66
2000 3 1.498 0.773 29.89 2.79
2000 4 1.437 0.749 25.74 3.04
2000 5 1.456 0.76 28.78 3.58
2000 6 1.612 0.782 31.83 4.29
2000 7 1.529 0.781 29.77 3.96
2000 8 1.439 0.893 31.22 4.41
2000 9 1.525 0.988 33.88 5.06
2000 10 1.508 0.977 33.08 5.02
2000 11 1.495 1.032 34.4 5.54
2000 12 1.418 0.943 28.46 8.95
2001 1 1.427 0.845 29.58 8.18
2001 2 1.431 0.785 29.61 5.62
2001 3 1.384 0.741 27.24 5.16
2001 4 1.517 0.782 27.41 5.17
2001 5 1.654 0.772 28.64 4.21
2001 6 1.548 0.756 27.6 3.71
2001 7 1.34 0.698 26.45 3.11
2001 8 1.386 0.734 27.47 2.96
2001 9 1.506 0.731 25.88 2.15
2001 10 1.274 0.628 22.21 2.45
2001 11 1.139 0.548 19.67 2.37
2001 12 1.072 0.524 19.33 2.42
2002 1 1.094 0.536 19.67 2.26
2002 2 1.09 0.541 20.74 2.31
2002 3 1.221 0.636 24.42 3.03
2002 4 1.362 0.667 26.27 3.43
2002 5 1.353 0.666 27.02 3.5
2002 6 1.341 0.646 25.52 3.23
2002 7 1.364 0.679 26.94 2.99
2002 8 1.358 0.701 28.38 3.09
2002 9 1.363 0.773 29.67 3.55
2002 10 1.427 0.768 28.85 4.12
2002 11 1.385 0.72 26.27 4.03
2002 12 1.348 0.821 29.42 4.75
2003 1 1.424 0.905 32.94 5.44
2003 2 1.582 1.129 35.87 7.78
2003 3 1.636 0.988 33.55 5.95
2003 4 1.517 0.796 28.25 5.28
2003 5 1.438 0.741 28.14 5.82
2003 6 1.452 0.759 30.72 5.82
2003 7 1.48 0.786 30.76 5.03
2003 8 1.588 0.816 31.59 4.97
2003 9 1.616 0.736 28.29 4.62
2003 10 1.513 0.82 30.33 4.65
2003 11 1.474 0.835 31.09 4.47
2003 12 1.448 0.891 32.15 6.15
2004 1 1.555 0.984 34.27 6.15
2004 2 1.615 0.913 34.74 5.39
2004 3 1.689 0.909 36.76 5.38
2004 4 1.756 0.922 36.69 5.71
2004 5 1.945 1.018 40.28 6.29
2004 6 1.91 0.994 38.02 6.3
2004 7 1.863 1.09 40.69 5.93
2004 8 1.842 1.167 44.94 5.44
2004 9 1.841 1.257 45.95 5.11
2004 10 1.954 1.485 53.13 6.39
2004 11 1.932 1.384 48.46 6.16
2004 12 1.8 1.275 43.33 6.62
2005 1 1.811 1.316 46.84 6.13
2005 2 1.886 1.343 47.97 6.13
2005 3 2.063 1.556 54.31 6.92
2005 4 2.211 1.523 53.04 7.2
2005 5 2.114 1.413 49.83 6.49
2005 6 2.123 1.612 56.26 7.16
2005 7 2.247 1.64 58.7 7.64
2005 8 2.449 1.804 64.97 9.46
2005 9 2.862 1.963 65.57 11.88
2005 10 2.689 1.891 62.37 13.42
2005 11 2.222 1.689 58.3 10.28
2005 12 2.174 1.707 59.43 13.05
2006 1 2.3 1.751 65.51 8.68
2006 2 2.249 1.639 61.63 7.54
2006 3 2.413 1.777 62.9 6.89
2006 4 2.719 1.978 69.69 7.16
2006 5 2.831 1.972 70.94 6.24
2006 6 2.808 1.925 70.96 6.22
2006 7 2.923 1.935 74.41 6.15
2006 8 2.91 1.984 73.05 7.15
2006 9 2.501 1.699 63.87 4.91
2006 10 2.214 1.648 58.88 5.77
2006 11 2.211 1.648 59.37 7.4
2006 12 2.284 1.684 62.03 6.82
2007 1 2.191 1.528 54.57 6.55
2007 2 2.235 1.693 59.26 7.98
2007 3 2.503 1.742 60.56 7.1
2007 4 2.787 1.864 63.97 7.59
2007 5 3.119 1.884 63.46 7.63
2007 6 3.024 1.991 67.48 7.36
2007 7 2.947 2.072 74.18 6.21
2007 8 2.777 1.984 72.39 6.23
2007 9 2.817 2.179 79.93 6.08
2007 10 2.791 2.282 86.2 6.8
2007 11 3.064 2.586 94.62 7.14
2007 12 2.984 2.574 91.73 7.14
2008 1 3.018 2.558 92.95 7.98
2008 2 3.016 2.644 95.35 8.55
2008 3 3.215 3.066 105.56 9.44
2008 4 3.421 3.226 112.57 10.13
2008 5 3.735 3.615 125.39 11.26
2008 6 3.989 3.801 133.93 12.69
2008 7 4.002 3.759 133.44 11.06
2008 8 3.74 3.169 116.61 8.25
2008 9 3.709 2.911 103.9 7.67
2008 10 3.01 2.239 76.65 6.73
2008 11 2.099 1.843 57.44 6.69
2008 12 1.669 1.402 41.02 5.81
2009 1 1.772 1.465 41.74 5.23
2009 2 1.892 1.279 39.16 4.52
2009 3 1.937 1.277 47.98 3.94
2009 4 2.021 1.357 49.79 3.5
2009 5 2.24 1.473 59.16 3.83
2009 6 2.597 1.747 69.68 3.81
