year mon hsold hstart
1963 1 42 79
1963 2 35 89.6
1963 3 44 124.8
1963 4 52 164.2
1963 5 58 172.7
1963 6 48 154.2
1963 7 62 151.3
1963 8 56 144
1963 9 49 143.7
1963 10 44 165.3
1963 11 39 119.3
1963 12 31 95
1964 1 39 97.9
1964 2 46 101.3
1964 3 53 129.1
1964 4 49 147.1
1964 5 52 152.8
1964 6 53 157.2
1964 7 54 140.6
1964 8 56 138.3
1964 9 48 119.8
1964 10 45 141.2
1964 11 37 110.6
1964 12 33 93
1965 1 38 81.7
1965 2 44 80.9
1965 3 53 119.9
1965 4 49 148.6
1965 5 54 153.3
1965 6 57 151.8
1965 7 51 139.1
1965 8 58 128.3
1965 9 48 124.6
1965 10 44 133.1
1965 11 42 110.5
1965 12 37 101.1
1966 1 42 79.4
1966 2 43 76.2
1966 3 53 118.1
1966 4 49 140.9
1966 5 49 130
1966 6 40 120.6
1966 7 40 99.2
1966 8 36 101.8
1966 9 29 89.1
1966 10 31 76.6
1966 11 26 72.8
1966 12 23 60.2
1967 1 29 59.1
1967 2 32 61.4
1967 3 41 91.5
1967 4 44 113.7
1967 5 49 132
1967 6 47 125.4
1967 7 46 125.3
1967 8 47 127.4
1967 9 43 121.9
1967 10 45 135.4
1967 11 34 118.4
1967 12 31 80.1
1968 1 35 80.5
1968 2 43 84.6
1968 3 46 126.6
1968 4 46 162
1968 5 43 140.9
1968 6 41 137.9
1968 7 44 139.8
1968 8 47 136.6
1968 9 41 134.2
1968 10 40 140.8
1968 11 32 127.1
1968 12 32 96.4
1969 1 34 101.5
1969 2 40 90.1
1969 3 43 131.9
1969 4 42 159
1969 5 43 155.5
1969 6 44 147.3
1969 7 39 125.2
1969 8 40 124.9
1969 9 33 129.3
1969 10 32 123.4
1969 11 31 94.6
1969 12 28 84.1
1970 1 34 66.4
1970 2 29 74.3
1970 3 36 114.7
1970 4 42 128.4
1970 5 43 125
1970 6 44 135.2
1970 7 44 140.8
1970 8 48 128.7
1970 9 45 130.9
1970 10 44 140.9
1970 11 40 126.9
1970 12 37 121.4
1971 1 45 110.6
1971 2 49 102.2
1971 3 62 167.9
1971 4 62 201.1
1971 5 58 198.5
1971 6 59 193.8
1971 7 64 194.3
1971 8 62 204.5
1971 9 50 173.8
1971 10 52 179.7
1971 11 50 173.7
1971 12 44 152.1
1972 1 51 149.1
1972 2 56 152.2
1972 3 60 203.9
1972 4 65 211.6
1972 5 64 225.8
1972 6 63 223.1
1972 7 63 206.5
1972 8 72 228.6
1972 9 61 203
1972 10 65 216.5
1972 11 51 185.7
1972 12 47 150.5
1973 1 55 146.6
1973 2 60 138
1973 3 68 200
1973 4 63 205
1973 5 65 234
1973 6 61 202.6
1973 7 54 202.6
1973 8 52 197.2
1973 9 46 148.4
1973 10 42 147.1
1973 11 37 133.3
1973 12 30 90.4
1974 1 37 84.5
1974 2 44 109.4
1974 3 55 124.8
1974 4 53 159.5
1974 5 58 149
1974 6 50 147.6
1974 7 48 126.6
1974 8 45 111.1
1974 9 41 98.3
1974 10 34 96.7
1974 11 30 75.1
1974 12 24 55.1
1975 1 29 56.1
1975 2 34 54.7
1975 3 44 80.2
1975 4 54 97.9
1975 5 57 116.1
1975 6 51 110.3
1975 7 51 119.3
1975 8 53 117.3
1975 9 46 111.9
1975 10 46 123.6
1975 11 46 96.9
1975 12 39 76.1
1976 1 41 72.5
1976 2 53 89.9
1976 3 55 118.4
1976 4 62 137.2
1976 5 55 147.9
1976 6 56 154.2
1976 7 57 136.6
1976 8 59 145.9
1976 9 58 151.8
1976 10 55 148.4
1976 11 49 127.1
1976 12 47 107.4
1977 1 57 81.3
1977 2 68 112.5
1977 3 84 173.6
1977 4 81 182.2
1977 5 78 201.3
1977 6 74 197.6
1977 7 64 189.8
1977 8 74 194
1977 9 71 177.7
1977 10 63 193.1
1977 11 55 154.8
1977 12 51 129.2
1978 1 57 88.6
1978 2 63 101.3
1978 3 75 172.1
1978 4 85 197.5
1978 5 80 211
1978 6 77 216
1978 7 68 192.2
1978 8 72 190.9
1978 9 68 180.5
1978 10 70 192.1
1978 11 53 158.6
1978 12 50 119.5
1979 1 53 88.2
1979 2 58 84.5
1979 3 73 152.9
1979 4 72 161
1979 5 68 189.1
1979 6 63 191.8
1979 7 64 164.2
1979 8 68 170.3
1979 9 60 163.7
1979 10 54 169
1979 11 41 118.7
1979 12 35 91.6
1980 1 43 73.1
1980 2 44 79.9
1980 3 44 85.1
1980 4 36 96.2
1980 5 44 91.7
1980 6 50 116.4
1980 7 55 120.1
1980 8 61 129.9
1980 9 50 138.3
1980 10 46 152.7
1980 11 39 112.9
1980 12 33 95.9
1981 1 37 84.5
1981 2 40 71.9
1981 3 49 107.8
1981 4 44 123
1981 5 45 109.9
1981 6 38 105.8
1981 7 36 99.9
1981 8 34 86.3
1981 9 28 84.1
1981 10 29 87.2
1981 11 27 64.6
1981 12 29 59.1
1982 1 28 47.2
1982 2 29 51.3
1982 3 36 78.2
1982 4 32 84.1
1982 5 36 98.8
1982 6 34 91.1
1982 7 31 106.8
1982 8 36 96
1982 9 39 106.4
1982 10 40 110.5
1982 11 39 108.9
1982 12 33 82.9
1983 1 44 91.3
1983 2 46 96.3
1983 3 57 134.6
