year mon PI II NOI   SDI
1988 1 59.3 50.7 60.3 62
1988 2 58.6 48.1 57 61.2
1988 3 57.7 41.9 57.9 57.3
1988 4 59.1 51 57.6 58.6
1988 5 58 51.2 57.7 56.9
1988 6 61.7 48.2 63.6 65.6
1988 7 61.2 54.5 60.6 58.4
1988 8 57.8 49.4 59.2 57.4
1988 9 54.8 49.5 58.6 55.2
1988 10 58.7 49.2 57.2 54.8
1988 11 57.5 51.6 58.4 52.1
1988 12 57.6 49.9 59 53
1989 1 57.9 46.7 57.3 53.9
1989 2 55.6 49 57.3 54
1989 3 52.7 48.3 52 52.5
1989 4 54.9 47.4 53.1 52.2
1989 5 50.7 44.9 50.7 49.1
1989 6 49.5 47.5 45.6 46.5
1989 7 46.9 46.2 45.8 46.1
1989 8 46.7 43.5 45.2 44
1989 9 48 44.8 46 43.9
1989 10 48.5 43.8 49.3 43.3
1989 11 49.2 41.4 49.3 42.5
1989 12 49.7 43.9 50.4 43.5
1990 1 47.4 42.7 49.1 48.2
1990 2 52.8 41.4 52.5 44.4
1990 3 54.7 41.2 52.3 47.2
1990 4 53.5 41.3 53.7 47.2
1990 5 53.9 40 51.7 48.2
1990 6 51.3 42.6 52 49.8
1990 7 49.8 39.6 46.7 46.4
1990 8 47.9 43 45.5 50.1
1990 9 45.5 40.8 44.9 48.9
1990 10 43.6 41.2 43.1 48.1
1990 11 42.1 40.9 40.4 48.6
1990 12 41.8 39.6 38.5 47.2
1991 1 38.9 39.6 38.1 44.4
1991 2 39.1 39.9 39.2 44.7
1991 3 41.2 43.6 42.4 43.9
1991 4 44.5 39.6 46.1 45
1991 5 46.9 37.3 48.9 46
1991 6 53.7 37.1 58.4 47.1
1991 7 57.2 39.1 55.6 49.6
1991 8 59.8 39 60.1 48.3
1991 9 61.2 45.9 60.7 48.8
1991 10 60.7 40.5 58 50.2
1991 11 52.1 42.8 53.5 50.1
1991 12 50.6 38.8 49.5 49.4
1992 1 50.4 44.1 49.6 48.7
1992 2 58.7 44 58.3 49.3
1992 3 59.7 44.3 63.3 50.3
1992 4 57.8 43.2 59.1 47.4
1992 5 61.2 47 60.9 50
1992 6 57.6 43.1 59.8 50.8
1992 7 57.4 46.9 59.5 52.5
1992 8 56.8 45.8 58.8 50.3
1992 9 53.9 42.3 51.1 51.2
1992 10 54.7 42.4 53.8 48.6
1992 11 58.6 42.1 58.8 51.3
1992 12 57.9 45 61 51.5
1993 1 61.5 43.3 63 52.3
1993 2 63.5 42.6 59.7 51.7
1993 3 56.7 45.6 58.1 52.7
1993 4 51.6 44.7 53 52.8
1993 5 55 44.8 55.2 51.5
1993 6 53.1 46.5 51.6 50.4
1993 7 52.7 45.5 53.8 51
1993 8 53.9 44.4 55.3 51.8
1993 9 55.2 46.2 52.6 51.3
1993 10 56.1 48.6 58.9 50.7
1993 11 57.5 45.5 60.4 50.9
1993 12 61.7 43.2 62.4 51.5
