 ORCL  MSFT  HON   EMC   DELL  KO    DD    XOM   GD    GE    IBM   PEP  MO    COP   AMGN  SLB   CVX   AAPL  TXN   CVS   UTX   PG    SO    CAT   CL    BMY   WAG   BA    ABT   DOW   LMT   EXC   PFE   EMR   JNJ   MMM   MRK   HNZ   HAL   AEP   RTN   F     DIS   HPQ   BAX   OXY   WMB   WFC   APA   MCD   JPM   UNP   TGT   BK    LLY   WMT   NKE   AXP   INTC  BAC   MDT   FDX   LOW   NSC   VZ    T     USB   HD    MS    APC   C     BHI   CSCO  QCOM  GILD  TWX   SBUX  ALL   SPG   COF   FCX   BRK   NOV   AMZN  EBAY  GS    COST  DVN   UPS   MET   MON   KFT   ACN   CMCSA GOOG  NWSA  MA    PM    V     UNH  
0.02305485 -0.006650495 0.05222399 0.0833292 -0.02920465 -0.04541285 0.01591122 0.09838875 0.06069097 0.09635334 0.09879777 -0.01573627 -0.04613328 0.04816065 0.003273331 0.06367735 0.03953679 0.05065448 0.04246986 -0.01652929 0.03224879 -0.01883 -0.01608474 0.03514285 -0.04582711 -0.05033967 0.03728391 0.06265967 -0.05911251 0.03849944 0.1298053 0.02067807 0.03974769 0.02947224 -0.0342082 0.01859766 -0.08298366 -0.04043453 0.09724534 -0.008372899 0.0758175 -0.05132471 0.0356152 0.08183172 -0.04298911 -0.01458079 0.08785381 0.0451109 0.001089712 -0.04108806 0.05770833 0.0210376 -0.09227138 0.03353721 -0.007735333 0.03891399 -0.03502436 0.01066065 0.02024067 0.02881613 0.03262455 -0.02934812 -0.01122709 -0.02628973 -0.004481796 -0.06540111 0.001111754 0.04762139 0.07741014 0.01200743 0.01884876 0.1809505 0.04447326 0.08961792 0.05737299 -0.02263528 -0.01885071 -0.02348568 0.01950892 0.1236139 -0.09918976 0.02026511 0.09429583 -0.05927831 0.0870114 -0.02736929 -0.005137155 0.1219211 -0.01331502 0.02948893 0.05231228 -0.03028584 0.05964151 0.03488729 0.01070069 0.03110461 0.05385346 -0.02228644 -0.007559029 0.128221
0.02679978 -0.0421755 0.03335986 0.08911843 0.184725 0.01688136 0.07943537 0.05837646 0.009503783 0.03799779 -0.000740985 -0.01393586 0.07614153 0.08590297 -0.07051129 0.04858146 0.08884438 0.04011912 0.04891656 -0.03390153 0.02717952 -0.001268059 0.01294094 0.05923506 0.02253943 0.02471195 0.06925664 0.03576604 0.06307041 0.04626377 -0.005542907 -0.0178004 0.05447158 0.01316028 0.0275572 0.0478582 -0.01825419 0.05568367 0.04220767 0.002798728 0.02411179 -0.05808081 0.1180403 -0.04613441 0.09176051 0.05327211 0.1176596 -0.004947439 0.04312499 0.02691829 0.03820174 0.008208912 -0.04247244 -0.02726557 -0.006057976 -0.07574188 0.0764175 0.004370303 0.0004658854 0.0399768 0.04090546 -0.003327086 0.0537701 0.06928704 0.03584611 0.03077161 0.02667798 0.01885834 0.009478767 0.05980008 -0.02947589 0.03640415 -0.1306312 0.0959314 0.01551216 0.1944365 0.04496181 0.02034404 0.08127791 0.0328836 -0.7197036 0.06545552 0.07392428 0.02128791 0.09856874 0.0009774204 0.04024283 0.03053588 0.02998437 0.03414914 -0.02051422 0.04070424 0.0001942364 0.1242578 0.02148784 0.145362 0.01697906 0.09238355 0.04479412 0.03659389
0.01605574 -0.04580368 0.03060942 -0.02417821 -0.08706879 0.03716071 0.001820872 -0.01650399 0.005763637 -0.04247653 0.007324251 0.01548972 0.02568234 0.0252343 0.04047124 -0.001714121 0.03541364 -0.01340299 -0.02992953 0.03740413 0.01319956 -0.0232662 0 0.07862923 0.02812849 0.02373775 -0.07670267 0.02631368 0.01955803 0.01575257 0.01554303 -0.0125302 0.05412192 -0.02083231 -0.03629529 0.01367594 0.01341889 -0.02827332 0.05994772 -0.01804898 -0.00666147 -0.009345885 -0.0149721 -0.06290489 0.01159757 0.02441269 0.0266509 -0.01719596 0.04931731 0.005402873 -0.01271706 0.03014575 -0.04954213 -0.01725893 0.01749641 0.00134576 -0.1621953 0.03672827 -0.06196455 -0.06954286 -0.01438147 0.03846425 0.009886021 0.05474106 0.04294333 0.07564213 -0.0480151 -0.01100239 -0.08285441 0.001099192 -0.05715836 0.03294868 -0.07901055 -0.08308246 0.08574929 -0.06768483 0.1136644 0 -0.02652087 0.04306177 0.04793542 -0.04271905 -0.003777429 0.03871239 -0.07641799 -0.03213871 -0.01985078 0.003602364 0.007021317 -0.0571336 0.005133591 -0.01519015 0.06559423 -0.04121031 -0.0444014 0.01201726 0.04534783 0.04439633 0.007772585 0.0597124
0.07287874 0.0206595 0.02513776 0.06486793 0.0640646 0.01674184 0.03257267 0.04474637 -0.05008408 0.0197538 0.0450248 0.06724206 0.03064357 -0.01222064 0.06166954 -0.03836329 0.01797868 0.004644756 0.02768039 0.05388322 0.05660697 0.0521858 0.02411005 0.03581266 0.04349297 0.06126985 0.0622939 0.07615413 0.0591725 0.0823427 -0.01440678 0.02230032 0.03197946 0.03926679 0.1036375 0.03891214 0.08531861 0.04818523 0.01275933 0.03742409 -0.04667916 0.03687056 0.0002320065 -0.01475321 0.05657967 0.08964773 0.06186892 -0.08555028 0.01854075 0.02875848 -0.0102475 0.05095254 -0.01836395 -0.03093912 0.05099471 0.05476469 0.08383597 0.08235455 0.1373027 -0.08204523 0.05920352 0.02240867 -0.006833751 0.07520046 -0.01991686 0.01652395 -0.02335037 0.002425555 -0.04376985 -0.03705504 0.03774034 0.05278344 0.02134496 0.04039145 -0.08934733 0.05874445 -0.02050653 0.06280636 0.06660104 0.05193782 -0.009586739 -0.003953689 -0.03308835 0.08346595 0.1024891 -0.04903932 0.09825678 -0.008425904 0.008707959 0.04502512 -0.06017497 0.06869519 0.03854179 0.05852838 -0.07548289 0.01355952 0.09168493 0.05643024 0.05932938 0.08540608
-0.04959688 -0.03573912 -0.02782097 0.004576637 0.03867358 -0.009682083 -0.06342395 -0.05262225 0.01904303 -0.04041465 -0.009720021 0.03185761 0.04445174 -0.07458585 0.06288813 -0.04594184 -0.0422736 -0.006590712 -0.006494433 0.06596965 -0.02041238 0.03184497 0.02629072 -0.08694049 0.03700679 0.02321595 0.02107779 -0.02217948 0.00402722 -0.1262046 -0.01718144 -0.007617264 0.02263187 -0.1079786 0.02360834 -0.02954442 0.02200912 0.06955226 -0.006558664 0.04607138 0.03700011 -0.03620008 -0.03470187 -0.07695108 0.04501703 -0.05799773 -0.05515645 -0.0257495 -0.06801859 0.04041843 -0.05379939 0.01439288 0.008719518 -0.02979013 0.03895051 0.004355754 0.02554552 0.05006999 -0.0280351 -0.04411866 -0.02547134 -0.02144711 -0.0837958 -0.01851533 -0.02275559 0.01403975 -0.008557007 -0.02369722 -0.07915081 0.007320419 2.193344 -0.04599731 -0.04196427 0.02593506 0.07200929 -0.03850254 0.01616695 -0.07547282 0.03026883 -0.00715139 -0.06340021 -0.05211505 -0.05508193 0.004484108 -0.09830971 -0.07050289 0.01946568 -0.07920973 -0.01993874 -0.05920978 0.04314733 0.04026218 0.00454067 -0.03771095 -0.02810673 0.02876307 0.03965409 0.03272475 0.03694345 -0.0057038
-0.03903375 0.03882078 0.0006714942 -0.03284837 0.03603444 0.007158917 0.01397321 -0.02535779 0.004033829 -0.04052496 0.0153904 -0.009749317 -0.06060234 0.02654965 -0.03684499 0.007901509 -0.01992853 -0.03558524 -0.07254016 -0.02910909 0.008395846 -0.05255096 0.007457137 0.006218771 -0.001371843 0.006929995 -0.02718258 -0.05397465 0.007056364 -0.003604636 0.03865276 0.02338049 -0.04043359 0.03068834 -0.01150905 0.004967523 -0.04053856 -0.03031654 0.01680709 -0.01370608 -0.01057583 -0.07875891 -0.0642343 -0.02656701 0.002852081 -0.03596591 -0.03699317 -0.01098722 -0.009758528 0.03352537 -0.05465848 -0.005444917 -0.05434765 -0.09275208 -0.02499803 -0.0383953 0.06342785 0.001936153 -0.01567081 -0.06960096 -0.05479098 0.01283904 -0.03498776 0.02185736 0.008090638 -0.00476417 -0.003521825 -0.001655105 -0.04876945 -0.03532482 0.01183726 -0.01870493 -0.07346713 -0.03120377 -0.007937548 -0.00164839 0.07082142 -0.02746089 -0.01562193 -0.0503833 0.02410681 -0.02147597 0.07470808 0.0388902 0.03468192 -0.05581757 -0.01514817 -0.06460992 -0.007649232 -0.005229057 0.02089503 0.007407393 0.05145008 0.003954152 -0.04373889 -0.03551979 0.04858281 -0.07193403 0.03871769 0.05233465
-0.07343036 0.05244646 -0.1153109 -0.05483377 -0.02613338 0.01064313 -0.04988236 -0.01973131 -0.0895031 -0.0516841 0.05830742 -0.09511141 -0.00417381 -0.04349109 -0.06459561 0.04492469 0.01140881 0.1512482 -0.09851366 -0.03327788 -0.06620457 -0.03326707 -0.0210218 -0.07477292 -0.03527936 -0.01041312 -0.08397565 -0.0479316 -0.02501572 -0.03189211 -0.0669043 0.02830702 -0.06783195 -0.1361507 -0.02635132 -0.08478067 -0.03342287 -0.01208473 0.07058636 -0.02200249 -0.1083741 -0.1216884 -0.01081654 -0.03437542 -0.02579475 -0.05797292 0.04682052 -0.004285683 0.002670891 0.02529413 -0.01204088 -0.018562 0.09315678 -0.02010713 0.0203093 -0.008124755 0.001887506 -0.03263509 0.007642207 -0.121096 -0.06653028 -0.08776886 -0.07711547 0.01022377 -0.05351521 -0.07090491 0.02133101 -0.03626542 -0.03358691 0.07284157 -0.08256749 0.06431454 0.02280027 -0.03603513 0.02268214 -0.03383516 0.01507941 -0.09655568 0.03616174 -0.07785168 0.001133526 -0.04249783 0.02972886 0.0844979 0.01476494 0.01402698 -0.03749888 -0.001396745 -0.05221023 -0.06254977 0.01287516 -0.02442295 -0.02141264 -0.05349735 0.1757734 -0.09972671 0.006318365 0.06381753 0.01507683 -0.03853852
-0.08564482 -0.02963177 -0.104942 -0.1436614 -0.08846788 0.03524841 -0.06321691 -0.07506291 -0.06143207 -0.09358082 -0.0562111 0.006071465 0.03328037 -0.05599061 0.0128061 -0.1456662 -0.05108081 -0.01457514 -0.1266881 -0.01217836 -0.1094732 0.03499596 0.0450014 -0.08213689 0.06414592 0.03732671 -0.1032567 -0.05258621 0.02292306 -0.2034786 -0.02054502 -0.02179237 -0.01407337 -0.05312836 0.0154686 -0.04891636 -0.03079454 0 -0.2098485 0.04690224 -0.03410972 -0.09351001 -0.1256465 -0.3009436 -0.03837525 -0.1238874 -0.1608503 -0.06812404 -0.1826126 0.04444171 -0.07412697 -0.106033 0.00348966 -0.1945828 -0.02084236 0.00906521 -0.03959793 -0.006616602 -0.1037199 -0.1726874 -0.02756079 -0.09863056 -0.07954081 -0.1119874 0.02449216 -0.02701933 -0.1158184 -0.04538912 -0.2401411 -0.1128443 -0.210895 -0.2360528 -0.01896392 -0.06252035 -0.06020426 -0.104855 -0.03735668 -0.05525037 -0.02529442 -0.03729788 -0.1170516 -0.01590029 -0.1976551 -0.0333098 -0.0591181 -0.1495676 0.003699231 -0.1486385 -0.02679323 -0.2041549 -0.0639218 0.01844431 -0.09854502 -0.1103689 -0.1097154 0.07513295 0.08365591 -0.0263379 0.0269881 -0.04344483
0.02358849 -0.06644514 -0.08509277 -0.07346121 -0.05000176 -0.04188714 -0.1886811 -0.01895726 -0.1190128 -0.06916801 0.01707171 -0.04005916 -0.01407435 -0.07233535 -0.008064189 -0.2684117 -0.06532124 -0.009162707 0.01664815 -0.0667874 -0.05381285 -0.007882746 0.02412629 -0.208959 -0.01444191 0.05334159 -0.06816147 -0.09979228 -0.02643664 -0.2364123 -0.02111368 -0.01189792 -0.07095169 -0.1194224 -0.03259234 -0.1448545 -0.01200715 -0.04189907 -0.3741813 -0.01591686 -0.05613842 -0.139717 -0.1216072 -0.1479591 0.002854084 -0.1932177 -0.1033453 -0.07889392 -0.2503862 -0.02906566 -0.2207503 -0.120948 -0.052241 -0.1060596 -0.01450071 -0.02455156 -0.01324368 -0.1017683 0.05813768 -0.2889068 -0.05359203 -0.1511065 -0.03005065 -0.103589 0.017406 0.001403541 0.01411796 -0.0153966 -0.2587707 -0.1567529 -0.1924207 -0.2807785 -0.01090804 -0.05656414 -0.02758004 -0.05485719 -0.03504503 -0.1018507 -0.06613977 -0.1501413 -0.4363993 -0.02721633 -0.2553412 0.004635432 -0.04573365 -0.2063561 0.04469526 -0.2017033 -0.06498376 -0.1819644 -0.1380805 -0.04198863 -0.0171266 -0.02781231 -0.04910085 -0.1094221 -0.03880706 -0.1054887 -0.02488603 -0.02990401
0.1312236 0.06757228 0.1767645 0.1550351 0.111635 0.01118649 0.1845291 0.07248394 0.1207279 0.09339692 0.05431104 0.01682057 0.02722758 0.09528149 0.0411713 0.2070428 0.1262554 0.05970477 0.1424502 0.07848426 0.1028275 0.01273905 0.01939997 0.2462759 0.018878 0.006669899 0.009381257 0.08365925 0.05200676 0.2161736 0.04390098 0.04092522 0.08559634 0.1525932 0.01093079 0.09595574 0.05358422 0.05698229 0.2022184 0.0326031 0.07810222 0.1888497 0.1453971 0.1699965 -0.02087909 0.2622567 0.2127363 0.07158758 0.2164412 0.05569601 0.1432778 0.1981742 0.1101411 0.1351439 0.005126104 0.08880808 0.119354 0.1199089 0.1399556 0.1097626 0.04413779 0.1898532 0.08329889 0.1927282 0.004879389 0.02732312 0.08350052 0.08538752 0.2667388 0.2191706 0.2096625 0.2283736 0.1785511 0.059281 0.07112121 0.1548655 0.1274793 0.1060357 0.1551633 0.1416362 0.2792724 0.09166924 0.3311869 -0.01265899 0.07635802 0.1472523 0.0135448 0.1583164 0.106405 0.2273475 0.1920179 0.04654704 0.1344326 0.1141649 0.1403426 0.1237943 0.09060977 0.1133917 0.08430513 0.03974602
