date TXN MU INTC TSM PFE MRK LLY JPM MS GS
20010131 -0.075013 0.289296 0.230769 0.39942 -0.018478 -0.122243 -0.153257 0.217277 0.072934 0.064828
20010228 -0.325342 -0.252349 -0.2275 -0.219967 -0.000886 -0.024093 0.011929 -0.151482 -0.231958 -0.193407
20010330 0.048393 0.213618 -0.078775 0.035582 -0.09 -0.049377 -0.035238 -0.03772 -0.178566 -0.07248
20010430 0.249879 0.092704 0.174727 0.243077 0.057387 0.000922 0.108792 0.076169 0.177944 0.071915
20010531 -0.118346 -0.173645 -0.125526 -0.180693 -0.006928 -0.034751 -0.000235 0.024385 0.035356 0.043908
20010629 -0.065064 0.096 0.082932 0.070795 -0.066216 -0.124401 -0.126328 -0.092574 -0.011998 -0.097792
20010731 0.082171 0.021898 0.019145 0.073074 0.029214 0.063683 0.071351 -0.021525 -0.065079 -0.029371
20010831 -0.04058 -0.104524 -0.061389 -0.203681 -0.067928 -0.037217 -0.017281 -0.090069 -0.108158 -0.036797
20010928 -0.245317 -0.499335 -0.268956 -0.268875 0.046724 0.023041 0.039547 -0.133249 -0.131209 -0.109238
20011031 0.121347 0.20871 0.194716 0.360379 0.044888 -0.041892 -0.052045 0.045388 0.06041 0.097127
20011130 0.145052 0.193322 0.338247 0.233927 0.036277 0.061746 0.084314 0.066742 0.134505 0.13869
20011231 -0.126365 0.141384 -0.037048 0.077841 -0.079889 -0.126937 -0.049958 -0.03632 0.007928 0.042135
20020131 0.115402 0.08871 0.114149 -0.011648 0.045671 0.006463 -0.043799 -0.05392 -0.012692 -0.060916
20020228 -0.059596 -0.047407 -0.184646 -0.042428 -0.013919 0.03633 0.012517 -0.140969 -0.106909 -0.069441
20020328 0.127768 0.023328 0.065149 0.276923 -0.029785 -0.055438 0.006206 0.218803 0.166735 0.115023
20020430 -0.064917 -0.279635 -0.059191 -0.146988 -0.085305 -0.05627 -0.133202 -0.005891 -0.163322 -0.126094
20020531 -0.073068 -0.005063 -0.033904 -0.063277 -0.044567 0.050791 -0.015746 0.024217 -0.04736 -0.041905
20020628 -0.173352 -0.142494 -0.338523 -0.137515 0.011561 -0.107005 -0.128284 -0.056467 -0.052354 -0.027833
20020731 -0.02231 -0.036103 0.028462 -0.298462 -0.075714 -0.020537 0.035816 -0.254127 -0.058032 -0.001091
20020830 -0.149028 -0.114931 -0.111762 -0.104167 0.026584 0.018548 -0.001027 0.057692 0.058736 0.056733
20020930 -0.250254 -0.282899 -0.166767 -0.222766 -0.122733 -0.088084 -0.046684 -0.280682 -0.206929 -0.145796
20021031 0.075237 0.293452 0.2455 0.231496 0.094762 0.186611 0.002891 0.110585 0.155549 0.086173
20021129 0.261665 -0.011875 0.208092 0.182864 -0.003462 0.095317 0.236216 0.213012 0.162384 0.101536
20021231 -0.249875 -0.383934 -0.25431 -0.237838 -0.030447 -0.041071 -0.070278 -0.046484 -0.117595 -0.136554
20030131 0.060709 -0.157084 0.008349 -0.049645 -0.001963 -0.021551 -0.051339 -0.013333 -0.04484 0.001762
20030228 0.053459 -0.026797 0.100637 0.058209 -0.017787 -0.047662 -0.055528 -0.028278 -0.027705 0.019824
20030331 -0.022687 0.018774 -0.056779 -0.035261 0.044936 0.045308 0.010431 0.045414 0.040706 -0.019726
20030430 0.130803 0.044226 0.128378 0.223684 -0.013158 0.062066 0.11671 0.252214 0.172881 0.116627
