year mon unem ip   pmi tcu
1967 1 3.9 35.1284 49.1 89.4
1967 2 3.8 34.73 47.6 88
1967 3 3.8 34.5342 45.3 87.1
1967 4 3.8 34.8599 42.8 87.5
1967 5 3.8 34.5558 44.5 86.4
1967 6 3.9 34.5515 46.8 86
1967 7 3.8 34.4728 49.5 85.4
1967 8 3.8 35.1332 52.2 86.6
1967 9 3.8 35.0762 54.9 86.1
1967 10 4 35.3619 54.1 86.4
1967 11 3.9 35.8676 54.2 87.3
1967 12 3.8 36.2539 55.6 87.8
1968 1 3.7 36.2149 56.6 87.4
1968 2 3.8 36.3447 55 87.3
1968 3 3.7 36.4581 53.8 87.3
1968 4 3.5 36.5109 58 87.1
1968 5 3.5 36.9204 55.3 87.7
1968 6 3.7 37.056 53.5 87.7
1968 7 3.7 36.9992 54.1 87.2
1968 8 3.5 37.1025 52.7 87.1
1968 9 3.4 37.243 51.8 87.1
1968 10 3.4 37.3169 55.8 86.9
1968 11 3.4 37.7996 58.1 87.7
1968 12 3.4 37.919 56.1 87.7
1969 1 3.4 38.1484 54.9 87.9
1969 2 3.4 38.3925 57 88.1
1969 3 3.4 38.6936 57.1 88.5
1969 4 3.4 38.5512 55.2 87.8
1969 5 3.4 38.4055 56.7 87.2
1969 6 3.5 38.7807 55.5 87.7
1969 7 3.5 38.9854 53.1 87.9
1969 8 3.5 39.075 54.8 87.8
1969 9 3.7 39.0662 54.1 87.4
1969 10 3.7 39.0777 54.6 87.2
1969 11 3.5 38.7093 53.2 86
1969 12 3.5 38.6054 52 85.5
1970 1 3.9 37.8906 48.7 83.7
1970 2 4.2 37.8656 47.4 83.3
1970 3 4.4 37.8164 46.9 83
1970 4 4.6 37.7192 45 82.5
1970 5 4.8 37.6752 47.2 82.1
1970 6 4.9 37.5534 51.1 81.6
1970 7 5 37.6456 49.5 81.6
1970 8 5.1 37.5785 47.3 81.2
1970 9 5.4 37.3194 44.1 80.4
1970 10 5.5 36.5729 42.4 78.5
1970 11 5.9 36.3514 39.7 77.8
1970 12 6.1 37.1862 45.4 79.4
1971 1 5.9 37.4722 47.9 79.7
1971 2 5.9 37.4008 54.8 79.4
1971 3 6 37.3603 51.2 79.1
1971 4 5.9 37.5701 54.5 79.3
1971 5 5.9 37.7608 54.2 79.5
1971 6 5.9 37.9191 53.8 79.7
1971 7 6 37.8091 54.4 79.2
1971 8 6.1 37.5896 53.6 78.6
1971 9 6 38.2005 55.1 79.7
1971 10 5.8 38.4865 55 80.1
1971 11 6 38.6498 52.3 80.2
1971 12 6 39.096 57.6 80.9
1972 1 5.8 40.0366 59.6 82.7
1972 2 5.7 40.4106 60.6 83.2
1972 3 5.8 40.7166 59.8 83.7
1972 4 5.7 41.1331 59.3 84.3
1972 5 5.7 41.1169 61.4 84.1
1972 6 5.7 41.2277 58.6 84.1
1972 7 5.6 41.2156 60.1 83.8
1972 8 5.6 41.7568 61.7 84.7
1972 9 5.5 42.0634 65.1 85.1
1972 10 5.6 42.6444 67 86
1972 11 5.3 43.1437 69.9 86.8
1972 12 5.2 43.6363 70.5 87.5
1973 1 4.9 43.935 72.1 87.8
1973 2 5 44.5965 69.6 88.8
1973 3 4.9 44.6051 69.6 88.6
1973 4 5 44.5285 67.7 88.1
1973 5 4.9 44.8198 64.8 88.4
1973 6 4.9 44.8416 65 88.1
1973 7 4.8 45.0375 57.8 88.2
1973 8 4.8 44.9582 62.7 87.8
1973 9 4.8 45.3602 63.5 88.3
1973 10 4.6 45.6748 66.2 88.6
1973 11 4.8 45.8995 68.1 88.8
1973 12 4.9 45.7826 63.6 88.3
1974 1 5.1 45.4571 62.1 87.4
1974 2 5.2 45.3244 58.6 86.9
1974 3 5.1 45.3185 61.8 86.6
1974 4 5.1 45.2008 59.9 86.2
1974 5 5.1 45.5261 55.7 86.6
1974 6 5.4 45.4993 54.7 86.4
1974 7 5.5 45.4944 54.8 86.2
1974 8 5.5 45.0631 52.9 85.2
1974 9 5.9 45.0971 46.2 85.1
1974 10 6 44.9307 42.7 84.6
1974 11 6.6 43.4493 37.9 81.6
1974 12 7.2 41.9102 30.9 78.6
1975 1 8.1 41.3541 30.7 77.4
1975 2 8.1 40.3934 34.4 75.5
1975 3 8.6 39.9738 31.6 74.6
1975 4 8.8 39.9894 37.5 74.5
1975 5 9 39.9037 41.2 74.2
1975 6 8.8 40.181 45.1 74.6
1975 7 8.6 40.6075 47.2 75.2
1975 8 8.4 40.9685 51.4 75.8
1975 9 8.4 41.4881 54.4 76.6
1975 10 8.4 41.6488 55.5 76.7
1975 11 8.3 41.758 54.5 76.8
1975 12 8.2 42.2782 54.9 77.6
1976 1 7.9 42.8986 58.8 78.6
1976 2 7.7 43.3025 61.5 79.1
1976 3 7.6 43.3471 58.4 79
1976 4 7.7 43.6001 60.6 79.3
1976 5 7.4 43.8063 58.8 79.5
1976 6 7.6 43.8105 58.2 79.4
1976 7 7.8 44.0631 55.9 79.6
1976 8 7.8 44.3675 54.5 80
1976 9 7.6 44.4946 53.6 80.1
1976 10 7.7 44.5257 53.5 80
1976 11 7.8 45.1865 51.7 81
1976 12 7.8 45.6449 56.6 81.6
1977 1 7.5 45.3849 54.8 80.9
1977 2 7.6 46.0537 55 81.9
1977 3 7.4 46.6254 58.4 82.8
1977 4 7.2 47.0805 56.9 83.4
1977 5 7 47.4718 59.7 83.8
1977 6 7.2 47.8266 56.8 84.2
1977 7 6.9 47.8995 57.7 84.1
1977 8 7 47.9211 54.9 84
1977 9 6.8 48.15 53.9 84.1
1977 10 6.8 48.2814 55.4 84.1
1977 11 6.8 48.2984 56.1 83.9
1977 12 6.4 48.3563 59.8 83.7
1978 1 6.4 47.7012 57.4 82.4
1978 2 6.3 47.9462 55.9 82.6
1978 3 6.3 48.8652 55 83.9
1978 4 6.1 49.8332 57.7 85.3
1978 5 6 50.0241 60.2 85.4
1978 6 5.9 50.3739 60.5 85.7
1978 7 6.2 50.3567 62.2 85.5
1978 8 5.9 50.549 60.3 85.5
1978 9 6 50.6873 60.5 85.5
1978 10 5.8 51.107 60.1 86
1978 11 5.9 51.4706 61.3 86.4
1978 12 6 51.7636 59.4 86.7
1979 1 5.9 51.4172 58.5 85.9
1979 2 5.9 51.7119 58.2 86.1
1979 3 5.8 51.8729 57.7 86.2
1979 4 5.8 51.3136 56.2 85
1979 5 5.6 51.7058 54.4 85.5
1979 6 5.7 51.7186 52.7 85.3
1979 7 5.7 51.6257 51.3 85
1979 8 6 51.2791 49.5 84.2
1979 9 5.9 51.3539 49.6 84.1
1979 10 6 51.6336 49 84.4
1979 11 5.9 51.581 48 84.2
1979 12 6 51.6193 44.8 84
1980 1 6.3 51.8379 46.2 84.2
1980 2 6.3 51.8795 50.2 84.1
1980 3 6.3 51.7177 43.6 83.7
