Start Date,1/10/2000,,,
End Date,,,,
,,,,
SPX Index,5 day,20 day,50 day,200 day
Dates,SMAVG,SMAVG,SMAVG,SMAVG
1/10/2000,1420.81,1434.436,1411.286,1350.26785
1/11/2000,1428.638,1435.603,1412.7986,1350.9098
1/12/2000,1434.666,1437.057,1414.3612,1351.5673
1/13/2000,1443.912,1438.875,1416.4,1352.38385
1/14/2000,1448.648,1441.1935,1418.6044,1353.241
1/18/2000,1448.156,#N/A N/A,#N/A N/A,#N/A N/A
1/19/2000,1451.624,1442.899,1420.4544,1353.9111
1/20/2000,1454.288,1444.7895,1422.1678,1354.60115
1/21/2000,1452.624,1445.3965,1423.539,1355.19455
1/24/2000,1439.9,1445.658,1425.0606,1355.68145
1/25/2000,1430.878,1442.8175,1425.622,1355.94735
1/26/2000,1420.516,1440.464,1426.1934,1356.2043
1/27/2000,1411.114,1437.7855,1426.354,1356.47565
1/28/2000,1394.874,1434.5405,1426.4374,1356.82625
1/31/2000,1393.46,1429.325,1425.2392,1357.01275
2/1/2000,1393.31,1425.5855,1424.9142,1357.39005
2/2/2000,1394.316,1423.2885,1424.601,1357.98905
2/3/2000,1399.598,1423.7735,1424.3434,1358.5038
2/4/2000,1412.44,1424.9165,1424.424,1358.94805
2/7/2000,1418.396,1425.9625,1424.8186,1359.2758
2/8/2000,1424.884,1425.101,1424.9618,1359.61275
2/9/2000,1425.4,1424.307,1425.4638,1360.02115
2/10/2000,1423.772,1422.964,1425.5412,1360.26565
2/11/2000,1416.322,1422.193,1426.0996,1360.59525
2/14/2000,1409.462,1419.065,1425.8876,1360.8167
2/15/2000,1401.528,1415.3045,1425.5056,1361.0905
2/16/2000,1396.722,1412.65,1424.8806,1361.3276
2/17/2000,1391.008,1409.2385,1424.1674,1361.60595
2/18/2000,1382.802,1406.373,1423.7492,1361.8107
2/22/2000,1375.248,1401.6095,1422.5934,1361.8809
2/23/2000,1366.976,#N/A N/A,#N/A N/A,#N/A N/A
2/24/2000,1360.128,1399.1415,1421.4746,1361.91675
2/25/2000,1349.148,1396.6745,1420.3476,1362.0187
2/28/2000,1349.54,1394.1415,1419.1118,1362.0078
2/29/2000,1352.39,1390.8815,1417.7156,1361.8546
3/1/2000,1356.09,1390.276,1416.4102,1361.75705
3/2/2000,1361.756,1388.874,1415.363,1361.90015
3/3/2000,1376.918,1387.3695,1414.5262,1362.09865
3/6/2000,1385.564,1386.0015,1413.7996,1362.34085
3/7/2000,1383.404,1385.2115,1413.3144,1362.66555
3/8/2000,1380.906,1383.557,1412.4174,1362.9278
3/9/2000,1384.892,1380.126,1410.363,1363.05445
3/10/2000,1382.072,1376.375,1408.555,1363.3547
3/13/2000,1380.54,1375.8745,1407.4356,1363.94115
3/14/2000,1381.246,1374.7865,1406.0678,1364.3927
3/15/2000,1386.336,1374.6115,1404.4508,1364.90375
3/16/2000,1397.692,1373.072,1402.2488,1365.1903
3/17/2000,1411.572,1372.577,1400.9874,1365.67975
3/20/2000,1426.174,1376.117,1402.1684,1366.49805
3/21/2000,1453.118,1379.9275,1403.4156,1367.3227
3/22/2000,1474.816,1385.4545,1404.4792,1367.9671
3/23/2000,1488.592,1392.5395,1405.5272,1368.76385
3/24/2000,1501.19,1399.537,1406.388,1369.6804
3/27/2000,1514.636,1408.233,1408.1638,1370.72395
3/28/2000,1517.408,1417.938,1410.068,1371.84715
3/29/2000,1518.984,1426.7285,1411.5516,1372.99825
3/30/2000,1511.098,1433.794,1412.4032,1374.0669
3/31/2000,1505.322,1440.2605,1413.4708,1375.1037
4/3/2000,1501.744,1445.5685,1414.1112,1375.89125
4/4/2000,1499.144,1450.039,1415.1714,1376.68465
4/5/2000,1494.914,1455.7735,1416.4636,1377.5003
4/6/2000,1497.598,1462.729,1418.3276,1378.22895
4/7/2000,1501.152,1468.7625,1419.8744,1378.9864
4/10/2000,1500.85,1473.745,1421.8194,1379.8278
4/11/2000,1502.022,1479.809,1424.1752,1380.83065
4/12/2000,1497.982,1485.851,1427.0612,1381.7764
4/13/2000,1485.816,1492.923,1429.1838,1382.6226
4/14/2000,1453.858,1496.674,1430.3416,1383.2012
4/17/2000,1433.254,1495.776,1430.9694,1383.5402
4/18/2000,1421.458,1490.3805,1429.6012,1383.4182
4/19/2000,1413.518,1487.621,1429.1426,1383.4693
4/20/2000,1412.324,1485.008,1429.49,1383.73675
4/24/2000,1426.984,1481.3495,1429.205,1383.8948
4/25/2000,1442.184,1476.709,1429.6618,1384.0954
4/26/2000,1446.06,#N/A N/A,#N/A N/A,#N/A N/A
4/27/2000,1453.55,1471.829,1429.9224,1384.2283
4/28/2000,1457.128,1469.508,1431.7288,1384.62
5/1/2000,1464.806,1467.171,1433.1498,1384.95715
5/2/2000,1458.576,1464.991,1434.4072,1385.2909
5/3/2000,1449.398,1463.2165,1435.7024,1385.50495
5/4/2000,1438.328,1461.7,1437.3022,1385.7523
5/5/2000,1434.368,1458.716,1439.3062,1385.9455
5/8/2000,1425.552,1454.7345,1440.5648,1386.1355
5/9/2000,1418.722,1450.8445,1441.5424,1386.2869
5/10/2000,1412.312,1447.409,1443.1264,1386.6452
5/11/2000,1411.96,1442.8,1444.9426,1386.98135
5/12/2000,1409.626,1438.184,1446.2244,1387.30325
5/15/2000,1415.264,1432.307,1446.557,1387.4043
5/16/2000,1426.044,1429.339,1447.1294,1387.61635
5/17/2000,1438.994,1428.3615,1447.9134,1388.016
5/18/2000,1444.874,1433.1515,1448.7772,1388.6342
5/19/2000,1442.072,1436.3815,1450.2724,1389.32415
5/22/2000,1431.744,1436.691,1452.116,1389.95225
5/23/2000,1413.308,1437.178,1453.5262,1390.61165
5/24/2000,1403.558,1435.7985,1453.6314,1391.07785
5/25/2000,1392.42,1434.3415,1453.7444,1391.58
5/26/2000,1386.634,1429.1625,1453.5492,1391.9603
5/30/2000,1390.98,1426.0655,1454.3472,1392.5484
5/31/2000,1400.328,1421.8955,1454.1346,1392.94635
6/1/2000,1410.28,1418.175,1452.5256,1393.34565
6/2/2000,1429.428,#N/A N/A,#N/A N/A,#N/A N/A
6/5/2000,1447.35,1415.885,1451.6852,1393.8195
6/6/2000,1454.428,1414.6005,1450.9646,1394.26865
6/7/2000,1464.58,1416.286,1450.0634,1394.7919
6/8/2000,1467.152,1419.6705,1449.5958,1395.514
6/9/2000,1463.09,1421.4205,1448.4014,1396.2342
6/12/2000,1458.764,1423.104,1447.009,1396.84035
6/13/2000,1461.084,1426.065,1445.959,1397.39605
6/14/2000,1460.92,1429.996,1445.0378,1397.8869
6/15/2000,1464.332,1432.453,1444.0064,1398.2627
6/16/2000,1465.834,1433.705,1443.168,1398.68265
6/19/2000,1473.834,1434.559,1442.5852,1399.2885
6/20/2000,1475.136,1434.784,1441.8766,1400.0211
6/21/2000,1476.854,1436.3305,1441.5566,1400.8127
6/22/2000,1471.544,1437.693,1441.0984,1401.47965
6/23/2000,1466.948,1441.6455,1440.7916,1402.3141
6/26/2000,1460.81,1445.407,1439.9836,1402.90765
6/27/2000,1455.73,1450.6705,1439.477,1403.55105
6/28/2000,1450.868,1453.327,1438.5088,1404.0912
6/29/2000,1448.91,1456.325,1437.995,1404.5603
6/30/2000,1451.534,1460.1895,1438.291,1405.07855
7/3/2000,1454.38,1461.5945,1440.1708,1405.61065
7/5/2000,1453.516,1463.3055,1441.2384,1406.2033
7/6/2000,1453.886,1462.9845,1441.254,1406.8254
7/7/2000,1461.188,1461.8515,1441.7966,1407.506
7/10/2000,1465.392,1461.947,1442.4966,1408.1766
7/11/2000,1467.66,#N/A N/A,#N/A N/A,#N/A N/A
7/12/2000,1476.998,1461.3665,1442.824,1408.7301
7/13/2000,1484.832,1460.632,1442.4086,1409.47555
7/14/2000,1491.048,1461.4935,1442.7668,1410.3175
7/17/2000,1498.022,1462.427,1442.9808,1411.29355
7/18/2000,1500.594,1464.171,1443.5498,1412.31115
7/19/2000,1498.402,1465.345,1444.0432,1413.3592
7/20/2000,1498.348,1466.61,1445.0342,1414.4274
7/21/2000,1492.39,1468.1725,1446.9318,1415.63545
7/24/2000,1483.15,1470.474,1448.9502,1416.77435
7/25/2000,1479.296,1470.861,1450.1724,1417.829
7/26/2000,1473.388,1471.1615,1451.3282,1418.7158
7/27/2000,1464.198,1471.9835,1452.9968,1419.6869
7/28/2000,1452.138,1473.384,1454.9396,1420.46085
7/31/2000,1445.446,1474.5245,1456.0692,1421.1941
8/1/2000,1438.172,1475.4825,1457.1394,1421.88635
8/2/2000,1435.428,1475.576,1457.1406,1422.4724
8/3/2000,1436.016,1475.316,1456.8122,1423.1553
8/4/2000,1444.624,1474.191,1456.254,1423.827
8/7/2000,1454.322,1473.0025,1456.1264,1424.56405
8/8/2000,1463.262,1471.4305,1456.7494,1425.5175
8/9/2000,1470.096,1471.054,1457.509,1426.44035
8/10/2000,1471.634,1470.8485,1459.083,1427.39655
8/11/2000,1473.416,1470.05,1460.3606,1428.26405
8/14/2000,1475.864,1470.235,1462.3166,1429.2426
8/15/2000,1476.19,1470.331,1464.4122,1430.14835
8/16/2000,1477.586,1469.3285,1465.4206,1431.04455
8/17/2000,1484.75,1467.549,1466.2136,1431.93625
8/18/2000,1488.726,1465.642,1466.6742,1432.8119
8/21/2000,1490.31,1464.6955,1466.9602,1433.5575
8/22/2000,1493.05,1464.23,1467.2962,1434.165
8/23/2000,1498.274,1464.1245,1467.7364,1434.79365
8/24/2000,1500.722,1464.1495,1468.2306,1435.5353
8/25/2000,1503.668,1464.726,1468.8316,1436.21925
8/28/2000,1506.59,1466.4855,1469.6822,1436.90345
8/29/2000,1508.932,1467.6685,1470.7248,1437.54295
8/30/2000,1508.256,1470.346,1471.4554,1438.18775
8/31/2000,1510.13,1473.2805,1472.2108,1438.9029
9/1/2000,1512.994,1477.6085,1472.7652,1439.56785
9/5/2000,1511.592,1481.7715,1473.7578,1440.231
9/6/2000,1508.074,1485.3585,1474.2346,1440.7999
9/7/2000,1508.058,1488.553,1474.7674,1441.3409
9/8/2000,1503.422,1491.809,1475.5384,1441.82895
9/11/2000,1497.12,1494.701,1476.9102,1442.37925
9/12/2000,1492.102,#N/A N/A,#N/A N/A,#N/A N/A
9/13/2000,1490.634,1496.089,1478.2222,1442.78995
9/14/2000,1486.306,1496.5615,1478.961,1443.1412
9/15/2000,1480.568,1498.0435,1480.0002,1443.54905
9/18/2000,1471.618,1499.756,1480.7938,1443.99835
9/19/2000,1467.2,1500.627,1481.7312,1444.35925
9/20/2000,1460.486,1500.1485,1482.279,1444.6861
9/21/2000,1454.122,1500.1725,1482.5864,1445.0715
9/22/2000,1450.704,1500.2235,1483.2792,1445.5313
9/25/2000,1449.608,1498.7105,1483.462,1445.87175
9/26/2000,1443.07,1496.35,1482.7742,1446.0491
