Security,.BL-BR U Index                                                  
Start Date,5/31/1991 0:00
End Date,5/14/2021 0:00
Period,W
,
Date,PX_LAST
5/14/2021,9.5
5/7/2021,21.2
4/30/2021,16.9
4/23/2021,32.2
4/16/2021,29.2
4/9/2021,36.5
4/2/2021,22.6
3/26/2021,30.3
3/19/2021,25.3
3/12/2021,25.9
3/5/2021,15
2/26/2021,22.1
2/19/2021,21.7
2/12/2021,19.2
2/5/2021,1.8
1/29/2021,-0.6
1/22/2021,8
1/8/2021,13.5
1/1/2021,19.3
12/25/2020,21.6
12/18/2020,17.1
12/11/2020,21.2
12/4/2020,26.39
11/27/2020,19.78
11/20/2020,17.99
11/13/2020,30.97
11/6/2020,6.48
10/30/2020,0
10/23/2020,2.72
10/16/2020,-0.97
10/9/2020,-4.23
10/2/2020,-16.83
9/25/2020,-21.1
9/18/2020,-8.37
9/11/2020,-24.74
9/4/2020,-10.97
8/28/2020,-7.54
8/21/2020,-12.01
8/14/2020,-12.08
8/7/2020,-24.31
7/31/2020,-28.24
7/24/2020,-20.77
7/17/2020,-14.53
7/10/2020,-15.51
7/3/2020,-23.74
6/26/2020,-24.76
6/19/2020,-23.41
6/12/2020,-3.77
6/5/2020,-4.32
5/29/2020,-9.06
5/22/2020,-16.02
5/15/2020,-27.3
5/8/2020,-28.99
5/1/2020,-13.43
4/24/2020,-25.14
4/17/2020,-7.89
4/10/2020,-8.07
4/3/2020,-15.49
3/27/2020,-19.17
3/20/2020,-16.8
3/13/2020,-21.57
3/6/2020,-0.9
2/28/2020,-8.7
2/21/2020,11.89
2/14/2020,14.93
2/7/2020,-1.35
1/31/2020,-4.88
1/24/2020,20.83
1/17/2020,14.32
1/10/2020,3.18
1/3/2020,15.34
12/27/2019,20.36
12/20/2019,23.62
12/13/2019,11.58
12/6/2019,2.59
11/29/2019,3.36
11/22/2019,5.21
11/15/2019,15.9
11/8/2019,16.37
11/1/2019,5.55
10/25/2019,7.33
10/18/2019,2.57
10/11/2019,-23.65
10/4/2019,-18.07
9/27/2019,-3.89
9/20/2019,7.52
9/13/2019,1.88
9/6/2019,-10.87
8/30/2019,-16.08
8/23/2019,-13.08
8/16/2019,-21.67
8/9/2019,-26.54
8/2/2019,14.38
7/26/2019,-0.28
7/19/2019,7.29
7/12/2019,6.11
7/5/2019,0.81
6/28/2019,-2.46
6/21/2019,-2.62
6/14/2019,-7.36
6/7/2019,-20.05
5/31/2019,-15.29
5/24/2019,-11.37
5/17/2019,-9.48
5/10/2019,19.93
5/3/2019,17.68
4/26/2019,13.35
4/19/2019,15.73
4/12/2019,19.91
4/5/2019,6.75
3/29/2019,6
3/22/2019,13.89
3/15/2019,1.36
3/8/2019,10.64
3/1/2019,21.63
2/22/2019,13.93
2/15/2019,10.03
2/8/2019,17.09
2/1/2019,0
1/25/2019,5.34
1/18/2019,-2.72
1/11/2019,9.09
1/4/2019,-9.75
12/28/2018,-18.75
12/21/2018,-22.44
12/14/2018,-27.97
12/7/2018,7.44
11/30/2018,-5.59
11/23/2018,-21.89
11/16/2018,-0.87
11/9/2018,10.09
11/2/2018,3.45
10/26/2018,-13.03
10/19/2018,-1.08
10/12/2018,-4.84
10/5/2018,20.55
9/28/2018,5.12
9/21/2018,0
9/14/2018,-0.75
9/7/2018,15.92
8/31/2018,19.11
8/24/2018,11.39
8/17/2018,7.09
8/10/2018,5.33
8/3/2018,-2.97
7/27/2018,4.62
7/20/2018,9.72
7/13/2018,13.9
7/6/2018,-11.42
6/29/2018,-12.35
6/22/2018,12.54
6/15/2018,23.08
6/8/2018,12.21
6/1/2018,8.67
5/25/2018,13.4
5/18/2018,16.1
5/11/2018,7.98
5/4/2018,-1.85
4/27/2018,11.36
4/20/2018,8.56
4/13/2018,-16.66
4/6/2018,-4.74
3/30/2018,-3.39
3/23/2018,4.74
3/16/2018,15.51
3/9/2018,-1.98
3/2/2018,21.63
2/23/2018,21.86
2/16/2018,27.11
2/9/2018,2.02
2/2/2018,16.01
1/26/2018,21.42
1/19/2018,32.72
1/12/2018,23.6
1/5/2018,44.19
12/29/2017,32.02
12/22/2017,24.88
12/15/2017,16.87
12/8/2017,2.66
12/1/2017,4.33
11/24/2017,6.48
11/17/2017,-5.87
11/10/2017,22.02
11/3/2017,16.48
10/27/2017,6.61
10/20/2017,10
10/13/2017,12.87
10/6/2017,2.8
9/29/2017,4.59
9/22/2017,12.93
9/15/2017,19.32
9/8/2017,-6.46
9/1/2017,-14.89
8/25/2017,-10.19
8/18/2017,1.37
8/11/2017,1.34
8/4/2017,4.01
7/28/2017,10.14
7/21/2017,9.67
7/14/2017,-1.39
7/7/2017,-0.28
6/30/2017,2.85
6/23/2017,3.74
6/16/2017,2.79
6/9/2017,5.9
6/2/2017,-4.62
5/26/2017,2.86
5/19/2017,-10.4
5/12/2017,2.51
5/5/2017,8.12
4/28/2017,6.34
4/21/2017,-12.99
4/14/2017,-8.41
4/7/2017,-11.32
3/31/2017,-7.16
3/24/2017,4.78
3/17/2017,-7.53
3/10/2017,-16.5
3/3/2017,2.29
2/24/2017,6.15
2/17/2017,0.73
2/10/2017,8.15
2/3/2017,-1.37
1/27/2017,-1.91
1/20/2017,4.33
1/13/2017,16.67
1/6/2017,20.97
12/30/2016,19.83
12/23/2016,15.4519
12/16/2016,12.3287
12/9/2016,16.6324
12/2/2016,18.6747
11/25/2016,27.8131
11/18/2016,20.0811
11/11/2016,9.5556
11/4/2016,-10.6818
10/28/2016,-9.3137
10/21/2016,-14.0756
10/14/2016,-8.2547
10/7/2016,0.8928
9/30/2016,-13.1111
9/23/2016,-13.4571
9/16/2016,-7.9823
9/9/2016,1.2658
9/2/2016,-2.92
8/26/2016,-0.2132
8/19/2016,9.2051
8/12/2016,4.5351
8/5/2016,3.0142
7/29/2016,2.8409
7/22/2016,8.7045
7/15/2016,12.4424
7/8/2016,4.4053
7/1/2016,-4.5093
6/24/2016,-13.2576
6/17/2016,-12.1528
6/10/2016,0
6/3/2016,1.1173
5/27/2016,-11.6371
5/20/2016,-14.7583
5/13/2016,-10.8843
5/6/2016,-8.0097
4/29/2016,-1.2345
4/22/2016,9.4828
4/15/2016,2.9536
4/8/2016,10.7306
4/1/2016,1.4199
3/25/2016,10.0672
3/18/2016,3.0992
3/11/2016,12.984
3/4/2016,2.7668
2/26/2016,-0.2212
2/19/2016,-10.2421
2/12/2016,-29.4589
2/5/2016,-7.1698
1/29/2016,-10.2113
1/22/2016,-27.1845
1/15/2016,-27.6265
1/8/2016,-16.087
1/1/2016,1.4577
12/25/2015,-5.1124
12/18/2015,-15.5132
12/11/2015,-1.3794
12/4/2015,8.2949
11/27/2015,6.326
11/20/2015,0.2197
11/13/2015,11.2676
11/6/2015,20.4
10/30/2015,19.804
10/23/2015,10.7422
10/16/2015,6.9387
10/9/2015,9.3333
10/2/2015,-11.8126
9/25/2015,3.4261
9/18/2015,4.1323
9/11/2015,-0.3591
9/4/2015,0.7117
8/28/2015,-5.7692
8/21/2015,-6.5134
8/14/2015,-5.6974
8/7/2015,-7.3375
7/31/2015,-19.598
7/24/2015,6.94
7/17/2015,7.5676
7/10/2015,-1.2685
7/3/2015,-12.4756
6/26/2015,13.8889
6/19/2015,-8.893
6/12/2015,-12.5468
6/5/2015,2.7094
5/29/2015,1.8622
5/22/2015,0.2119
5/15/2015,0.3876
5/8/2015,0.2165
5/1/2015,8.885
4/24/2015,8.2816
4/17/2015,9.2827
4/10/2015,4.5558
4/3/2015,3.4364
3/27/2015,14.0496
3/20/2015,-4.321
3/13/2015,6.1889
3/6/2015,16.4473
2/27/2015,25.0746
2/20/2015,29.1391
2/13/2015,19.6721
2/6/2015,3.0717
1/30/2015,21.7792
1/23/2015,6.3492
1/16/2015,24.6106
1/9/2015,13.3094
1/2/2015,32.4325
12/26/2014,32.0755
12/19/2014,11.8577
12/12/2014,22.6804
12/5/2014,16.7364
11/28/2014,31.3531
11/21/2014,25.2941
11/14/2014,38.6207
11/7/2014,37.6344
10/31/2014,28.3019
10/24/2014,27.1875
10/17/2014,8.9673
10/10/2014,8.8957
10/3/2014,4.5139
9/26/2014,13.6054
9/19/2014,19.2546
9/12/2014,13.782
9/5/2014,20.7101
8/29/2014,32.6923
8/22/2014,22.4551
8/15/2014,12.8527
8/8/2014,-7.3394
8/1/2014,0
7/25/2014,-0.3087
7/18/2014,3.8835
7/11/2014,8.9887
7/4/2014,16.1194
6/27/2014,16.129
6/20/2014,11.0465
6/13/2014,23.4375
6/6/2014,17.284
5/30/2014,13.2597
5/23/2014,4.0373
5/16/2014,10.5095
5/9/2014,-0.3185
5/2/2014,0.3237
4/25/2014,8.4795
4/18/2014,-7.0337
4/11/2014,-5.6292
4/4/2014,8.5714
3/28/2014,2.5496
3/21/2014,10.6322
3/14/2014,14.5252
3/7/2014,13.881
2/28/2014,18.5567
2/21/2014,19.4
2/14/2014,12.8079
2/7/2014,-8.5106
1/31/2014,-0.5747
1/24/2014,14.3603
1/17/2014,17.5066
1/10/2014,18.617
1/3/2014,13.8211
12/27/2013,36.5169
12/20/2013,22.3729
12/13/2013,16.2651
12/6/2013,15.0943
11/29/2013,19.0476
11/22/2013,4.9133
11/15/2013,11.7284
11/8/2013,23.676
11/1/2013,23.4899
10/25/2013,31.6294
10/18/2013,21.3592
10/11/2013,7.7491
10/4/2013,7.7702
9/27/2013,5.4422
9/20/2013,15.4136
9/13/2013,20.9303
9/6/2013,4.28
8/30/2013,2.7951
8/23/2013,-13.8996
8/16/2013,6.338
8/9/2013,12.8526
8/2/2013,10.6164
7/26/2013,22.5589
7/19/2013,26.4808
7/12/2013,30.6383
7/5/2013,18.1495
6/28/2013,-4.893
6/21/2013,7.4907
6/14/2013,-1.6216
6/7/2013,-9.4737
5/31/2013,6.3241
5/24/2013,27.3973
5/17/2013,9.1483
5/10/2013,13.3574
5/3/2013,-4.9296
4/26/2013,-10.5263
4/19/2013,-21.3699
4/12/2013,-35.1725
4/5/2013,7.324
3/29/2013,9.7421
3/22/2013,5.6106
3/15/2013,13.39
3/8/2013,-7.4534
3/1/2013,-8.2019
2/22/2013,9.2857
2/15/2013,13.5211
2/8/2013,13.2076
2/1/2013,23.743
1/25/2013,28.0702
1/18/2013,16.6198
1/11/2013,19.5266
1/4/2013,2.509
12/28/2012,14.1791
12/21/2012,21.6
12/14/2012,13.1579
12/7/2012,7.619
11/30/2012,6.57
11/23/2012,-4.9645
11/16/2012,-20
11/9/2012,-1.4084
11/2/2012,-5.2459
10/26/2012,-13.8365
10/19/2012,-15.8879
10/12/2012,-8.2734
10/5/2012,0.633
9/28/2012,-0.361
9/21/2012,3.7162
9/14/2012,3.4722
9/7/2012,0
8/31/2012,2.0833
8/24/2012,16.0839
8/17/2012,8.7719
