Security,CDSPHRAV Index                                                  ,
Start Date,1/2/2003 0:00,
End Date,5/18/2021 0:00,
Period,D,
Currency,CNY,
,,
Date,PX_LAST,CHG_NET_1D
5/18/2021,6173,-62
5/17/2021,6235,-148
5/14/2021,6383,-259
5/13/2021,6642,-78
5/12/2021,6720,104
5/11/2021,6616,61
5/10/2021,6555,545
5/7/2021,6010,61
5/6/2021,5949,197
4/29/2021,5752,20
4/28/2021,5732,-30
4/27/2021,5762,13
4/26/2021,5749,112
4/23/2021,5637,17
4/22/2021,5620,69
4/21/2021,5551,10
4/20/2021,5541,-13
4/19/2021,5554,-10
4/16/2021,5564,-8
4/15/2021,5572,-6
4/14/2021,5578,36
4/13/2021,5542,25
4/12/2021,5517,-80
4/9/2021,5597,-15
4/8/2021,5612,-43
4/7/2021,5655,32
4/6/2021,5623,107
4/2/2021,5516,112
4/1/2021,5404,40
3/31/2021,5364,36
3/30/2021,5328,40
3/29/2021,5288,168
3/26/2021,5120,-15
3/25/2021,5135,41
3/24/2021,5094,-5
3/23/2021,5099,-8
3/22/2021,5107,102
3/19/2021,5005,16
3/18/2021,4989,13
3/17/2021,4976,-8
3/16/2021,4984,1
3/15/2021,4983,-1
3/12/2021,4984,108
3/11/2021,4876,-15
3/10/2021,4891,-80
3/9/2021,4971,-12
3/8/2021,4983,95
3/5/2021,4888,-89
3/4/2021,4977,-15
3/3/2021,4992,129
3/2/2021,4863,-4
3/1/2021,4867,-11
2/26/2021,4878,0
2/25/2021,4878,21
2/24/2021,4857,-11
2/23/2021,4868,6
2/22/2021,4862,340
2/8/2021,4522,14
2/5/2021,4508,12
2/4/2021,4496,6
2/3/2021,4490,-9
2/2/2021,4499,-10
2/1/2021,4509,-15
1/29/2021,4524,-10
1/28/2021,4534,2
1/27/2021,4532,15
1/26/2021,4517,16
1/25/2021,4501,-12
1/22/2021,4513,7
1/21/2021,4506,-11
1/20/2021,4517,-19
1/19/2021,4536,-17
1/18/2021,4553,11
1/15/2021,4542,5
1/14/2021,4537,-8
1/13/2021,4545,-13
1/12/2021,4558,-53
1/11/2021,4611,-39
1/8/2021,4650,53
1/7/2021,4597,-10
1/6/2021,4607,-4
1/5/2021,4611,14
1/4/2021,4597,22
12/31/2020,4575,12
12/30/2020,4563,-85
12/29/2020,4648,-72
12/28/2020,4720,-51
12/25/2020,4771,-159
12/23/2020,4930,-121
12/22/2020,5051,91
12/21/2020,4960,372
12/18/2020,4588,57
12/17/2020,4531,32
12/16/2020,4499,23
12/15/2020,4476,-21
12/14/2020,4497,-17
12/11/2020,4514,92
12/10/2020,4422,79
12/9/2020,4343,-14
12/8/2020,4357,55
12/7/2020,4302,86
12/4/2020,4216,5
12/3/2020,4211,14
12/2/2020,4197,45
12/1/2020,4152,14
11/30/2020,4138,3
11/27/2020,4135,39
11/26/2020,4096,4
11/25/2020,4092,5
11/24/2020,4087,0
11/23/2020,4087,3
11/20/2020,4084,4
11/19/2020,4080,14
11/18/2020,4066,15
11/17/2020,4051,24
11/16/2020,4027,5
11/13/2020,4022,-3
11/12/2020,4025,-5
11/11/2020,4030,-6
11/10/2020,4036,13
11/9/2020,4023,63
11/6/2020,3960,6
11/5/2020,3954,18
11/4/2020,3936,0
11/3/2020,3936,18
11/2/2020,3918,9
10/30/2020,3909,13
10/29/2020,3896,7
10/28/2020,3889,0
10/27/2020,3889,-2
10/26/2020,3891,-13
10/23/2020,3904,4
10/22/2020,3900,14
10/21/2020,3886,0
10/20/2020,3886,-3
10/19/2020,3889,8
10/16/2020,3881,-13
10/15/2020,3894,-19
10/14/2020,3913,-12
10/13/2020,3925,-2
10/12/2020,3927,25
10/9/2020,3902,49
9/30/2020,3853,0
9/29/2020,3853,-8
9/28/2020,3861,-19
9/25/2020,3880,-4
9/24/2020,3884,-11
9/23/2020,3895,-2
9/22/2020,3897,-17
9/21/2020,3914,-9
9/18/2020,3923,-2
9/17/2020,3925,-22
9/16/2020,3947,-15
9/15/2020,3962,-3
9/14/2020,3965,18
9/11/2020,3947,-19
9/10/2020,3966,-21
9/9/2020,3987,-19
9/8/2020,4006,-6
9/7/2020,4012,-8
9/4/2020,4020,-2
9/3/2020,4022,2
9/2/2020,4020,10
9/1/2020,4010,18
8/31/2020,3992,20
8/28/2020,3972,-7
8/27/2020,3979,-2
8/26/2020,3981,-6
8/25/2020,3987,-3
8/24/2020,3990,-1
8/21/2020,3991,-1
8/20/2020,3992,-3
8/19/2020,3995,0
8/18/2020,3995,10
8/17/2020,3985,11
8/14/2020,3974,-1
8/13/2020,3975,-1
8/12/2020,3976,-4
8/11/2020,3980,7
8/10/2020,3973,-10
8/7/2020,3983,1
8/6/2020,3982,16
8/5/2020,3966,2
8/4/2020,3964,16
8/3/2020,3948,36
7/31/2020,3912,11
7/30/2020,3901,0
7/29/2020,3901,-1
7/28/2020,3902,-3
7/27/2020,3905,-13
7/24/2020,3918,2
7/23/2020,3916,4
7/22/2020,3912,28
7/21/2020,3884,5
7/20/2020,3879,-3
7/17/2020,3882,-3
7/16/2020,3885,0
7/15/2020,3885,5
7/14/2020,3880,11
7/13/2020,3869,22
7/10/2020,3847,-1
7/9/2020,3848,28
7/8/2020,3820,26
7/7/2020,3794,19
7/6/2020,3775,4
7/3/2020,3771,2
7/2/2020,3769,-2
7/1/2020,3771,-2
6/30/2020,3773,1
6/29/2020,3772,-7
6/24/2020,3779,-5
6/23/2020,3784,-5
6/22/2020,3789,14
6/19/2020,3775,24
6/18/2020,3751,8
6/17/2020,3743,2
6/16/2020,3741,8
6/12/2020,3733,5
6/11/2020,3728,0
6/10/2020,3728,2
6/9/2020,3726,-3
6/8/2020,3729,17
6/5/2020,3712,-9
6/4/2020,3721,-1
6/3/2020,3722,1
6/2/2020,3721,5
6/1/2020,3716,55
5/29/2020,3661,30
5/28/2020,3631,6
5/27/2020,3625,-1
5/26/2020,3626,-2
5/25/2020,3628,-42
5/22/2020,3670,11
5/21/2020,3659,0
5/20/2020,3659,-1
5/19/2020,3660,34
5/18/2020,3626,106
5/15/2020,3520,16
5/14/2020,3504,20
5/13/2020,3484,4
5/12/2020,3480,5
5/11/2020,3475,8
5/8/2020,3467,27
5/7/2020,3440,30
5/6/2020,3410,37
4/30/2020,3373,9
4/29/2020,3364,1
4/28/2020,3363,-5
4/27/2020,3368,2
4/24/2020,3366,-8
4/23/2020,3374,14
4/22/2020,3360,-17
4/21/2020,3377,-13
4/20/2020,3390,3
4/17/2020,3387,19
4/16/2020,3368,-7
4/15/2020,3375,-7
4/14/2020,3382,14
4/13/2020,3368,18
4/10/2020,3350,11
4/9/2020,3339,23
4/8/2020,3316,-4
4/7/2020,3320,2
4/3/2020,3318,5
4/2/2020,3313,-51
4/1/2020,3364,-36
3/31/2020,3400,-9
3/30/2020,3409,-13
3/27/2020,3422,-12
3/26/2020,3434,-16
3/25/2020,3450,9
3/24/2020,3441,-8
3/23/2020,3449,-34
3/20/2020,3483,-8
3/19/2020,3491,-20
3/18/2020,3511,1
3/17/2020,3510,-12
3/16/2020,3522,45
3/13/2020,3477,-5
3/12/2020,3482,-1
3/11/2020,3483,6
3/10/2020,3477,5
3/9/2020,3472,-13
3/6/2020,3485,-3
3/5/2020,3488,6
3/4/2020,3482,-10
3/3/2020,3492,14
3/2/2020,3478,-17
2/28/2020,3495,-23
2/27/2020,3518,-18
2/26/2020,3536,-14
2/25/2020,3550,-11
2/24/2020,3561,38
2/21/2020,3523,15
2/20/2020,3508,-4
2/19/2020,3512,-24
2/18/2020,3536,-14
2/17/2020,3550,-12
2/14/2020,3562,-15
2/13/2020,3577,-8
2/12/2020,3585,-3
2/11/2020,3588,-8
2/10/2020,3596,-34
2/7/2020,3630,-13
2/6/2020,3643,-19
2/5/2020,3662,-27
2/4/2020,3689,-96
2/3/2020,3785,-48
1/21/2020,3833,0
1/20/2020,3833,0
1/17/2020,3833,-1
1/16/2020,3834,-1
1/15/2020,3835,1
1/14/2020,3834,-2
1/13/2020,3836,-5
1/10/2020,3841,-5
1/9/2020,3846,-1
1/8/2020,3847,2
1/7/2020,3845,1
1/6/2020,3844,-1
1/3/2020,3845,-3
1/2/2020,3848,5
12/31/2019,3843,1
12/30/2019,3842,3
12/27/2019,3839,-1
12/26/2019,3840,-7
12/25/2019,3847,0
12/24/2019,3847,-4
12/23/2019,3851,3
12/20/2019,3848,-2
12/19/2019,3850,0
12/18/2019,3850,-2
12/17/2019,3852,-4
12/16/2019,3856,7
12/13/2019,3849,1
12/12/2019,3848,-3
12/11/2019,3851,23
12/10/2019,3828,15
12/9/2019,3813,21
12/6/2019,3792,0
12/5/2019,3792,2
12/4/2019,3790,2
12/3/2019,3788,6
12/2/2019,3782,1
11/29/2019,3781,4
11/28/2019,3777,-3
11/27/2019,3780,-3
11/26/2019,3783,12
11/25/2019,3771,20
11/22/2019,3751,3
11/21/2019,3748,6
11/20/2019,3742,47
11/19/2019,3695,3
11/18/2019,3692,13
11/15/2019,3679,32
11/14/2019,3647,11
11/13/2019,3636,19
11/12/2019,3617,0
11/11/2019,3617,-8
11/8/2019,3625,-7
11/7/2019,3632,7
11/6/2019,3625,14
11/5/2019,3611,3
11/4/2019,3608,3
11/1/2019,3605,-4
10/31/2019,3609,9
10/30/2019,3600,-2
10/29/2019,3602,2
10/28/2019,3600,4
10/25/2019,3596,3
10/24/2019,3593,-1
10/23/2019,3594,3
10/22/2019,3591,0
10/21/2019,3591,-9
10/18/2019,3600,-8
10/17/2019,3608,-22
10/16/2019,3630,-3
10/15/2019,3633,-24
10/14/2019,3657,6
10/11/2019,3651,-20
10/10/2019,3671,-7
10/9/2019,3678,-13
10/8/2019,3691,14
9/27/2019,3677,-15
9/26/2019,3692,-9
9/25/2019,3701,-5
9/24/2019,3706,14
9/23/2019,3692,21
9/20/2019,3671,-36
9/19/2019,3707,-15
9/18/2019,3722,-14
9/17/2019,3736,-8
9/16/2019,3744,16
9/12/2019,3728,-5
9/11/2019,3733,-12
9/10/2019,3745,22
9/9/2019,3723,7
9/6/2019,3716,-10
9/5/2019,3726,10
9/4/2019,3716,12
9/3/2019,3704,12
9/2/2019,3692,15
8/30/2019,3677,4
8/29/2019,3673,10
8/28/2019,3663,-28
8/27/2019,3691,-37
8/26/2019,3728,-16
8/23/2019,3744,-1
8/22/2019,3745,-1
8/21/2019,3746,-18
8/20/2019,3764,-5
8/19/2019,3769,-1
8/16/2019,3770,2
8/15/2019,3768,-6
8/14/2019,3774,21
8/13/2019,3753,23
8/12/2019,3730,-23
8/9/2019,3753,-42
8/8/2019,3795,3
8/7/2019,3792,-10
8/6/2019,3802,-20
8/5/2019,3822,-15
8/2/2019,3837,-30
8/1/2019,3867,-5
7/31/2019,3872,4
7/30/2019,3868,-7
7/29/2019,3875,-5
7/26/2019,3880,9
7/25/2019,3871,-2
7/24/2019,3873,-17
7/23/2019,3890,1
7/22/2019,3889,14
7/19/2019,3875,-18
7/18/2019,3893,-5
7/17/2019,3898,0
7/16/2019,3898,25
7/15/2019,3873,-4
7/12/2019,3877,-4
7/11/2019,3881,-10
7/10/2019,3891,-10
7/9/2019,3901,15
7/8/2019,3886,-18
7/5/2019,3904,-6
7/4/2019,3910,-8
7/3/2019,3918,-34
7/2/2019,3952,-15
7/1/2019,3967,62
6/28/2019,3905,9
6/27/2019,3896,5
6/26/2019,3891,1
6/25/2019,3890,26
6/24/2019,3864,63
6/21/2019,3801,-4
6/20/2019,3805,4
6/19/2019,3801,12
6/18/2019,3789,-24
6/17/2019,3813,-30
6/14/2019,3843,-4
6/13/2019,3847,-11
6/12/2019,3858,11
6/11/2019,3847,-3
6/10/2019,3850,-9
6/6/2019,3859,-22
6/5/2019,3881,-5
6/4/2019,3886,-19
6/3/2019,3905,-25
5/31/2019,3930,-22
5/30/2019,3952,-4
5/29/2019,3956,-10
5/28/2019,3966,-7
5/27/2019,3973,-6
5/24/2019,3979,-14
5/23/2019,3993,-2
5/22/2019,3995,11
5/21/2019,3984,1
5/20/2019,3983,-9
5/17/2019,3992,7
5/16/2019,3985,9
5/15/2019,3976,-12
5/14/2019,3988,-27
5/13/2019,4015,-6
5/10/2019,4021,15
5/9/2019,4006,-32
5/8/2019,4038,-7
5/7/2019,4045,1
5/6/2019,4044,3
4/30/2019,4041,22
4/29/2019,4019,9
4/25/2019,4010,-5
4/24/2019,4015,-13
4/23/2019,4028,-4
4/22/2019,4032,31
4/19/2019,4001,-6
4/18/2019,4007,-13
4/17/2019,4020,-6
4/16/2019,4026,8
4/15/2019,4018,16
4/12/2019,4002,-1
4/11/2019,4003,0
4/10/2019,4003,-11
4/9/2019,4014,28
4/8/2019,3986,39
4/4/2019,3947,16
4/3/2019,3931,14
4/2/2019,3917,25
4/1/2019,3892,0
3/29/2019,3892,-1
3/28/2019,3893,3
3/27/2019,3890,-2
3/26/2019,3892,-4
3/25/2019,3896,-3
3/22/2019,3899,-3
3/21/2019,3902,8
3/20/2019,3894,-5
3/19/2019,3899,16
3/18/2019,3883,29
3/15/2019,3854,-20
3/14/2019,3874,-1
3/13/2019,3875,10
3/12/2019,3865,21
3/11/2019,3844,-12
3/8/2019,3856,-1
3/7/2019,3857,-5
3/6/2019,3862,-9
3/5/2019,3871,-7
3/4/2019,3878,28
3/1/2019,3850,13
2/28/2019,3837,6
2/27/2019,3831,9
2/26/2019,3822,-2
2/25/2019,3824,30
2/22/2019,3794,10
2/21/2019,3784,9
2/20/2019,3775,-20
2/19/2019,3795,13
2/18/2019,3782,-12
2/15/2019,3794,-16
2/14/2019,3810,-29
2/13/2019,3839,-17
2/12/2019,3856,28
2/11/2019,3828,56
1/31/2019,3772,0
1/30/2019,3772,1
1/29/2019,3771,-4
1/28/2019,3775,12
1/25/2019,3763,16
1/24/2019,3747,5
1/23/2019,3742,-1
1/22/2019,3743,28
1/21/2019,3715,19
1/18/2019,3696,11
1/17/2019,3685,-2
1/16/2019,3687,-9
1/15/2019,3696,-15
1/14/2019,3711,1
1/11/2019,3710,-4
1/10/2019,3714,1
1/9/2019,3713,-6
1/8/2019,3719,8
1/7/2019,3711,21
1/4/2019,3690,-1
1/3/2019,3691,-13
1/2/2019,3704,-22
