Security,CNPORKWH Index                                                  ,
Start Date,1/6/2006 0:00,
End Date,5/7/2021 0:00,
Period,W,
Currency,CNY,
,,
Date,PX_LAST,PX_MID
5/7/2021,29.07,29.07
4/23/2021,30.84,30.84
4/16/2021,31.33,31.33
4/9/2021,31.44,31.44
4/2/2021,34.03,34.03
3/26/2021,35.72,35.72
3/19/2021,36.8,36.8
3/12/2021,37.67,37.67
3/5/2021,38.43,38.43
2/26/2021,38.59,38.59
2/19/2021,44.93,44.93
2/5/2021,44.68,44.68
1/29/2021,45.8,45.8
1/22/2021,46.6,46.6
1/15/2021,47.47,47.47
1/8/2021,46.77,46.77
1/1/2021,45.58,45.58
12/25/2020,43.96,43.96
12/18/2020,43.55,43.55
12/11/2020,42.32,42.32
12/4/2020,41.98,41.98
11/27/2020,39.61,39.61
11/20/2020,39.25,39.25
11/13/2020,39.28,39.28
11/6/2020,39.36,39.36
10/30/2020,39.26,39.26
10/23/2020,40.7,40.7
10/16/2020,42.37,42.37
10/9/2020,44.13,44.13
10/2/2020,45.52,45.52
9/25/2020,45.68,45.68
9/18/2020,47.03,47.03
9/11/2020,47.61,47.61
9/4/2020,47.91,47.91
8/28/2020,48.01,48.01
8/21/2020,48.09,48.09
8/14/2020,48.33,48.33
8/7/2020,48.75,48.75
7/31/2020,48.16,48.16
7/24/2020,48.42,48.42
7/17/2020,48.51,48.51
7/10/2020,47.91,47.91
7/3/2020,46.3,46.3
6/26/2020,44.66,44.66
6/19/2020,43.41,43.41
6/12/2020,41.29,41.29
6/5/2020,40.1,40.1
5/29/2020,38.65,38.65
5/22/2020,38.24,38.24
5/15/2020,38.91,38.91
5/8/2020,42,42
5/1/2020,43.05,43.05
4/24/2020,44.14,44.14
4/17/2020,45.03,45.03
4/10/2020,45.63,45.63
4/3/2020,46.35,46.35
3/27/2020,47.57,47.57
3/20/2020,48.57,48.57
3/13/2020,49.02,49.02
3/6/2020,49.11,49.11
2/28/2020,49.37,49.37
2/21/2020,50.37,50.37
2/14/2020,50.64,50.64
2/7/2020,50.47,50.47
1/31/2020,50.27,50.27
1/17/2020,47.94,47.94
1/10/2020,46.97,46.97
1/3/2020,45.39,45.39
12/27/2019,43.87,43.87
12/20/2019,43.76,43.76
12/13/2019,43.91,43.91
12/6/2019,44.26,44.26
11/29/2019,42.35,42.35
11/22/2019,43.66,43.66
11/15/2019,47.76,47.76
11/8/2019,51.31,51.31
11/1/2019,52.3,52.3
10/25/2019,51.21,51.21
10/18/2019,46.13,46.13
10/11/2019,42.46,42.46
9/27/2019,36.7,36.7
9/20/2019,36.39,36.39
9/13/2019,36.54,36.54
9/6/2019,35.11,35.11
8/30/2019,34.59,34.59
8/23/2019,31.77,31.77
8/16/2019,29.2,29.2
8/9/2019,26.91,26.91
8/2/2019,25.45,25.45
7/26/2019,24.97,24.97
7/19/2019,24.51,24.51
7/12/2019,23.72,23.72
7/5/2019,23.29,23.29
6/28/2019,23.12,23.12
6/21/2019,22.68,22.68
6/14/2019,21.55,21.55
6/7/2019,21.3,21.3
5/31/2019,20.69,20.69
5/24/2019,20.68,20.68
5/17/2019,20.79,20.79
5/10/2019,20.87,20.87
5/3/2019,20.85,20.85
4/26/2019,20.78,20.78
4/19/2019,20.62,20.62
4/12/2019,20.88,20.88
4/5/2019,21.03,21.03
3/29/2019,20.83,20.83
3/22/2019,20.89,20.89
3/15/2019,20.48,20.48
3/8/2019,19.01,19.01
3/1/2019,18.59,18.59
2/22/2019,18.74,18.74
2/15/2019,18.85,18.85
2/8/2019,18.9,18.9
2/1/2019,18.86,18.86
1/25/2019,19.15,19.15
1/18/2019,19.86,19.86
1/11/2019,20.21,20.21
1/4/2019,20.66,20.66
12/28/2018,20.8,20.8
12/21/2018,20.92,20.92
12/14/2018,20.95,20.95
12/7/2018,21.02,21.02
11/30/2018,20.86,20.86
11/23/2018,20.94,20.94
11/16/2018,21.05,21.05
11/9/2018,21.08,21.08
11/2/2018,21.07,21.07
10/26/2018,21.07,21.07
10/19/2018,21.12,21.12
10/12/2018,21.22,21.22
10/5/2018,21.27,21.27
9/28/2018,21.31,21.31
9/21/2018,21.24,21.24
9/14/2018,21.03,21.03
9/7/2018,20.52,20.52
8/31/2018,20.22,20.22
8/24/2018,20.12,20.12
8/17/2018,20.14,20.14
8/10/2018,19.93,19.93
8/3/2018,19.64,19.64
7/27/2018,19.23,19.23
7/20/2018,18.81,18.81
7/13/2018,18.59,18.59
7/6/2018,18.05,18.05
6/29/2018,17.92,17.92
6/22/2018,17.82,17.82
6/15/2018,17.8,17.8
6/8/2018,17.75,17.75
6/1/2018,17.73,17.73
5/25/2018,17.24,17.24
5/18/2018,16.83,16.83
5/11/2018,16.95,16.95
5/4/2018,17.11,17.11
4/27/2018,17.31,17.31
4/20/2018,17.48,17.48
4/13/2018,17.59,17.59
4/6/2018,17.83,17.83
3/30/2018,17.84,17.84
3/23/2018,18.42,18.42
3/16/2018,19.07,19.07
3/9/2018,19.51,19.51
3/2/2018,20.18,20.18
2/23/2018,21.46,21.46
2/16/2018,21.68,21.68
2/9/2018,21.59,21.59
2/2/2018,21.77,21.77
1/26/2018,21.86,21.86
1/19/2018,21.89,21.89
1/12/2018,22,22
1/5/2018,21.89,21.89
12/29/2017,21.71,21.71
12/22/2017,21.85,21.85
12/15/2017,21.81,21.81
12/8/2017,21.69,21.69
12/1/2017,21.41,21.41
11/24/2017,21.33,21.33
11/17/2017,21.27,21.27
11/10/2017,21.19,21.19
11/3/2017,21.3,21.3
10/27/2017,21.33,21.33
10/20/2017,21.35,21.35
10/13/2017,21.47,21.47
10/6/2017,21.55,21.55
9/29/2017,21.51,21.51
9/22/2017,21.55,21.55
9/15/2017,21.68,21.68
9/8/2017,21.61,21.61
9/1/2017,21.58,21.58
8/25/2017,21.41,21.41
8/18/2017,21.29,21.29
8/11/2017,21.08,21.08
8/4/2017,20.96,20.96
7/28/2017,20.84,20.84
7/21/2017,20.89,20.89
7/14/2017,20.83,20.83
7/7/2017,20.83,20.83
6/30/2017,20.78,20.78
6/23/2017,20.67,20.67
6/16/2017,20.65,20.65
6/9/2017,20.66,20.66
6/2/2017,20.75,20.75
5/26/2017,21.08,21.08
5/19/2017,21.21,21.21
5/12/2017,21.52,21.52
5/5/2017,21.6,21.6
4/28/2017,21.8,21.8
4/21/2017,22.17,22.17
4/14/2017,22.34,22.34
4/7/2017,22.43,22.43
3/31/2017,22.52,22.52
3/24/2017,22.63,22.63
3/17/2017,22.82,22.82
3/10/2017,23.1,23.1
3/3/2017,23.32,23.32
2/24/2017,23.79,23.79
2/17/2017,23.92,23.92
2/10/2017,24.24,24.24
2/3/2017,24.62,24.62
1/27/2017,24.66,24.66
1/20/2017,24.48,24.48
1/13/2017,24.39,24.39
1/6/2017,24.29,24.29
12/30/2016,23.94,23.94
12/23/2016,23.83,23.83
12/16/2016,23.86,23.86
12/9/2016,23.73,23.73
12/2/2016,23.55,23.55
11/25/2016,23.58,23.58
11/18/2016,23.58,23.58
11/11/2016,23.47,23.47
11/4/2016,23.42,23.42
10/28/2016,23.4,23.4
10/21/2016,23.43,23.43
10/14/2016,23.66,23.66
10/7/2016,24.13,24.13
9/30/2016,24.26,24.26
9/23/2016,24.53,24.53
9/16/2016,24.75,24.75
9/9/2016,24.8,24.8
9/2/2016,24.91,24.91
8/26/2016,24.81,24.81
8/19/2016,24.83,24.83
8/12/2016,24.94,24.94
8/5/2016,24.85,24.85
7/29/2016,24.92,24.92
7/22/2016,25.06,25.06
7/15/2016,25.28,25.28
7/8/2016,25.48,25.48
7/1/2016,25.77,25.77
6/24/2016,26.1,26.1
6/17/2016,26.37,26.37
6/10/2016,26.64,26.64
6/3/2016,26.74,26.74
5/27/2016,26.57,26.57
5/20/2016,26.44,26.44
