Security,CESIG10  Index                                                  ,
Start Date,1/1/2003 0:00,
End Date,5/18/2021 0:00,
Period,D,
,,
Date,PX_LAST,PX_MID
5/18/2021,68.3,68.3
5/17/2021,73.3,73.3
5/14/2021,81.5,81.5
5/13/2021,90.6,90.6
5/12/2021,95,95
5/11/2021,84,84
5/10/2021,83.6,83.6
5/7/2021,84.4,84.4
5/6/2021,86.9,86.9
5/5/2021,85.5,85.5
5/4/2021,85.2,85.2
5/3/2021,86,86
4/30/2021,95.6,95.6
4/29/2021,87.4,87.4
4/28/2021,77.9,77.9
4/27/2021,80.2,80.2
4/26/2021,78.5,78.5
4/23/2021,85.1,85.1
4/22/2021,73.8,73.8
4/21/2021,74.1,74.1
4/20/2021,76.6,76.6
4/19/2021,79.2,79.2
4/16/2021,77.6,77.6
4/15/2021,77.5,77.5
4/14/2021,77.1,77.1
4/13/2021,78.5,78.5
4/12/2021,77.3,77.3
4/9/2021,79.1,79.1
4/8/2021,84.6,84.6
4/7/2021,78.1,78.1
4/6/2021,77.4,77.4
4/5/2021,79.2,79.2
4/1/2021,78.8,78.8
3/31/2021,68.3,68.3
3/30/2021,70.3,70.3
3/29/2021,59.7,59.7
3/26/2021,61.9,61.9
3/25/2021,57.4,57.4
3/24/2021,56.1,56.1
3/23/2021,40.2,40.2
3/22/2021,44.5,44.5
3/19/2021,45.9,45.9
3/18/2021,45.6,45.6
3/17/2021,42,42
3/16/2021,52.6,52.6
3/15/2021,68.2,68.2
3/12/2021,76,76
3/11/2021,73.1,73.1
3/10/2021,74.8,74.8
3/9/2021,77.6,77.6
3/8/2021,78.5,78.5
3/5/2021,89.9,89.9
3/4/2021,91.1,91.1
3/3/2021,92.4,92.4
3/2/2021,94.2,94.2
3/1/2021,98.9,98.9
2/26/2021,97.8,97.8
2/25/2021,97.9,97.9
2/24/2021,94.5,94.5
2/23/2021,92.8,92.8
2/22/2021,92.6,92.6
2/19/2021,96.2,96.2
2/18/2021,91.3,91.3
2/17/2021,91.2,91.2
2/16/2021,79.7,79.7
2/15/2021,78.8,78.8
2/12/2021,82.4,82.4
2/11/2021,83.9,83.9
2/10/2021,85.8,85.8
2/9/2021,91.5,91.5
2/8/2021,91.6,91.6
2/5/2021,91.9,91.9
2/4/2021,93,93
2/3/2021,93.5,93.5
2/2/2021,82.2,82.2
