Security,.G4BALSH U Index                                                
Start Date,1/31/2002 0:00
End Date,5/18/2021 0:00
Period,D
,
Date,PX_LAST
5/18/2021,26615.9398
5/17/2021,26615.6193
5/14/2021,26614.625
5/13/2021,26602.5704
5/12/2021,26591.2433
5/11/2021,26620.1349
5/10/2021,26630.1376
5/7/2021,26622.8974
5/6/2021,26599.7513
5/5/2021,26613.9818
5/4/2021,26572.4968
5/3/2021,26562.0927
4/30/2021,26570.5577
4/29/2021,26501.0492
4/28/2021,26512.2359
4/27/2021,26560.4659
4/26/2021,26598.6373
4/23/2021,26595.4153
4/22/2021,26608.1258
4/21/2021,26590.6118
4/20/2021,26552.2446
4/19/2021,26534.5996
4/16/2021,26515.1829
4/15/2021,26517.5656
4/14/2021,26494.1067
4/13/2021,26405.9572
4/12/2021,26402.5537
4/10/2021,26387.7874
4/9/2021,26377.9998
4/8/2021,26378.9071
4/7/2021,26375.8581
4/6/2021,26360.3186
4/5/2021,26344.0631
4/2/2021,26343.3286
4/1/2021,26348.533
3/31/2021,26379.2683
3/30/2021,26465.4672
3/29/2021,26473.4554
3/26/2021,26493.7675
3/25/2021,26240.964
3/24/2021,26263.1053
3/23/2021,26234.568
3/22/2021,26183.8909
3/20/2021,26195.5181
3/19/2021,26142.129
3/18/2021,26117.1039
3/17/2021,26090.6411
3/16/2021,26003.7467
3/15/2021,25988.2322
3/12/2021,25974.6025
3/11/2021,25988.5064
3/10/2021,26014.1611
3/9/2021,25997.3205
3/8/2021,25982.2644
3/5/2021,26009.1195
3/4/2021,26018.827
3/3/2021,26034.1857
3/2/2021,26070.6243
3/1/2021,26090.9559
2/28/2021,26078.3529
2/26/2021,26167.1405
2/25/2021,26156.0937
2/24/2021,26179.8873
2/23/2021,26185.4492
2/22/2021,26194.8918
2/20/2021,26196.0462
2/19/2021,26181.1803
2/18/2021,26132.792
2/17/2021,26175.02
2/16/2021,26016.0511
2/15/2021,26046.9304
2/12/2021,26079.5365
2/11/2021,26066.6709
2/10/2021,26082.8071
2/9/2021,26061.9963
2/8/2021,26041.7869
2/5/2021,26017.4416
2/4/2021,26024.513
2/3/2021,26031.1079
2/2/2021,26029.0615
2/1/2021,26014.7516
1/31/2021,26030.5934
1/29/2021,25927.1873
1/28/2021,25935.7315
1/27/2021,25917.7782
1/26/2021,25953.375
1/25/2021,25941.0105
1/22/2021,25922.5512
1/21/2021,25955.1303
1/20/2021,25976.8056
1/19/2021,25848.9163
1/18/2021,25875.1369
1/15/2021,25873.004
1/14/2021,25821.8471
1/13/2021,25820.7903
1/12/2021,25810.9106
1/11/2021,25788.4073
1/10/2021,25783.8686
1/8/2021,25798.6839
1/7/2021,25774.1825
1/6/2021,25813.6428
1/5/2021,25883.0956
1/4/2021,25874.053
1/1/2021,25824.4355
12/31/2020,25849.5977
12/30/2020,25820.1582
12/29/2020,25850.8804
12/28/2020,25845.49
12/25/2020,25877.3117
12/24/2020,25871.3602
12/23/2020,25867.1836
12/22/2020,25830.3904
12/21/2020,25807.4761
12/20/2020,25811.3886
12/18/2020,25792.6674
12/17/2020,25757.4359
12/16/2020,25765.9553
12/15/2020,25649.8575
12/14/2020,25617.8069
12/11/2020,25637.8576
12/10/2020,25592.5973
12/9/2020,25577.7465
12/8/2020,25560.4538
12/7/2020,25568.2951
12/4/2020,25553.2141
12/3/2020,25521.0177
12/2/2020,25478.9781
12/1/2020,25491.4337
11/30/2020,25555.6587
11/27/2020,25339.7275
11/26/2020,25341.9889
11/25/2020,25324.2921
11/24/2020,25353.5718
11/23/2020,25378.0324
11/20/2020,25432.4997
11/19/2020,25372.5336
11/18/2020,25398.2588
11/17/2020,25305.6331
11/16/2020,25261.3137
11/13/2020,25248.3476
11/12/2020,25193.8033
11/11/2020,25173.8271
11/10/2020,25157.3632
11/9/2020,25145.5261
11/6/2020,25260.616
11/5/2020,25261.8543
11/4/2020,25205.3972
11/3/2020,25180.4755
11/2/2020,25191.4979
10/31/2020,25191.8235
10/30/2020,25160.1965
10/29/2020,25135.4888
10/28/2020,25106.6143
10/27/2020,25126.2789
10/26/2020,25087.3994
10/23/2020,25092.6556
10/22/2020,25072.4794
10/21/2020,25097.5278
10/20/2020,25011.8232
10/19/2020,25010.4825
10/16/2020,25025.054
10/15/2020,24988.5216
10/14/2020,24995.9272
10/13/2020,24873.7971
10/12/2020,24851.181
10/10/2020,24869.481
10/9/2020,24892.0288
10/8/2020,24802.4549
10/7/2020,24803.5861
10/6/2020,24820.7264
10/5/2020,24789.551
10/2/2020,24850.5991
10/1/2020,24675.1483
9/30/2020,24691.0612
9/29/2020,24540.8708
9/28/2020,24591.5913
9/25/2020,24593.6765
9/24/2020,24552.8843
9/23/2020,24575.2474
9/22/2020,24575.4771
9/21/2020,24543.2421
9/20/2020,24544.7782
9/18/2020,24489.8112
9/17/2020,24456.2408
9/16/2020,24465.1654
9/15/2020,24344.5303
9/14/2020,24295.9391
9/11/2020,24260.2053
9/10/2020,24263.1105
9/9/2020,24256.6067
9/8/2020,24273.9767
9/7/2020,24253.7446
9/4/2020,24236.4905
9/3/2020,24212.4542
9/2/2020,24219.8691
9/1/2020,24188.1281
8/31/2020,24164.3744
8/28/2020,23953.7742
8/27/2020,23884.0613
8/26/2020,23920.7931
8/25/2020,23894.8717
8/24/2020,23935.7149
8/21/2020,23942.43
8/20/2020,23899.8557
8/19/2020,23879.8107
8/18/2020,23825.8043
8/17/2020,23809.8819
8/14/2020,23774.2878
8/13/2020,23755.2633
8/12/2020,23776.0593
8/11/2020,23802.1817
8/10/2020,23822.9006
8/7/2020,23785.8589
8/6/2020,23756.9424
8/5/2020,23772.8166
8/4/2020,23769.481
8/3/2020,23769.079
7/31/2020,23773.0488
7/30/2020,23745.5188
7/29/2020,23764.5589
7/28/2020,23805.735
7/27/2020,23775.8655
7/24/2020,23759.0588
7/23/2020,23731.4872
7/22/2020,23730.0754
7/21/2020,23778.53
7/20/2020,23787.6924
7/17/2020,23779.4179
7/16/2020,23776.4519
7/15/2020,23782.5517
7/14/2020,23720.8904
7/13/2020,23751.6176
7/10/2020,23790.3611
7/9/2020,23750.5102
7/8/2020,23717.4126
7/7/2020,23811.7143
7/6/2020,23800.3118
7/3/2020,23786.4735
7/2/2020,23744.1411
7/1/2020,23737.1406
6/30/2020,23798.0091
6/29/2020,23860.6295
6/26/2020,23894.3968
6/25/2020,23361.9421
6/24/2020,23355.6945
6/23/2020,23387.2458
6/22/2020,23378.2162
6/20/2020,23415.7412
6/19/2020,23375.1077
6/18/2020,23338.4389
6/17/2020,23321.5393
6/16/2020,23368.9704
6/15/2020,23338.9975
6/12/2020,23370.6303
6/11/2020,23416.621
6/10/2020,23372.4804
6/9/2020,23276.2376
6/8/2020,23264.1954
6/5/2020,23194.0038
6/4/2020,23124.6039
6/3/2020,23180.8995
6/2/2020,23163.3774
6/1/2020,23219.0158
5/31/2020,23214.8517
5/29/2020,23042.0129
5/28/2020,23020.0325
5/27/2020,23032.7446
5/26/2020,23016.7782
5/25/2020,23045.2292
5/22/2020,23047.921
5/21/2020,22995.9312
5/20/2020,23002.4785
