Security,GRIFPEX  Index                                                  ,
Start Date,2/29/2004 0:00,
End Date,4/30/2021 0:00,
Period,M,
,,
Date,PX_LAST,FIRST_REVISION
4/30/2021,99.5,#N/A N/A
3/31/2021,100.3,100.3
2/28/2021,94.9,95
1/31/2021,91.3,91.5
12/31/2020,93.1,93
11/30/2020,91.9,91.8
10/31/2020,94.6,94.7
9/30/2020,96.6,97.4
8/31/2020,96,97.2
7/31/2020,95.7,96.7
6/30/2020,91.3,91.6
5/31/2020,82.2,80.5
4/30/2020,72.5,#N/A N/A
3/31/2020,81.1,79.5
2/29/2020,93.4,93.2
1/31/2020,91.8,#N/A N/A
12/31/2019,92.7,93.9
11/30/2019,91.5,92.3
10/31/2019,90.9,91.6
9/30/2019,90.1,90.9
8/31/2019,90.5,#N/A N/A
7/31/2019,91.5,92.1
6/30/2019,93.8,94
5/31/2019,96.7,95.2
4/30/2019,98.3,95.3
3/31/2019,97.1,#N/A N/A
2/28/2019,94.3,94
1/31/2019,94.2,94.3
12/31/2018,96.2,#N/A N/A
11/30/2018,97.8,#N/A N/A
10/31/2018,98.7,99.7
9/30/2018,99.8,100.9
8/31/2018,100.2,101.3
7/31/2018,97.8,#N/A N/A
6/30/2018,98.6,98.5
5/31/2018,100.2,98.6
4/30/2018,101.7,#N/A N/A
3/31/2018,101.6,100
2/28/2018,100.8,#N/A N/A
1/31/2018,101,108.3
12/31/2017,101.7,#N/A N/A
11/30/2017,102.8,#N/A N/A
10/31/2017,101.7,109.2
9/30/2017,101.4,107.5
8/31/2017,101.3,107.8
7/31/2017,101.2,#N/A N/A
6/30/2017,101.4,#N/A N/A
5/31/2017,101.9,#N/A N/A
4/30/2017,103.1,#N/A N/A
3/31/2017,100.9,#N/A N/A
2/28/2017,100.2,104.2
1/31/2017,100.2,#N/A N/A
12/31/2016,99.6,105.5
11/30/2016,100.5,#N/A N/A
10/31/2016,101.5,105.9
9/30/2016,100.7,#N/A N/A
8/31/2016,99.5,#N/A N/A
7/31/2016,100.3,102.1
6/30/2016,99.5,#N/A N/A
5/31/2016,100.1,101.7
4/30/2016,100.6,100.5
3/31/2016,99.2,#N/A N/A
2/29/2016,97.7,98.9
1/31/2016,98.9,102.3
12/31/2015,100.3,104.6
11/30/2015,101.2,#N/A N/A
10/31/2015,100.7,103.9
9/30/2015,99,#N/A N/A
8/31/2015,100.2,#N/A N/A
7/31/2015,98.9,102.3
6/30/2015,100.5,102.1
5/31/2015,100.7,#N/A N/A
4/30/2015,100.5,103.4
3/31/2015,99.9,#N/A N/A
2/28/2015,99.5,#N/A N/A
1/31/2015,98.6,#N/A N/A
12/31/2014,97.8,101.3
11/30/2014,95.7,99.8
10/31/2014,95.7,#N/A N/A
9/30/2014,96.9,#N/A N/A
8/31/2014,98,#N/A N/A
7/31/2014,99.9,#N/A N/A
6/30/2014,100.4,#N/A N/A
5/31/2014,101.3,#N/A N/A
4/30/2014,102.3,#N/A N/A
3/31/2014,102,#N/A N/A
2/28/2014,102.7,#N/A N/A
1/31/2014,102.6,#N/A N/A
12/31/2013,101.5,#N/A N/A
11/30/2013,101.2,106.4
10/31/2013,99.8,103.7
9/30/2013,100.9,#N/A N/A
8/31/2013,100.5,#N/A N/A
7/31/2013,99,#N/A N/A
6/30/2013,97.9,#N/A N/A
5/31/2013,98.7,#N/A N/A
4/30/2013,98.5,#N/A N/A
3/31/2013,99.4,#N/A N/A
2/28/2013,99.7,#N/A N/A
1/31/2013,96.5,100.6
12/31/2012,95.1,98
11/30/2012,92.9,#N/A N/A
10/31/2012,93.7,#N/A N/A
9/30/2012,92.9,#N/A N/A
8/31/2012,92.9,#N/A N/A
7/31/2012,93.8,95.5
6/30/2012,95.4,97.2
5/31/2012,97,100.8
4/30/2012,98.2,#N/A N/A
