Security,.IICORR G Index                                                 ,
Start Date,5/26/1991 0:00,
End Date,11/18/2018 0:00,
Period,W,
,,
Date,PX_LAST,USER_LOADED_PRICE
11/18/2018,38.1,38.1
11/11/2018,37.7,37.7
11/4/2018,35.9,35.9
10/28/2018,30.5,30.5
10/21/2018,29.8,29.8
10/14/2018,25.2,25.2
10/7/2018,19.6,19.6
9/30/2018,21.1,21.1
9/23/2018,22.9,22.9
9/16/2018,24,24
9/9/2018,21.9,21.9
9/2/2018,22.1,22.1
8/26/2018,24,24
8/19/2018,24.3,24.3
8/12/2018,26.5,26.5
8/5/2018,26.7,26.7
7/29/2018,26.5,26.5
7/22/2018,26.2,26.2
7/15/2018,29.1,29.1
7/8/2018,34.3,34.3
7/1/2018,34,34
6/24/2018,30.4,30.4
6/17/2018,26.7,26.7
6/10/2018,29.4,29.4
6/3/2018,30.8,30.8
5/27/2018,31.7,31.7
5/20/2018,34,34
5/13/2018,36.3,36.3
5/6/2018,35.6,35.6
4/29/2018,32.4,32.4
4/22/2018,36.6,36.6
4/15/2018,39.2,39.2
4/8/2018,34.3,34.3
4/1/2018,33,33
3/25/2018,27.7,27.7
3/18/2018,29.4,29.4
3/11/2018,35.9,35.9
3/4/2018,37.5,37.5
2/25/2018,36.9,36.9
2/18/2018,33.7,33.7
2/11/2018,30.1,30.1
2/4/2018,21.4,21.4
1/28/2018,22.5,22.5
1/21/2018,20.6,20.6
1/14/2018,22.1,22.1
1/7/2018,22.9,22.9
12/24/2017,20.8,20.8
12/17/2017,22.9,22.9
12/10/2017,20.7,20.7
12/3/2017,22.6,22.6
11/26/2017,23.1,23.1
11/19/2017,21.1,21.1
11/12/2017,21.2,21.2
11/5/2017,22.1,22.1
10/29/2017,22.6,22.6
10/22/2017,24.8,24.8
10/15/2017,24.5,24.5
10/8/2017,25.5,25.5
10/1/2017,28.6,28.6
9/24/2017,30.5,30.5
9/17/2017,32.7,32.7
9/10/2017,31.4,31.4
9/3/2017,31.4,31.4
8/27/2017,33.6,33.6
8/20/2017,31.4,31.4
8/13/2017,25.5,25.5
8/6/2017,23.8,23.8
7/30/2017,23.3,23.3
7/23/2017,25.5,25.5
7/16/2017,31.4,31.4
7/9/2017,28.7,28.7
7/2/2017,26.5,26.5
6/25/2017,29.1,29.1
6/18/2017,31.4,31.4
6/11/2017,25.9,25.9
6/4/2017,30.8,30.8
5/28/2017,29.8,29.8
5/21/2017,24.8,24.8
5/14/2017,24,24
5/7/2017,23.6,23.6
4/30/2017,27.4,27.4
4/23/2017,29.8,29.8
4/16/2017,26.2,26.2
4/9/2017,25.9,25.9
4/2/2017,32.4,32.4
3/26/2017,26,26
3/19/2017,29.1,29.1
3/12/2017,25,25
3/5/2017,20.4,20.4
2/26/2017,21.3,21.3
2/19/2017,20.6,20.6
2/12/2017,20.6,20.6
2/5/2017,20.6,20.6
1/29/2017,24.3,24.3
1/22/2017,22.1,22.1
1/15/2017,23.1,23.1
1/8/2017,21.4,21.4
12/25/2016,20.6,20.6
12/18/2016,21.2,21.2
12/11/2016,21.6,21.6
12/4/2016,21.4,21.4
11/27/2016,22.5,22.5
11/20/2016,25.5,25.5
11/13/2016,31.4,31.4
11/6/2016,34,34
10/30/2016,29.8,29.8
10/23/2016,33.3,33.3
10/16/2016,30.8,30.8
10/9/2016,30.5,30.5
10/2/2016,31.7,31.7
9/25/2016,31.1,31.1
9/18/2016,28.4,28.4
9/11/2016,24.7,24.7
9/4/2016,23.5,23.5
8/28/2016,23.1,23.1
8/21/2016,23.8,23.8
8/14/2016,24.8,24.8
8/7/2016,25.9,25.9
7/31/2016,24.5,24.5
7/24/2016,22.3,22.3
7/17/2016,22.8,22.8
7/10/2016,28.4,28.4
7/3/2016,34.6,34.6
6/26/2016,29.3,29.3
6/19/2016,30.6,30.6
6/12/2016,28.9,28.9
6/5/2016,30.9,30.9
5/29/2016,40.6,40.6
5/22/2016,38.1,38.1
5/15/2016,39.2,39.2
5/8/2016,38.1,38.1
5/1/2016,35.1,35.1
4/24/2016,30.9,30.9
4/17/2016,31,31
4/10/2016,26.8,26.8
4/3/2016,27.8,27.8
3/27/2016,24.8,24.8
3/20/2016,25.3,25.3
3/13/2016,25.2,25.2
3/6/2016,29.3,29.3
2/28/2016,29.6,29.6
