Security,.SPXEVEBT U Index                                               
Start Date,8/31/2005 0:00
End Date,5/17/2021 0:00
Period,D
,
Date,PX_LAST
5/17/2021,14.8864
5/14/2021,14.8914
5/13/2021,14.7011
5/12/2021,14.6142
5/11/2021,14.9135
5/10/2021,15.0186
5/7/2021,15.1859
5/6/2021,15.0908
5/5/2021,15.0042
5/4/2021,15.0161
5/3/2021,15.1467
4/30/2021,15.1448
4/29/2021,15.2704
4/28/2021,15.2802
4/27/2021,15.3947
4/26/2021,15.4303
4/23/2021,15.4238
4/22/2021,15.2963
4/21/2021,15.4433
4/20/2021,15.3258
4/19/2021,15.3958
4/16/2021,15.4862
4/15/2021,15.4449
4/14/2021,15.3043
4/13/2021,15.3739
4/12/2021,15.3132
4/9/2021,15.329
4/8/2021,15.2249
4/7/2021,15.1631
4/6/2021,15.1472
4/5/2021,15.1604
4/2/2021,14.972
4/1/2021,14.9722
3/31/2021,14.8506
3/30/2021,14.7648
3/29/2021,14.8244
3/26/2021,14.8297
3/25/2021,14.6152
3/24/2021,14.5618
3/23/2021,14.6405
3/22/2021,14.7354
3/19/2021,14.6
3/18/2021,14.6048
3/17/2021,14.8224
3/16/2021,14.8079
3/15/2021,14.8163
3/12/2021,14.7266
3/11/2021,14.7329
3/10/2021,14.6062
3/9/2021,14.5531
3/8/2021,14.3473
3/5/2021,14.4549
3/4/2021,14.2166
3/3/2021,14.3902
3/2/2021,14.5967
3/1/2021,14.7193
2/26/2021,14.456
2/25/2021,14.5039
2/24/2021,14.8351
2/23/2021,14.7017
2/22/2021,14.7058
2/19/2021,14.8299
2/18/2021,14.8772
2/17/2021,14.9397
2/16/2021,14.9503
2/15/2021,14.986
2/12/2021,14.9882
2/11/2021,14.9114
2/10/2021,14.8753
2/9/2021,14.8895
2/8/2021,14.9089
2/5/2021,14.8164
2/4/2021,14.7797
2/3/2021,14.6514
2/2/2021,14.692
2/1/2021,14.5569
1/29/2021,14.4225
1/28/2021,14.6856
1/27/2021,14.6182
1/26/2021,15.0152
1/25/2021,15.0294
1/22/2021,14.974
1/21/2021,15.0145
1/20/2021,15.0078
1/19/2021,14.8184
1/18/2021,14.7198
1/15/2021,14.7344
1/14/2021,14.815
1/13/2021,14.8839
1/12/2021,14.866
1/11/2021,14.8835
1/8/2021,14.9887
1/7/2021,14.9106
1/6/2021,14.723
1/5/2021,14.6922
1/4/2021,14.6128
1/1/2021,14.8139
12/31/2020,16.7311
12/30/2020,16.6576
12/29/2020,16.6385
12/28/2020,16.6697
12/25/2020,16.5522
12/24/2020,16.5524
12/23/2020,16.4964
12/22/2020,16.5076
12/21/2020,16.5247
12/18/2020,16.3431
12/17/2020,16.391
12/16/2020,16.3061
12/15/2020,16.2793
12/14/2020,16.1065
12/11/2020,16.1627
12/10/2020,16.1683
12/9/2020,16.2
12/8/2020,16.3229
12/7/2020,16.2759
12/4/2020,16.2961
12/3/2020,16.1722
12/2/2020,16.1679
12/1/2020,16.1598
11/30/2020,16.0388
11/27/2020,16.1012
11/26/2020,16.0577
11/25/2020,16.0585
11/24/2020,16.0854
11/23/2020,15.8962
11/20/2020,15.8407
11/19/2020,15.9312
11/18/2020,15.8826
11/17/2020,16.081
11/16/2020,16.1968
11/13/2020,16.0564
11/12/2020,15.878
11/11/2020,16.0046
11/10/2020,15.8863
11/9/2020,15.9141
11/6/2020,15.8423
11/5/2020,15.8616
11/4/2020,15.6323
11/3/2020,15.2976
11/2/2020,15.0792
10/30/2020,14.9747
10/29/2020,15.2032
10/28/2020,15.1148
10/27/2020,15.6049
10/26/2020,15.644
10/23/2020,15.8971
10/22/2020,15.8657
10/21/2020,15.8387
10/20/2020,15.8876
10/19/2020,15.7988
10/16/2020,16.0028
10/15/2020,16.0026
10/14/2020,16.0586
10/13/2020,16.1575
10/12/2020,16.2178
10/9/2020,15.9917
10/8/2020,15.867
10/7/2020,15.7697
10/6/2020,15.5258
10/5/2020,15.7033
10/2/2020,15.5147
10/1/2020,15.66
9/30/2020,15.7857
9/29/2020,15.6781
9/28/2020,15.732
9/25/2020,15.5231
9/24/2020,15.3105
9/23/2020,15.2752
9/22/2020,15.6004
9/21/2020,15.4437
9/18/2020,15.5419
9/17/2020,15.7018
9/16/2020,15.8168
9/15/2020,15.9033
9/14/2020,15.8064
9/11/2020,15.6458
9/10/2020,15.6523
9/9/2020,15.9053
9/8/2020,15.6225
9/7/2020,15.9968
9/4/2020,15.9963
9/3/2020,16.1368
9/2/2020,16.6826
9/1/2020,16.4455
8/31/2020,16.3775
8/28/2020,16.4178
8/27/2020,16.326
8/26/2020,16.3313
8/25/2020,16.1742
8/24/2020,16.1268
8/21/2020,16.0163
8/20/2020,15.9604
8/19/2020,15.9241
8/18/2020,16.0122
8/17/2020,15.9779
8/14/2020,15.9183
8/13/2020,15.9302
8/12/2020,15.9513
8/11/2020,15.7442
8/10/2020,15.9025
8/7/2020,15.8823
8/6/2020,15.8972
8/5/2020,15.812
8/4/2020,15.7444
8/3/2020,15.6962
7/31/2020,15.5757
7/30/2020,15.6039
7/29/2020,15.6944
7/28/2020,15.5536
7/27/2020,15.6623
7/24/2020,15.5499
7/23/2020,15.6184
7/22/2020,15.8224
7/21/2020,15.7587
7/20/2020,15.768
7/17/2020,15.6393
7/16/2020,15.6025
7/15/2020,15.6656
7/14/2020,15.5568
7/13/2020,15.3694
7/10/2020,15.5418
7/9/2020,15.4239
7/8/2020,15.4795
7/7/2020,15.3882
7/6/2020,15.51
7/3/2020,15.3093
7/2/2020,15.3144
7/1/2020,15.2499
6/30/2020,15.2477
6/29/2020,15.1152
6/26/2020,14.9202
6/25/2020,15.2255
6/24/2020,15.0852
6/23/2020,15.4165
6/22/2020,15.3646
6/19/2020,15.2593
6/18/2020,15.3287
6/17/2020,15.3215
6/16/2020,15.3451
6/15/2020,15.1021
6/12/2020,14.9935
6/11/2020,14.8551
6/10/2020,15.6301
6/9/2020,15.6486
6/8/2020,15.7579
6/5/2020,15.6064
6/4/2020,15.2842
6/3/2020,15.3706
6/2/2020,15.2213
6/1/2020,15.1197
5/29/2020,15.0877
5/28/2020,14.9927
5/27/2020,14.9988
5/26/2020,14.8569
5/25/2020,14.7551
5/22/2020,14.7566
5/21/2020,14.7172
5/20/2020,14.7915
5/19/2020,14.5984
5/18/2020,14.7041
5/15/2020,14.3438
5/14/2020,14.2801
5/13/2020,14.1608
5/12/2020,14.3556
5/11/2020,14.5784
5/8/2020,14.5223
5/7/2020,14.2839
5/6/2020,14.1144
5/5/2020,14.1729
5/4/2020,14.0406
5/1/2020,13.9583
4/30/2020,14.2423
4/29/2020,14.305
4/28/2020,13.9721
4/27/2020,14.0241
4/24/2020,13.8604
4/23/2020,13.677
4/22/2020,13.6491
4/21/2020,13.3622
4/20/2020,13.6231
4/17/2020,13.7552
4/16/2020,13.4698
4/15/2020,13.299
4/14/2020,13.4855
4/13/2020,13.0622
4/10/2020,13.1241
4/9/2020,13.1234
4/8/2020,12.9485
4/7/2020,12.4961
4/6/2020,12.4303
4/3/2020,11.6913
4/2/2020,11.7747
4/1/2020,11.5076
3/31/2020,11.8831
3/30/2020,11.9615
3/27/2020,11.4937
3/26/2020,11.7807
3/25/2020,11.1211
3/24/2020,10.9659
3/23/2020,10.1505
3/20/2020,10.2375
3/19/2020,10.5662
3/18/2020,10.4986
3/17/2020,10.887
3/16/2020,10.3415
3/13/2020,11.3084
3/12/2020,10.5125
3/11/2020,11.3851
3/10/2020,11.8215
3/9/2020,11.3466
3/6/2020,12.0299
3/5/2020,12.1726
3/4/2020,12.498
3/3/2020,12.0453
3/2/2020,12.3045
2/28/2020,11.8325
2/27/2020,11.8786
2/26/2020,12.336
2/25/2020,12.3643
2/24/2020,12.688
2/21/2020,13.0736
2/20/2020,13.1936
2/19/2020,13.2409
2/18/2020,13.1831
2/17/2020,13.2027
2/14/2020,13.1985
2/13/2020,13.1741
2/12/2020,13.1936
2/11/2020,13.1115
2/10/2020,13.0899
2/7/2020,13.0031
2/6/2020,13.0631
2/5/2020,13.0197
2/4/2020,12.905
2/3/2020,12.7136
1/31/2020,12.6661
1/30/2020,12.8426
1/29/2020,12.7943
1/28/2020,12.8038
1/27/2020,12.6874
1/24/2020,12.8535
1/23/2020,12.9558
1/22/2020,12.9418
1/21/2020,12.9213
1/20/2020,12.9429
1/17/2020,12.9405
1/16/2020,12.8963
1/15/2020,12.8008
1/14/2020,12.7599
1/13/2020,12.7793
1/10/2020,12.6977
1/9/2020,12.7247
1/8/2020,12.6507
1/7/2020,12.5962
1/6/2020,12.6187
1/3/2020,12.5801
1/2/2020,12.6526
1/1/2020,12.5595
12/31/2019,13.3934
12/30/2019,13.3456
12/27/2019,13.4116
12/26/2019,13.4089
12/25/2019,13.3491
12/24/2019,13.3491
12/23/2019,13.3525
12/20/2019,13.3249
12/19/2019,13.2592
12/18/2019,13.1969
12/17/2019,13.1966
12/16/2019,13.1948
12/13/2019,13.1125
12/12/2019,13.1075
12/11/2019,13.0323
12/10/2019,12.9908
12/9/2019,13.0024
12/6/2019,13.0447
12/5/2019,12.9474
12/4/2019,12.9227
12/3/2019,12.8573
12/2/2019,12.9225
11/29/2019,13.0208
11/28/2019,13.0671
11/27/2019,13.0672
11/26/2019,13.0341
11/25/2019,13.0067
11/22/2019,12.9218
11/21/2019,12.9072
11/20/2019,12.8616
11/19/2019,12.9005
11/18/2019,12.9093
11/15/2019,12.9004
11/14/2019,12.8168
11/13/2019,12.7994
11/12/2019,12.7843
11/11/2019,12.7645
11/8/2019,12.7948
11/7/2019,12.7573
11/6/2019,12.74
11/5/2019,12.7307
11/4/2019,12.758
11/1/2019,12.7233
10/31/2019,12.6222
10/30/2019,12.6783
10/29/2019,12.6367
10/28/2019,12.6551
10/25/2019,12.5929
10/24/2019,12.5496
10/23/2019,12.5122
10/22/2019,12.4825
10/21/2019,12.5248
10/18/2019,12.463
10/17/2019,12.518
10/16/2019,12.4812
10/15/2019,12.4991
10/14/2019,12.3978
10/11/2019,12.4055
10/10/2019,12.3004
10/9/2019,12.2334
10/8/2019,12.1318
10/7/2019,12.2854
10/4/2019,12.3335
10/3/2019,12.189
10/2/2019,12.101
10/1/2019,12.2766
9/30/2019,12.4601
9/27/2019,12.411
9/26/2019,12.4847
9/25/2019,12.5049
9/24/2019,12.4407
9/23/2019,12.5084
9/20/2019,12.493
9/19/2019,12.5465
9/18/2019,12.5388
9/17/2019,12.5373
9/16/2019,12.5021
9/13/2019,12.5293
9/12/2019,12.5465
9/11/2019,12.5138
9/10/2019,12.438
9/9/2019,12.4421
9/6/2019,12.4698
9/5/2019,12.458
9/4/2019,12.331
9/3/2019,12.2236
9/2/2019,12.2858
8/30/2019,12.2572
8/29/2019,12.253
8/28/2019,12.1253
8/27/2019,12.0638
8/26/2019,12.0904
8/23/2019,11.976
8/22/2019,12.2458
8/21/2019,12.2655
8/20/2019,12.1773
8/19/2019,12.2432
8/16/2019,12.1144
8/15/2019,11.9708
8/14/2019,11.9415
8/13/2019,12.2371
8/12/2019,12.0806
8/9/2019,12.1992
8/8/2019,12.2544
8/7/2019,12.053
8/6/2019,12.0168
8/5/2019,11.8998
8/2/2019,12.2048
8/1/2019,12.2751
7/31/2019,12.3258
7/30/2019,12.4249
7/29/2019,12.4545
7/26/2019,12.4414
7/25/2019,12.3684
7/24/2019,12.4106
7/23/2019,12.3715
7/22/2019,12.3099
7/19/2019,12.2799
7/18/2019,12.348
7/17/2019,12.3116
7/16/2019,12.3716
7/15/2019,12.4076
7/12/2019,12.4052
7/11/2019,12.3546
7/10/2019,12.3288
7/9/2019,12.2645
7/8/2019,12.2713
7/5/2019,12.3207
7/4/2019,12.3401
7/3/2019,12.3401
7/2/2019,12.2681
7/1/2019,12.2329
6/28/2019,12.1852
6/27/2019,12.1361
6/26/2019,12.0991
6/25/2019,12.1096
6/24/2019,12.2225
6/21/2019,12.2167
6/20/2019,12.223
6/19/2019,12.1209
6/18/2019,12.0814
6/17/2019,11.9885
6/14/2019,11.9593
6/13/2019,11.9771
6/12/2019,11.9315
6/11/2019,11.9374
6/10/2019,11.9371
6/7/2019,11.8925
6/6/2019,11.7732
6/5/2019,11.7051
6/4/2019,11.6203
6/3/2019,11.4164
5/31/2019,11.4746
5/30/2019,11.5973
5/29/2019,11.5676
5/28/2019,11.6419
5/27/2019,11.723
5/24/2019,11.721
5/23/2019,11.7133
5/22/2019,11.8297
5/21/2019,11.852
5/20/2019,11.7687
5/17/2019,11.8436
5/16/2019,11.8982
5/15/2019,11.809
5/14/2019,11.74
5/13/2019,11.6598
5/10/2019,11.8968
5/9/2019,11.8592
5/8/2019,11.8904
5/7/2019,11.8945
5/6/2019,12.0635
5/3/2019,12.0841
5/2/2019,11.9781
5/1/2019,12.0074
4/30/2019,12.1076
4/29/2019,12.1012
4/26/2019,12.1029
4/25/2019,12.0444
4/24/2019,12.0552
4/23/2019,12.0705
4/22/2019,11.9777
4/19/2019,11.9691
4/18/2019,11.9692
4/17/2019,11.9564
4/16/2019,11.9791
4/15/2019,12.0055
4/12/2019,11.9976
4/11/2019,11.9479
4/10/2019,11.9533
4/9/2019,11.9216
4/8/2019,11.9782
4/5/2019,11.9598
4/4/2019,11.9046
4/3/2019,11.8837
4/2/2019,11.8614
4/1/2019,11.8719
3/29/2019,11.5427
3/28/2019,11.4658
3/27/2019,11.4373
3/26/2019,11.4757
3/25/2019,11.4182
3/22/2019,11.4226
3/21/2019,11.5995
3/20/2019,11.4474
3/19/2019,11.4471
3/18/2019,11.4484
3/15/2019,11.4142
3/14/2019,11.3494
3/13/2019,11.3648
3/12/2019,11.2959
3/11/2019,11.2631
3/8/2019,11.119
3/7/2019,11.1379
3/6/2019,11.2105
3/5/2019,11.273
3/4/2019,11.2815
3/1/2019,11.3145
2/28/2019,11.2099
2/27/2019,11.2371
2/26/2019,11.2506
2/25/2019,11.2583
2/22/2019,11.2486
2/21/2019,11.177
2/20/2019,11.207
2/19/2019,11.1947
2/18/2019,11.1779
2/15/2019,11.1751
2/14/2019,11.0661
2/13/2019,11.0723
2/12/2019,11.0358
2/11/2019,10.9173
2/8/2019,10.9104
2/7/2019,10.8958
2/6/2019,10.9868
2/5/2019,11.007
2/4/2019,10.9508
2/1/2019,10.8976
1/31/2019,10.8995
