Security,SPEQPOSS Index                                                  ,
Start Date,3/31/1992 0:00,
End Date,12/31/2020 0:00,
Period,Q,
,,
Date,PX_LAST,PX_MID
12/31/2020,78.5,78.5
9/30/2020,85.1,85.1
6/30/2020,83.2,83.2
3/31/2020,65.1,65.1
12/31/2019,71.1,71.1
9/30/2019,76,76
6/30/2019,74.5,74.5
3/31/2019,76,76
12/31/2018,67.7,67.7
9/30/2018,76.3,76.3
6/30/2018,81.4,81.4
3/31/2018,78.2,78.2
12/31/2017,73.9,73.9
9/30/2017,74.4,74.4
6/30/2017,72,72
3/31/2017,73.2,73.2
12/31/2016,65.7,65.7
9/30/2016,72.5,72.5
6/30/2016,71.9,71.9
3/31/2016,72.3,72.3
12/31/2015,69.4,69.4
9/30/2015,69.5,69.5
6/30/2015,68.3,68.3
3/31/2015,67.7,67.7
12/31/2014,67.9,67.9
9/30/2014,74.5,74.5
6/30/2014,67.3,67.3
3/31/2014,70.4,70.4
12/31/2013,66,66
9/30/2013,67.2,67.2
6/30/2013,66.5,66.5
3/31/2013,66.8,66.8
12/31/2012,68.6,68.6
9/30/2012,64.5,64.5
6/30/2012,66.6,66.6
3/31/2012,67.3,67.3
12/31/2011,62.2,62.2
9/30/2011,69,69
6/30/2011,71.1,71.1
3/31/2011,67.8,67.8
12/31/2010,67.7,67.7
9/30/2010,70.7,70.7
6/30/2010,75.3,75.3
3/31/2010,77.7,77.7
12/31/2009,72.2,72.2
9/30/2009,79.5,79.5
6/30/2009,72.3,72.3
3/31/2009,67.5,67.5
12/31/2008,60.1,60.1
9/30/2008,58.1,58.1
6/30/2008,67.6,67.6
3/31/2008,62.9,62.9
12/31/2007,61.7,61.7
9/30/2007,64,64
6/30/2007,65.5,65.5
3/31/2007,65.1,65.1
12/31/2006,59.9,59.9
9/30/2006,71.3,71.3
6/30/2006,69.7,69.7
3/31/2006,67.6,67.6
12/31/2005,63.8,63.8
9/30/2005,64.1,64.1
6/30/2005,69.9,69.9
3/31/2005,65,65
12/31/2004,65.7,65.7
9/30/2004,62.1,62.1
6/30/2004,68.2,68.2
3/31/2004,72.3,72.3
12/31/2003,66.2,66.2
9/30/2003,64,64
6/30/2003,64.4,64.4
3/31/2003,63.4,63.4
12/31/2002,60.4,60.4
9/30/2002,59.4,59.4
6/30/2002,60.1,60.1
3/31/2002,62.1,62.1
12/31/2001,55.3,55.3
9/30/2001,51.2,51.2
6/30/2001,55.2,55.2
3/31/2001,54.4,54.4
12/31/2000,51,51
9/30/2000,58.2,58.2
6/30/2000,63.7,63.7
3/31/2000,70.7,70.7
12/31/1999,63.5,63.5
9/30/1999,60.7,60.7
6/30/1999,62.8,62.8
3/31/1999,67.7,67.7
12/31/1998,52.4,52.4
9/30/1998,48.9,48.9
6/30/1998,56.4,56.4
3/31/1998,52.9,52.9
12/31/1997,45.5,45.5
9/30/1997,53.4,53.4
6/30/1997,58.1,58.1
3/31/1997,57.2,57.2
12/31/1996,54,54
9/30/1996,52.3,52.3
6/30/1996,55.3,55.3
3/31/1996,53.7,53.7
12/31/1995,47.4,47.4
9/30/1995,51.3,51.3
6/30/1995,54.5,54.5
3/31/1995,53.7,53.7
12/31/1994,56.2,56.2
9/30/1994,55.2,55.2
6/30/1994,56.3,56.3
3/31/1994,53.3,53.3
12/31/1993,46.2,46.2
9/30/1993,45.1,45.1
6/30/1993,46.8,46.8
3/31/1993,45.6,45.6
12/31/1992,43,43
9/30/1992,41.8,41.8
6/30/1992,48.6,48.6
3/31/1992,48.8,48.8
