Security,SPUSERPT Index                                                  
Start Date,5/18/1998 0:00
End Date,5/18/2021 0:00
Period,D
Currency,USD

Date,PX_LAST
5/18/2021,147.26
5/17/2021,148.41
5/14/2021,148.79
5/13/2021,147.15
5/12/2021,145.97
5/11/2021,147.83
5/10/2021,148.59
5/7/2021,149.66
5/6/2021,147.95
5/5/2021,147.2
5/4/2021,147.26
5/3/2021,148.59
4/30/2021,148.54
4/29/2021,149.63
4/28/2021,148.37
4/27/2021,148.53
4/26/2021,147.61
4/23/2021,147.48
4/22/2021,145.79
4/21/2021,147.39
4/20/2021,146
4/19/2021,147.65
4/16/2021,147.92
4/15/2021,146.51
4/14/2021,146.91
4/13/2021,147.18
4/12/2021,147.55
4/9/2021,147.32
4/8/2021,145.97
4/7/2021,145.67
4/6/2021,145.31
4/5/2021,146.33
4/1/2021,143.68
3/31/2021,143.65
3/30/2021,142.54
3/29/2021,143.17
3/26/2021,142.3
3/25/2021,139.36
3/24/2021,138.6
3/23/2021,139.81
3/22/2021,141.73
3/19/2021,141.7
3/18/2021,142.01
3/17/2021,143.02
3/16/2021,142
3/15/2021,141.95
3/12/2021,141.54
3/11/2021,139.28
3/10/2021,137.64
3/9/2021,137.14
3/8/2021,136.11
3/5/2021,136.41
3/4/2021,133.9
3/3/2021,134.49
3/2/2021,135.47
3/1/2021,136.81
2/26/2021,133.64
2/25/2021,135.16
2/24/2021,136.93
2/23/2021,134.88
2/22/2021,134.55
2/19/2021,134.97
2/18/2021,134.05
2/17/2021,134.76
2/16/2021,135.01
2/12/2021,133.46
2/11/2021,131.96
2/10/2021,131.43
2/9/2021,131.84
2/8/2021,131.92
2/5/2021,131.3
2/4/2021,130.19
2/3/2021,128.52
2/2/2021,127.89
2/1/2021,125.72
1/29/2021,123.91
1/28/2021,125.74
1/27/2021,123.95
1/26/2021,127.63
1/25/2021,127.76
1/22/2021,128.11
1/21/2021,128.84
1/20/2021,128.38
1/19/2021,126.58
1/15/2021,125.75
1/14/2021,127.18
1/13/2021,126.73
1/12/2021,127.32
1/11/2021,127.11
1/8/2021,127.66
1/7/2021,126.57
1/6/2021,124.38
1/5/2021,122.03
1/4/2021,120.46
12/31/2020,122.19
12/30/2020,121.63
12/29/2020,121.63
12/28/2020,121.81
12/24/2020,120.74
12/23/2020,120.78
12/22/2020,119.97
12/21/2020,120.71
12/18/2020,121.56
12/17/2020,121.4
12/16/2020,120.58
12/15/2020,120.38
12/14/2020,118.32
12/11/2020,118.78
12/10/2020,119.14
12/9/2020,119.97
12/8/2020,120.52
12/7/2020,120.52
12/4/2020,121.37
12/3/2020,119.44
12/2/2020,120.03
12/1/2020,119.46
11/30/2020,116.76
11/27/2020,117.1
11/25/2020,117.5
11/24/2020,117.62
11/23/2020,115.41
11/20/2020,114.32
11/19/2020,115.69
11/18/2020,115.69
11/17/2020,117.02
11/16/2020,118
11/13/2020,116.48
11/12/2020,114.8
11/11/2020,117.08
11/10/2020,116.64
11/9/2020,116.61
