Security,.SPXPE U Index                                                  
Start Date,1/31/1990 0:00
End Date,5/18/2021 0:00
Period,D
,
Date,PX_LAST
5/18/2021,22.5142
5/17/2021,22.5463
5/14/2021,22.6159
5/13/2021,22.299
5/12/2021,22.0421
5/11/2021,22.528
5/10/2021,22.7357
5/7/2021,23.0519
5/6/2021,22.8908
5/5/2021,22.7371
5/4/2021,22.762
5/3/2021,22.9725
4/30/2021,22.989
4/29/2021,23.2159
4/28/2021,23.2119
4/27/2021,23.4668
4/26/2021,23.5796
4/23/2021,23.5543
4/22/2021,23.3346
4/21/2021,23.61
4/20/2021,23.408
4/19/2021,23.5875
4/16/2021,23.7742
4/15/2021,23.7454
4/14/2021,23.6169
4/13/2021,23.8117
4/12/2021,23.7619
4/9/2021,23.7739
4/8/2021,23.6091
4/7/2021,23.5006
4/6/2021,23.4966
4/5/2021,23.535
4/1/2021,23.2198
3/31/2021,23.0327
3/30/2021,22.9823
3/29/2021,23.0642
3/26/2021,23.0904
3/25/2021,22.7438
3/24/2021,22.6342
3/23/2021,22.7756
3/22/2021,22.9591
3/19/2021,22.7397
3/18/2021,22.7618
3/17/2021,23.068
3/16/2021,23.0125
3/15/2021,23.0527
3/12/2021,22.9246
3/11/2021,22.9134
3/10/2021,22.7008
3/9/2021,22.5641
3/8/2021,22.2249
3/5/2021,22.3652
3/4/2021,21.9482
3/3/2021,22.2552
3/2/2021,22.5478
3/1/2021,22.7358
2/26/2021,22.2501
2/25/2021,22.3668
2/24/2021,22.9513
2/23/2021,22.6945
2/22/2021,22.6821
2/19/2021,22.8633
2/18/2021,22.9227
2/17/2021,23.0282
2/16/2021,23.0417
2/12/2021,23.0546
2/11/2021,22.9445
2/10/2021,22.8942
2/9/2021,22.9121
2/8/2021,22.9483
2/5/2021,22.7994
2/4/2021,22.7382
2/3/2021,22.5169
2/2/2021,22.5713
2/1/2021,22.3314
1/29/2021,22.1092
1/28/2021,22.5405
1/27/2021,22.4419
1/26/2021,23.1669
1/25/2021,23.2372
1/22/2021,23.184
1/21/2021,23.2964
1/20/2021,23.3041
1/19/2021,23.0163
1/15/2021,22.9248
1/14/2021,23.0964
1/13/2021,23.1931
1/12/2021,23.1401
1/11/2021,23.1576
1/8/2021,23.3438
1/7/2021,23.2314
1/6/2021,22.938
1/5/2021,22.8352
1/4/2021,22.6952
12/31/2020,27.1437
12/30/2020,26.9782
12/29/2020,26.9389
12/28/2020,26.9972
12/24/2020,26.7668
12/23/2020,26.6728
12/22/2020,26.6485
12/21/2020,26.7125
12/18/2020,26.3298
12/17/2020,26.4346
12/16/2020,26.2921
12/15/2020,26.2562
12/14/2020,25.9281
12/11/2020,26.0574
12/10/2020,26.088
12/9/2020,26.1384
12/8/2020,26.3453
12/7/2020,26.2719
12/4/2020,26.3209
12/3/2020,26.0937
12/2/2020,26.1264
12/1/2020,26.0968
11/30/2020,25.8862
11/27/2020,26.0068
11/25/2020,25.9504
11/24/2020,26.0158
11/23/2020,25.6146
11/20/2020,25.476
11/19/2020,25.6427
11/18/2020,25.5621
11/17/2020,25.9966
11/16/2020,26.179
11/13/2020,25.9137
11/12/2020,25.5826
11/11/2020,25.8297
11/10/2020,25.5734
11/9/2020,25.6329
11/6/2020,25.3501
11/5/2020,25.3806
11/4/2020,24.9412
11/3/2020,24.432
11/2/2020,24.0367
10/30/2020,23.8977
10/29/2020,24.3355
10/28/2020,24.1282
10/27/2020,25.0742
10/26/2020,25.1766
10/23/2020,25.6588
10/22/2020,25.5633
10/21/2020,25.5375
10/20/2020,25.6285
10/19/2020,25.5026
10/16/2020,25.9135
