Security,.STRATOPT U Index                                               
Start Date,4/16/1999 0:00
End Date,5/18/2021 0:00
Period,D
,
Date,PX_LAST
5/18/2021,-0.7927
5/17/2021,-0.7996
5/14/2021,-1.0506
5/13/2021,0.4255
5/12/2021,1.648
5/11/2021,-0.5323
5/10/2021,-1.395
5/7/2021,-2.424
5/6/2021,-1.7046
5/5/2021,-0.902
5/4/2021,-0.8322
5/3/2021,-1.4945
4/30/2021,-1.2238
4/29/2021,-1.9345
4/28/2021,-1.2713
4/27/2021,-1.3548
4/26/2021,-1.376
4/23/2021,-1.2002
4/22/2021,-0.1204
4/21/2021,-1.0404
4/20/2021,-0.1195
4/19/2021,-0.7989
4/16/2021,-2.066
4/15/2021,-1.7125
4/14/2021,-0.6221
4/13/2021,-1.0283
4/12/2021,-0.7023
4/9/2021,-0.7218
4/8/2021,0.0447
4/7/2021,0.4669
4/6/2021,0.6151
4/5/2021,0.5172
4/1/2021,1.9685
3/31/2021,3.1743
3/30/2021,3.548
3/29/2021,3.221
3/26/2021,3.1314
3/25/2021,4.8466
3/24/2021,5.3961
3/23/2021,4.8198
3/22/2021,4.02
3/19/2021,4.7507
3/18/2021,4.6876
3/17/2021,3.1423
3/16/2021,3.4393
3/15/2021,3.2769
3/12/2021,3.9474
3/11/2021,4.053
3/10/2021,5.1346
3/9/2021,5.7686
3/8/2021,7.2658
3/5/2021,6.6909
3/4/2021,8.7709
3/3/2021,7.3115
3/2/2021,5.9094
3/1/2021,5.0535
2/26/2021,7.5528
2/25/2021,7.0419
2/24/2021,4.4217
2/23/2021,5.607
2/22/2021,5.0948
2/19/2021,4.2821
2/18/2021,4.0887
2/17/2021,3.6291
2/16/2021,3.5958
2/12/2021,3.5369
2/11/2021,4.0246
2/10/2021,4.1976
2/9/2021,4.1616
2/8/2021,4.0456
2/5/2021,4.8155
2/4/2021,5.224
2/3/2021,6.366
2/2/2021,6.4733
2/1/2021,7.9531
1/29/2021,9.686
1/28/2021,7.5678
1/27/2021,8.6177
1/26/2021,5.8286
1/25/2021,5.6711
1/22/2021,6.0532
1/21/2021,5.7339
1/20/2021,5.7674
1/19/2021,6.2147
1/15/2021,7.0789
1/14/2021,6.309
1/13/2021,5.91
1/12/2021,6.151
1/11/2021,6.1951
1/8/2021,5.499
1/7/2021,6.0784
1/6/2021,7.6534
1/5/2021,8.2681
1/4/2021,9.0349
12/31/2020,7.4261
12/30/2020,8.1178
12/29/2020,8.2629
12/28/2020,8.0217
12/24/2020,8.9639
12/23/2020,9.3493
12/22/2020,9.4309
12/21/2020,9.204
12/18/2020,8.7774
12/17/2020,8.3955
12/16/2020,9.0196
12/15/2020,9.2129
12/14/2020,10.624
12/11/2020,10.1418
12/10/2020,-6.7637
12/9/2020,-6.8835
12/8/2020,-7.6237
12/7/2020,-7.3663
12/4/2020,-7.5456
12/3/2020,-6.7286
12/2/2020,-6.7868
12/1/2020,-6.6199
11/30/2020,-5.5674
11/27/2020,-6.0013
11/25/2020,-5.776
11/24/2020,-5.9253
11/23/2020,-4.4049
11/20/2020,-3.8662
11/19/2020,-4.5191
11/18/2020,-4.1423
11/17/2020,-5.2508
11/16/2020,-7.69
11/13/2020,-6.6148
11/12/2020,-5.3438
11/11/2020,-6.2883
11/10/2020,-5.5712
11/9/2020,-5.7034
11/6/2020,-4.6002
11/5/2020,-4.6276
11/4/2020,-2.7716
11/3/2020,-0.628
11/2/2020,1.1407
10/30/2020,2.3866
10/29/2020,1.1447
10/28/2020,2.3531
10/27/2020,-1.2587
10/26/2020,-1.5575
10/23/2020,-3.3875
10/22/2020,-3.0546
