Security,.SPXCARRY U Index                                               
Start Date,5/18/2001 0:00
End Date,5/14/2021 0:00
Period,W
,
Date,PX_LAST
5/14/2021,5.5818
5/7/2021,6.5266
4/30/2021,7.3659
4/23/2021,5.2625
4/16/2021,4.6916
4/9/2021,0.9879
4/2/2021,-0.409
3/26/2021,1.4218
3/19/2021,4.4831
3/12/2021,3.7213
3/5/2021,5.3384
2/26/2021,11.2836
2/19/2021,7.6473
2/12/2021,4.1921
2/5/2021,4.9844
1/29/2021,18.4789
1/22/2021,11.1202
1/15/2021,13.8558
1/8/2021,11.1977
1/1/2021,13.297
12/25/2020,10.4053
12/18/2020,9.5237
12/11/2020,8.6981
12/4/2020,0.437
11/27/2020,0.0554
11/20/2020,3.2461
11/13/2020,1.6256
11/6/2020,3.246
10/30/2020,16.4796
10/23/2020,9.7363
10/16/2020,6.3947
10/9/2020,1.2982
10/2/2020,5.3308
9/25/2020,4.9791
9/18/2020,6.2377
9/11/2020,7.9338
9/4/2020,15.423
8/28/2020,12.9265
8/21/2020,12.074
8/14/2020,9.8529
8/7/2020,9.3057
7/31/2020,6.6622
7/24/2020,7.6795
7/17/2020,-0.6217
7/10/2020,0.1012
7/3/2020,0.8723
6/26/2020,6.3195
6/19/2020,7.7102
6/12/2020,8.6438
6/5/2020,1.8436
5/29/2020,2.0783
5/22/2020,-0.2018
5/15/2020,-2.5634
5/8/2020,-10.5717
5/1/2020,-14.3314
4/24/2020,-33.9919
4/17/2020,-47.8427
4/10/2020,-46.3088
4/3/2020,-38.4499
3/27/2020,-17.898
3/20/2020,-8.1863
3/13/2020,-2.253
3/6/2020,9.5785
2/28/2020,18.0207
2/21/2020,4.8694
2/14/2020,1.9456
2/7/2020,3.3452
1/31/2020,8.1264
1/24/2020,7.0707
1/17/2020,4.9876
1/10/2020,4.5454
1/3/2020,6.1461
12/27/2019,6.198
12/20/2019,5.3141
12/13/2019,5.7347
12/6/2019,6.5065
11/29/2019,6.8718
11/22/2019,6.2671
11/15/2019,3.3344
11/8/2019,-0.066
11/1/2019,-0.4652
10/25/2019,0.2317
10/18/2019,1.8888
10/11/2019,2.4975
10/4/2019,4.7385
9/27/2019,4.0996
9/20/2019,-1.8239
9/13/2019,-6.916
9/6/2019,-6.1383
8/30/2019,-1.7442
8/23/2019,-0.1324
8/16/2019,0.5145
8/9/2019,3.6837
8/2/2019,8.6191
7/26/2019,3.9534
7/19/2019,6.7097
7/12/2019,2.9103
7/5/2019,2.0151
6/28/2019,2.9107
6/21/2019,0.8907
6/14/2019,0.3466
6/7/2019,1.0408
5/31/2019,5.5675
5/24/2019,3.5025
5/17/2019,4.2065
5/10/2019,7.2154
5/3/2019,5.6021
4/26/2019,3.3379
4/19/2019,2.0638
4/12/2019,1.2484
4/5/2019,2.0859
3/29/2019,3.3177
3/22/2019,5.4704
3/15/2019,3.5401
3/8/2019,6.1597
3/1/2019,2.6944
2/22/2019,2.2379
2/15/2019,3.5895
2/8/2019,-0.8892
2/1/2019,-8.8196
1/25/2019,-9.1224
1/18/2019,-9.2717
1/11/2019,-10.2157
1/4/2019,-8.1172
12/28/2018,0.9396
12/21/2018,8.7348
12/14/2018,0.545
12/7/2018,1.1061
11/30/2018,-3.2801
11/23/2018,0.6607
11/16/2018,-4.9784
11/9/2018,-4.8059
11/2/2018,-1.2529
10/26/2018,4.5911
10/19/2018,4.0419
10/12/2018,7.6353
10/5/2018,8.3453
9/28/2018,6.2229
9/21/2018,4.8091
9/14/2018,5.3902
9/7/2018,7.7705
8/31/2018,5.1096
8/24/2018,4.5906
8/17/2018,4.664
8/10/2018,5.0237
8/3/2018,2.1235
7/27/2018,3.5654
7/20/2018,4.0496
7/13/2018,3.1215
7/6/2018,3.0534
6/29/2018,6.2138
6/22/2018,5.0965
6/15/2018,2.9524
6/8/2018,1.8409
6/1/2018,2.1514
5/25/2018,2.8908
5/18/2018,1.7277
5/11/2018,-1.5878
5/4/2018,-3.9942
4/27/2018,-5.71
4/20/2018,-3.6917
4/13/2018,-3.6442
4/6/2018,0.1185
3/30/2018,0.7968
3/23/2018,7.3792
3/16/2018,-7.3046
3/9/2018,-9.4781
3/2/2018,-4.0061
2/23/2018,-6.3051
2/16/2018,-2.7944
2/9/2018,7.5262
2/2/2018,6.6006
1/26/2018,3.7492
1/19/2018,4.6804
1/12/2018,3.8567
1/5/2018,2.5333
12/29/2017,4.7697
12/22/2017,3.2047
12/15/2017,2.8148
12/8/2017,3.5058
12/1/2017,4.9496
11/24/2017,4.1709
11/17/2017,6.1921
11/10/2017,6.7865
11/3/2017,4.6517
10/27/2017,5.2539
10/20/2017,6.5554
10/13/2017,4.4221
10/6/2017,4.3507
9/29/2017,3.5732
9/22/2017,1.4184
9/15/2017,0.7954
9/8/2017,3.3345
9/1/2017,1.655
8/25/2017,2.9681
8/18/2017,6.1629
8/11/2017,8.735
8/4/2017,3.3228
7/28/2017,2.911
