Security,SBOITOTL Index                                                  ,
Start Date,5/31/1990 0:00,
End Date,4/30/2021 0:00,
Period,M,
,,
Date,PX_LAST,FIRST_REVISION
4/30/2021,99.8,#N/A N/A
3/31/2021,98.2,#N/A N/A
2/28/2021,95.8,#N/A N/A
1/31/2021,95,#N/A N/A
12/31/2020,95.9,#N/A N/A
11/30/2020,101.4,#N/A N/A
10/31/2020,104,#N/A N/A
9/30/2020,104,#N/A N/A
8/31/2020,100.2,#N/A N/A
7/31/2020,98.8,#N/A N/A
6/30/2020,100.6,#N/A N/A
5/31/2020,94.4,#N/A N/A
4/30/2020,90.9,#N/A N/A
3/31/2020,96.4,#N/A N/A
2/29/2020,104.5,#N/A N/A
1/31/2020,104.3,#N/A N/A
12/31/2019,102.7,#N/A N/A
11/30/2019,104.7,#N/A N/A
10/31/2019,102.4,#N/A N/A
9/30/2019,101.8,#N/A N/A
8/31/2019,103.1,#N/A N/A
7/31/2019,104.7,#N/A N/A
6/30/2019,103.3,#N/A N/A
5/31/2019,105,#N/A N/A
4/30/2019,103.5,#N/A N/A
3/31/2019,101.8,#N/A N/A
2/28/2019,101.7,#N/A N/A
1/31/2019,101.2,#N/A N/A
12/31/2018,104.4,#N/A N/A
11/30/2018,104.8,#N/A N/A
10/31/2018,107.4,#N/A N/A
9/30/2018,107.9,#N/A N/A
8/31/2018,108.8,#N/A N/A
7/31/2018,107.9,#N/A N/A
6/30/2018,107.2,#N/A N/A
5/31/2018,107.8,#N/A N/A
4/30/2018,104.8,#N/A N/A
3/31/2018,104.7,#N/A N/A
2/28/2018,107.6,#N/A N/A
1/31/2018,106.9,#N/A N/A
12/31/2017,104.9,#N/A N/A
11/30/2017,107.5,#N/A N/A
10/31/2017,103.8,#N/A N/A
9/30/2017,103,#N/A N/A
8/31/2017,105.3,#N/A N/A
7/31/2017,105.2,#N/A N/A
6/30/2017,103.6,#N/A N/A
5/31/2017,104.5,#N/A N/A
4/30/2017,104.5,#N/A N/A
3/31/2017,104.7,#N/A N/A
2/28/2017,105.3,#N/A N/A
1/31/2017,105.9,#N/A N/A
12/31/2016,105.8,#N/A N/A
11/30/2016,98.4,#N/A N/A
10/31/2016,94.9,#N/A N/A
9/30/2016,94.1,#N/A N/A
8/31/2016,94.4,#N/A N/A
7/31/2016,94.6,#N/A N/A
6/30/2016,94.5,#N/A N/A
5/31/2016,93.8,#N/A N/A
4/30/2016,93.6,#N/A N/A
3/31/2016,92.6,#N/A N/A
2/29/2016,92.9,#N/A N/A
1/31/2016,93.9,#N/A N/A
12/31/2015,95.2,#N/A N/A
11/30/2015,94.5,#N/A N/A
10/31/2015,96,#N/A N/A
9/30/2015,96,#N/A N/A
8/31/2015,95.7,#N/A N/A
7/31/2015,95.7,#N/A N/A
6/30/2015,94.6,#N/A N/A
5/31/2015,97.9,#N/A N/A
4/30/2015,96.5,#N/A N/A
3/31/2015,95.7,#N/A N/A
2/28/2015,98.1,#N/A N/A
1/31/2015,97.7,#N/A N/A
12/31/2014,100.3,#N/A N/A
11/30/2014,97.8,#N/A N/A
10/31/2014,96,#N/A N/A
9/30/2014,95.3,#N/A N/A
8/31/2014,95.9,#N/A N/A
7/31/2014,96,#N/A N/A
6/30/2014,95.4,#N/A N/A
5/31/2014,96.2,#N/A N/A
4/30/2014,94.8,#N/A N/A
3/31/2014,94,#N/A N/A
2/28/2014,91.6,#N/A N/A
1/31/2014,94,#N/A N/A
12/31/2013,93.8,#N/A N/A
11/30/2013,92.2,#N/A N/A
10/31/2013,91.5,#N/A N/A
9/30/2013,93.8,#N/A N/A
8/31/2013,94,94.1
7/31/2013,94.4,#N/A N/A
6/30/2013,94,#N/A N/A
5/31/2013,94,#N/A N/A
4/30/2013,91.7,#N/A N/A
3/31/2013,90,#N/A N/A
2/28/2013,90.9,#N/A N/A
1/31/2013,88.8,#N/A N/A
12/31/2012,88,#N/A N/A
11/30/2012,87.2,#N/A N/A
10/31/2012,93,#N/A N/A
9/30/2012,92.7,#N/A N/A
8/31/2012,92.7,#N/A N/A
7/31/2012,91.5,#N/A N/A
6/30/2012,91.9,#N/A N/A
5/31/2012,94,#N/A N/A
4/30/2012,94.2,#N/A N/A
3/31/2012,93.1,#N/A N/A
2/29/2012,94.5,#N/A N/A
1/31/2012,93.7,#N/A N/A
12/31/2011,93.7,#N/A N/A
11/30/2011,91.8,#N/A N/A
10/31/2011,90.2,#N/A N/A
9/30/2011,88.9,#N/A N/A
8/31/2011,87.9,#N/A N/A
7/31/2011,90.2,#N/A N/A
6/30/2011,91.2,#N/A N/A
5/31/2011,90.5,#N/A N/A
4/30/2011,90.9,#N/A N/A
3/31/2011,92.4,#N/A N/A
2/28/2011,94.7,#N/A N/A
1/31/2011,93.9,#N/A N/A
12/31/2010,92.5,#N/A N/A
11/30/2010,93,#N/A N/A
10/31/2010,91.6,#N/A N/A
9/30/2010,89,#N/A N/A
8/31/2010,88.6,#N/A N/A
7/31/2010,88.4,#N/A N/A
6/30/2010,89.5,#N/A N/A
5/31/2010,91.8,#N/A N/A
4/30/2010,90.2,#N/A N/A
3/31/2010,87.3,#N/A N/A
2/28/2010,88.2,#N/A N/A
1/31/2010,89.1,#N/A N/A
12/31/2009,88,#N/A N/A
11/30/2009,88,#N/A N/A
10/31/2009,89.1,#N/A N/A
9/30/2009,88.7,#N/A N/A
8/31/2009,88.4,#N/A N/A
7/31/2009,86.8,#N/A N/A
6/30/2009,88.3,#N/A N/A
5/31/2009,88.4,#N/A N/A
4/30/2009,86.5,#N/A N/A
3/31/2009,81.6,#N/A N/A
2/28/2009,82.7,#N/A N/A
1/31/2009,83.9,#N/A N/A
12/31/2008,85.1,#N/A N/A
11/30/2008,87.5,#N/A N/A
10/31/2008,87.4,#N/A N/A
9/30/2008,92.8,#N/A N/A
8/31/2008,91,#N/A N/A
7/31/2008,88.5,#N/A N/A
6/30/2008,89.7,#N/A N/A
5/31/2008,88.9,#N/A N/A
4/30/2008,91.2,#N/A N/A
3/31/2008,90.1,#N/A N/A
2/29/2008,93,#N/A N/A
1/31/2008,91.6,#N/A N/A
12/31/2007,94.5,#N/A N/A
11/30/2007,94.2,#N/A N/A
10/31/2007,96.1,#N/A N/A
9/30/2007,97.2,#N/A N/A
8/31/2007,96.2,#N/A N/A
7/31/2007,97.9,#N/A N/A
6/30/2007,96.4,#N/A N/A
5/31/2007,96.8,#N/A N/A
4/30/2007,96.4,#N/A N/A
3/31/2007,97.8,#N/A N/A
2/28/2007,98.3,#N/A N/A
1/31/2007,98.7,#N/A N/A
12/31/2006,96.5,#N/A N/A
11/30/2006,99.5,#N/A N/A
10/31/2006,100.7,#N/A N/A
9/30/2006,99.4,#N/A N/A
8/31/2006,95.7,#N/A N/A
7/31/2006,98.4,#N/A N/A
6/30/2006,97.2,#N/A N/A
5/31/2006,98.1,#N/A N/A
4/30/2006,99.7,#N/A N/A
3/31/2006,98.5,#N/A N/A
2/28/2006,101.6,#N/A N/A
1/31/2006,100.9,#N/A N/A
12/31/2005,101.3,#N/A N/A
11/30/2005,100.9,#N/A N/A
10/31/2005,103.7,#N/A N/A
9/30/2005,100,#N/A N/A
8/31/2005,100.7,#N/A N/A
7/31/2005,101.4,#N/A N/A
6/30/2005,101.3,#N/A N/A
5/31/2005,100.4,#N/A N/A
4/30/2005,99.5,#N/A N/A
3/31/2005,103,#N/A N/A
2/28/2005,103.8,#N/A N/A
1/31/2005,103.5,#N/A N/A
12/31/2004,106.1,#N/A N/A
11/30/2004,107.4,#N/A N/A
10/31/2004,103.9,#N/A N/A
9/30/2004,104.4,#N/A N/A
8/31/2004,102.7,#N/A N/A
7/31/2004,106.2,#N/A N/A
6/30/2004,103.5,#N/A N/A
5/31/2004,104.1,#N/A N/A
4/30/2004,105,#N/A N/A
3/31/2004,103.1,#N/A N/A
2/29/2004,102.8,#N/A N/A
1/31/2004,105.7,#N/A N/A
12/31/2003,106.9,#N/A N/A
11/30/2003,105,#N/A N/A
10/31/2003,104,#N/A N/A
9/30/2003,101.9,#N/A N/A
8/31/2003,104.5,#N/A N/A
7/31/2003,100.9,#N/A N/A
6/30/2003,102.2,#N/A N/A
5/31/2003,99.7,#N/A N/A
4/30/2003,99.6,#N/A N/A
3/31/2003,95.3,#N/A N/A
2/28/2003,96.2,#N/A N/A
1/31/2003,99,#N/A N/A
12/31/2002,98.5,#N/A N/A
11/30/2002,101.6,#N/A N/A
10/31/2002,100.3,#N/A N/A
9/30/2002,101,#N/A N/A
8/31/2002,101.3,#N/A N/A
7/31/2002,99.8,#N/A N/A
6/30/2002,102.6,#N/A N/A
5/31/2002,101.9,#N/A N/A
4/30/2002,101.8,#N/A N/A
3/31/2002,104.2,#N/A N/A
2/28/2002,100.4,#N/A N/A
1/31/2002,100.6,#N/A N/A
12/31/2001,100.3,#N/A N/A
11/30/2001,99.1,#N/A N/A
10/31/2001,96.2,#N/A N/A
9/30/2001,96.2,#N/A N/A
8/31/2001,101.3,#N/A N/A
7/31/2001,98.8,#N/A N/A
6/30/2001,97.6,#N/A N/A
5/31/2001,99.1,#N/A N/A
4/30/2001,98.1,#N/A N/A
3/31/2001,98.4,#N/A N/A
2/28/2001,98.5,#N/A N/A
1/31/2001,96.4,#N/A N/A
12/31/2000,96.7,#N/A N/A
11/30/2000,99.4,#N/A N/A
10/31/2000,99.3,#N/A N/A
9/30/2000,101.1,#N/A N/A
8/31/2000,101.7,#N/A N/A
7/31/2000,101.4,#N/A N/A
6/30/2000,98.4,#N/A N/A
5/31/2000,100,#N/A N/A
4/30/2000,100.4,#N/A N/A
3/31/2000,101.7,#N/A N/A
2/29/2000,101,#N/A N/A
1/31/2000,103.4,#N/A N/A
12/31/1999,103,#N/A N/A
11/30/1999,102.9,#N/A N/A
10/31/1999,101.3,#N/A N/A
9/30/1999,102.3,#N/A N/A
8/31/1999,100.5,#N/A N/A
7/31/1999,100.9,#N/A N/A
6/30/1999,100.7,#N/A N/A
5/31/1999,99.6,#N/A N/A
4/30/1999,101,#N/A N/A
3/31/1999,100.9,#N/A N/A
2/28/1999,100.7,#N/A N/A
1/31/1999,100.5,#N/A N/A
12/31/1998,101.5,#N/A N/A
11/30/1998,100.7,#N/A N/A
10/31/1998,99.9,#N/A N/A
9/30/1998,99.5,#N/A N/A
8/31/1998,101.9,#N/A N/A
7/31/1998,101.5,#N/A N/A
6/30/1998,100.7,#N/A N/A
5/31/1998,101.6,#N/A N/A
4/30/1998,102.8,#N/A N/A
3/31/1998,101.7,#N/A N/A
2/28/1998,101.9,#N/A N/A
1/31/1998,102.1,#N/A N/A
12/31/1997,102.3,#N/A N/A
11/30/1997,103.3,#N/A N/A
10/31/1997,103.9,#N/A N/A
9/30/1997,102.7,#N/A N/A
8/31/1997,103.8,#N/A N/A
7/31/1997,103.8,#N/A N/A
6/30/1997,102.7,#N/A N/A
5/31/1997,100.7,#N/A N/A
4/30/1997,100.5,#N/A N/A
3/31/1997,100.5,#N/A N/A
2/28/1997,101.9,#N/A N/A
1/31/1997,100.9,#N/A N/A
12/31/1996,99.8,#N/A N/A
11/30/1996,98.9,#N/A N/A
10/31/1996,101.2,#N/A N/A
9/30/1996,100.5,#N/A N/A
8/31/1996,100.1,#N/A N/A
7/31/1996,99.8,#N/A N/A
6/30/1996,101.4,#N/A N/A
5/31/1996,99.4,#N/A N/A
4/30/1996,99.6,#N/A N/A
3/31/1996,100.8,#N/A N/A
2/29/1996,100.2,#N/A N/A
1/31/1996,99.6,#N/A N/A
12/31/1995,101.1,#N/A N/A
11/30/1995,101.8,#N/A N/A
10/31/1995,101.3,#N/A N/A
9/30/1995,101.6,#N/A N/A
8/31/1995,100.3,#N/A N/A
7/31/1995,100.3,#N/A N/A
6/30/1995,99.6,#N/A N/A
5/31/1995,99.6,#N/A N/A
4/30/1995,100.2,#N/A N/A
3/31/1995,100.5,#N/A N/A
2/28/1995,100.7,#N/A N/A
1/31/1995,101.8,#N/A N/A
12/31/1994,101.2,#N/A N/A
11/30/1994,103.7,#N/A N/A
10/31/1994,99.9,#N/A N/A
9/30/1994,99.4,#N/A N/A
8/31/1994,99,#N/A N/A
7/31/1994,98.7,#N/A N/A
6/30/1994,98.9,#N/A N/A
5/31/1994,98.5,#N/A N/A
4/30/1994,98,#N/A N/A
3/31/1994,100.1,#N/A N/A
2/28/1994,99.9,#N/A N/A
1/31/1994,99.6,#N/A N/A
12/31/1993,98.1,#N/A N/A
11/30/1993,98.5,#N/A N/A
10/31/1993,94.9,#N/A N/A
9/30/1993,94.1,#N/A N/A
8/31/1993,92.4,#N/A N/A
7/31/1993,93.8,#N/A N/A
6/30/1993,92.9,#N/A N/A
5/31/1993,93.7,#N/A N/A
4/30/1993,95.4,#N/A N/A
3/31/1993,97.4,#N/A N/A
2/28/1993,98.3,#N/A N/A
1/31/1993,100.6,#N/A N/A
12/31/1992,100.7,#N/A N/A
11/30/1992,100.4,#N/A N/A
10/31/1992,98,#N/A N/A
9/30/1992,98.6,#N/A N/A
8/31/1992,99.9,#N/A N/A
7/31/1992,99,#N/A N/A
6/30/1992,101.2,#N/A N/A
5/31/1992,100.8,#N/A N/A
4/30/1992,100.6,#N/A N/A
3/31/1992,100.1,#N/A N/A
2/29/1992,98.4,#N/A N/A
1/31/1992,96.7,#N/A N/A
12/31/1991,95.8,#N/A N/A
11/30/1991,95.3,#N/A N/A
10/31/1991,97.8,#N/A N/A
9/30/1991,99.4,#N/A N/A
8/31/1991,98.4,#N/A N/A
7/31/1991,100.6,#N/A N/A
6/30/1991,99.6,#N/A N/A
5/31/1991,99.4,#N/A N/A
4/30/1991,100.2,#N/A N/A
3/31/1991,100.1,#N/A N/A
2/28/1991,95.4,#N/A N/A
1/31/1991,91.2,#N/A N/A
12/31/1990,91.7,#N/A N/A
11/30/1990,91.8,#N/A N/A
10/31/1990,91.6,#N/A N/A
9/30/1990,92.9,#N/A N/A
8/31/1990,95.2,#N/A N/A
7/31/1990,97.9,#N/A N/A
6/30/1990,98.7,#N/A N/A
5/31/1990,99.4,#N/A N/A
