Security,.TREASCAR U Index                                               
Start Date,5/18/2020 0:00
End Date,5/18/2021 0:00
Period,D
,
Date,PX_LAST
5/18/2021,2.7533
5/17/2021,2.7418
5/14/2021,2.1431
5/13/2021,2.317
5/12/2021,2.3521
5/11/2021,2.3946
5/10/2021,2.1036
5/7/2021,1.9581
5/6/2021,2.1703
5/5/2021,1.9807
5/4/2021,2.1468
5/3/2021,2.0153
4/30/2021,1.699
4/29/2021,1.6844
4/28/2021,1.8166
4/27/2021,1.4499
4/26/2021,1.5688
4/23/2021,1.4694
4/22/2021,1.4176
4/21/2021,1.3415
4/20/2021,1.5402
4/19/2021,1.5387
4/16/2021,1.297
4/15/2021,0.8766
4/14/2021,1.3073
4/13/2021,1.2437
4/12/2021,1.5444
4/9/2021,1.2056
4/8/2021,0.9497
4/7/2021,1.2065
4/6/2021,0.1003
4/5/2021,0.4763
4/2/2021,0.6852
4/1/2021,0.8636
3/31/2021,1.6601
3/30/2021,1.2461
3/29/2021,1.091
3/26/2021,0.5101
3/25/2021,0.3274
3/24/2021,0.4601
3/23/2021,0.4582
3/22/2021,1.3501
3/19/2021,1.5977
3/18/2021,1.7672
3/17/2021,1.6081
3/16/2021,2.0554
3/15/2021,2.057
3/12/2021,2.0674
3/11/2021,1.6193
3/10/2021,1.5629
3/9/2021,2.0114
3/8/2021,2.6
3/5/2021,2.31
3/4/2021,2.1522
3/3/2021,2.0834
3/2/2021,1.3605
3/1/2021,2.5639
2/26/2021,3.3694
2/25/2021,3.2447
2/24/2021,3.3308
2/23/2021,3.3579
2/22/2021,3.4098
2/19/2021,3.1626
2/18/2021,2.8101
2/17/2021,2.5366
2/16/2021,2.5862
2/12/2021,2.0226
2/11/2021,1.9614
2/10/2021,1.9876
2/9/2021,2.0893
2/8/2021,2.257
2/5/2021,2.1126
2/4/2021,2.0923
2/3/2021,1.9366
2/2/2021,1.7861
2/1/2021,1.8595
1/29/2021,2.0075
1/28/2021,1.8438
1/27/2021,1.7368
1/26/2021,1.6678
1/25/2021,1.6177
1/22/2021,1.6686
1/21/2021,1.6754
1/20/2021,1.615
1/19/2021,1.7695
1/15/2021,1.7258
1/14/2021,1.8705
1/13/2021,1.83
1/12/2021,2.1013
1/11/2021,1.8649
1/8/2021,1.495
1/7/2021,1.5815
1/6/2021,1.562
