Security,ACMTP10  Index                                                  ,
Start Date,5/14/1990 0:00,
End Date,5/14/2021 0:00,
Period,D,
,,
Date,PX_LAST,PX_MID
5/14/2021,0.5813,0.5813
5/13/2021,0.6154,0.6154
5/12/2021,0.6406,0.6406
5/11/2021,0.581,0.581
5/10/2021,0.5675,0.5675
5/7/2021,0.5406,0.5406
5/6/2021,0.4806,0.4806
5/5/2021,0.4926,0.4926
5/4/2021,0.5082,0.5082
5/3/2021,0.5322,0.5322
4/30/2021,0.5458,0.5458
4/29/2021,0.5454,0.5454
4/28/2021,0.5118,0.5118
4/27/2021,0.4994,0.4994
4/26/2021,0.4424,0.4424
4/23/2021,0.4612,0.4612
4/22/2021,0.455,0.455
4/21/2021,0.4682,0.4682
4/20/2021,0.4766,0.4766
4/19/2021,0.5082,0.5082
4/16/2021,0.4672,0.4672
4/15/2021,0.4404,0.4404
4/14/2021,0.5339,0.5339
4/13/2021,0.5265,0.5265
4/12/2021,0.5608,0.5608
4/9/2021,0.5635,0.5635
4/8/2021,0.5495,0.5495
4/7/2021,0.5994,0.5994
4/6/2021,0.5755,0.5755
4/5/2021,0.6089,0.6089
4/2/2021,0.5661,0.5661
4/1/2021,0.5808,0.5808
3/31/2021,0.6626,0.6626
3/30/2021,0.6572,0.6572
3/29/2021,0.6705,0.6705
3/26/2021,0.6194,0.6194
3/25/2021,0.5796,0.5796
3/24/2021,0.5499,0.5499
3/23/2021,0.5715,0.5715
3/22/2021,0.6308,0.6308
3/19/2021,0.6953,0.6953
3/18/2021,0.6764,0.6764
3/17/2021,0.5991,0.5991
3/16/2021,0.542,0.542
3/15/2021,0.528,0.528
3/12/2021,0.554,0.554
3/11/2021,0.4263,0.4263
3/10/2021,0.394,0.394
3/9/2021,0.4088,0.4088
3/8/2021,0.4673,0.4673
3/5/2021,0.4624,0.4624
3/4/2021,0.4647,0.4647
3/3/2021,0.3748,0.3748
3/2/2021,0.3272,0.3272
3/1/2021,0.3517,0.3517
2/26/2021,0.2987,0.2987
2/25/2021,0.404,0.404
2/24/2021,0.3006,0.3006
2/23/2021,0.2918,0.2918
2/22/2021,0.2817,0.2817
2/19/2021,0.2512,0.2512
2/18/2021,0.1768,0.1768
2/17/2021,0.174,0.174
2/16/2021,0.1651,0.1651
2/12/2021,0.0677,0.0677
2/11/2021,0.0015,0.0015
2/10/2021,-0.0143,-0.0143
2/9/2021,0.0163,0.0163
2/8/2021,0.0255,0.0255
2/5/2021,0.0444,0.0444
2/4/2021,-0.0099,-0.0099
2/3/2021,-0.0235,-0.0235
2/2/2021,-0.0593,-0.0593
2/1/2021,-0.0897,-0.0897
1/29/2021,-0.0736,-0.0736
1/28/2021,-0.1394,-0.1394
1/27/2021,-0.1742,-0.1742
1/26/2021,-0.1524,-0.1524
1/25/2021,-0.1523,-0.1523
1/22/2021,-0.0911,-0.0911
1/21/2021,-0.0637,-0.0637
1/20/2021,-0.1019,-0.1019
1/19/2021,-0.0971,-0.0971
1/15/2021,-0.0994,-0.0994
1/14/2021,-0.0615,-0.0615
1/13/2021,-0.1341,-0.1341
1/12/2021,-0.0725,-0.0725
1/11/2021,-0.0737,-0.0737
1/8/2021,-0.0987,-0.0987
1/7/2021,-0.1433,-0.1433
1/6/2021,-0.1921,-0.1921
1/5/2021,-0.2873,-0.2873
1/4/2021,-0.3218,-0.3218
12/31/2020,-0.3293,-0.3293
12/30/2020,-0.3214,-0.3214
12/29/2020,-0.3121,-0.3121
12/28/2020,-0.3196,-0.3196
12/24/2020,-0.3214,-0.3214
12/23/2020,-0.2869,-0.2869
12/22/2020,-0.3377,-0.3377
12/21/2020,-0.3121,-0.3121
12/18/2020,-0.3099,-0.3099
12/17/2020,-0.3308,-0.3308
12/16/2020,-0.3443,-0.3443
12/15/2020,-0.3495,-0.3495
12/14/2020,-0.3726,-0.3726
12/11/2020,-0.38,-0.38
12/10/2020,-0.3786,-0.3786
12/9/2020,-0.3522,-0.3522
12/8/2020,-0.3736,-0.3736
12/7/2020,-0.3447,-0.3447
12/4/2020,-0.3081,-0.3081
12/3/2020,-0.3762,-0.3762
12/2/2020,-0.3441,-0.3441
12/1/2020,-0.3881,-0.3881
11/30/2020,-0.4711,-0.4711
11/27/2020,-0.4879,-0.4879
11/25/2020,-0.4364,-0.4364
11/24/2020,-0.445,-0.445
11/23/2020,-0.4823,-0.4823
11/20/2020,-0.5145,-0.5145
11/19/2020,-0.4861,-0.4861
11/18/2020,-0.4562,-0.4562
11/17/2020,-0.47,-0.47
11/16/2020,-0.424,-0.424
11/13/2020,-0.4435,-0.4435
11/12/2020,-0.46,-0.46
11/10/2020,-0.3411,-0.3411
11/9/2020,-0.3646,-0.3646
11/6/2020,-0.4979,-0.4979
11/5/2020,-0.5519,-0.5519
11/4/2020,-0.5456,-0.5456
11/3/2020,-0.4157,-0.4157
11/2/2020,-0.4465,-0.4465
10/30/2020,-0.4249,-0.4249
10/29/2020,-0.4744,-0.4744
10/28/2020,-0.5434,-0.5434
10/27/2020,-0.5428,-0.5428
10/26/2020,-0.5183,-0.5183
10/23/2020,-0.4779,-0.4779
10/22/2020,-0.4539,-0.4539
10/21/2020,-0.4988,-0.4988
10/20/2020,-0.5226,-0.5226
10/19/2020,-0.5706,-0.5706
10/16/2020,-0.5942,-0.5942
10/15/2020,-0.6034,-0.6034
10/14/2020,-0.6159,-0.6159
10/13/2020,-0.6022,-0.6022
10/9/2020,-0.5606,-0.5606
10/8/2020,-0.5592,-0.5592
10/7/2020,-0.5407,-0.5407
10/6/2020,-0.5821,-0.5821
10/5/2020,-0.5623,-0.5623
10/2/2020,-0.6487,-0.6487
10/1/2020,-0.6721,-0.6721
9/30/2020,-0.66,-0.66
9/29/2020,-0.6959,-0.6959
9/28/2020,-0.6897,-0.6897
9/25/2020,-0.6972,-0.6972
9/24/2020,-0.6944,-0.6944
9/23/2020,-0.6777,-0.6777
9/22/2020,-0.6738,-0.6738
9/21/2020,-0.6749,-0.6749
9/18/2020,-0.649,-0.649
9/17/2020,-0.6652,-0.6652
9/16/2020,-0.6642,-0.6642
9/15/2020,-0.6791,-0.6791
9/14/2020,-0.678,-0.678
9/11/2020,-0.6752,-0.6752
9/10/2020,-0.6709,-0.6709
9/9/2020,-0.6473,-0.6473
9/8/2020,-0.6649,-0.6649
9/4/2020,-0.6392,-0.6392
9/3/2020,-0.7317,-0.7317
9/2/2020,-0.6955,-0.6955
9/1/2020,-0.6558,-0.6558
8/31/2020,-0.6003,-0.6003
8/28/2020,-0.5739,-0.5739
8/27/2020,-0.6032,-0.6032
8/26/2020,-0.6773,-0.6773
8/25/2020,-0.6908,-0.6908
8/24/2020,-0.7376,-0.7376
8/21/2020,-0.7478,-0.7478
8/20/2020,-0.7289,-0.7289
8/19/2020,-0.6844,-0.6844
8/18/2020,-0.7046,-0.7046
8/17/2020,-0.6875,-0.6875
8/14/2020,-0.6608,-0.6608
8/13/2020,-0.6755,-0.6755
8/12/2020,-0.7042,-0.7042
8/11/2020,-0.7508,-0.7508
8/10/2020,-0.8042,-0.8042
8/7/2020,-0.8212,-0.8212
8/6/2020,-0.8502,-0.8502
8/5/2020,-0.8389,-0.8389
8/4/2020,-0.8717,-0.8717
8/3/2020,-0.8181,-0.8181
7/31/2020,-0.8416,-0.8416
7/30/2020,-0.8485,-0.8485
7/29/2020,-0.8101,-0.8101
7/28/2020,-0.8252,-0.8252
7/27/2020,-0.7941,-0.7941
7/24/2020,-0.8165,-0.8165
7/23/2020,-0.8258,-0.8258
7/22/2020,-0.7993,-0.7993
7/21/2020,-0.7863,-0.7863
7/20/2020,-0.7751,-0.7751
7/17/2020,-0.7544,-0.7544
7/16/2020,-0.7722,-0.7722
7/15/2020,-0.7562,-0.7562
7/14/2020,-0.7806,-0.7806
7/13/2020,-0.7622,-0.7622
7/10/2020,-0.7542,-0.7542
7/9/2020,-0.7888,-0.7888
7/8/2020,-0.7257,-0.7257
7/7/2020,-0.7418,-0.7418
7/6/2020,-0.6857,-0.6857
7/2/2020,-0.7017,-0.7017
7/1/2020,-0.6973,-0.6973
6/30/2020,-0.7118,-0.7118
