Security,NAPMPMI  Index                                                  ,
Start Date,5/31/1981 0:00,
End Date,4/30/2021 0:00,
Period,M,
,,
Date,PX_LAST,FIRST_REVISION
4/30/2021,60.7,#N/A N/A
3/31/2021,64.7,#N/A N/A
2/28/2021,60.8,#N/A N/A
1/31/2021,58.7,#N/A N/A
12/31/2020,60.5,60.5
11/30/2020,57.7,#N/A N/A
10/31/2020,58.8,#N/A N/A
9/30/2020,55.7,#N/A N/A
8/31/2020,55.6,#N/A N/A
7/31/2020,53.7,#N/A N/A
6/30/2020,52.2,#N/A N/A
5/31/2020,43.1,#N/A N/A
4/30/2020,41.7,#N/A N/A
3/31/2020,49.7,#N/A N/A
2/29/2020,50.3,#N/A N/A
1/31/2020,51.1,#N/A N/A
12/31/2019,47.7,#N/A N/A
11/30/2019,48.2,#N/A N/A
10/31/2019,48.3,#N/A N/A
9/30/2019,48.3,#N/A N/A
8/31/2019,48.4,#N/A N/A
7/31/2019,51,#N/A N/A
6/30/2019,51.3,#N/A N/A
5/31/2019,52.2,#N/A N/A
4/30/2019,53.6,#N/A N/A
3/31/2019,55.3,#N/A N/A
2/28/2019,54.2,#N/A N/A
1/31/2019,55.7,#N/A N/A
12/31/2018,54.8,54.3
11/30/2018,58.7,#N/A N/A
10/31/2018,58.3,#N/A N/A
9/30/2018,59.5,#N/A N/A
8/31/2018,60.4,#N/A N/A
7/31/2018,58,#N/A N/A
6/30/2018,59.7,#N/A N/A
5/31/2018,58.9,#N/A N/A
4/30/2018,58.6,#N/A N/A
3/31/2018,59.2,#N/A N/A
2/28/2018,60.8,#N/A N/A
1/31/2018,59.4,#N/A N/A
12/31/2017,59.2,59.3
11/30/2017,57.9,#N/A N/A
10/31/2017,58.6,#N/A N/A
9/30/2017,59.9,#N/A N/A
8/31/2017,58.5,#N/A N/A
7/31/2017,56.5,#N/A N/A
6/30/2017,56.1,#N/A N/A
5/31/2017,56.4,#N/A N/A
4/30/2017,55.7,#N/A N/A
3/31/2017,56.8,#N/A N/A
2/28/2017,57.7,#N/A N/A
1/31/2017,55.7,#N/A N/A
12/31/2016,54.2,54.5
11/30/2016,53.3,#N/A N/A
10/31/2016,51.8,#N/A N/A
9/30/2016,51,#N/A N/A
8/31/2016,49.7,#N/A N/A
7/31/2016,52.4,#N/A N/A
6/30/2016,52.4,#N/A N/A
5/31/2016,51.3,#N/A N/A
4/30/2016,51,#N/A N/A
3/31/2016,51.4,#N/A N/A
2/29/2016,49.2,#N/A N/A
1/31/2016,47.5,#N/A N/A
12/31/2015,48.8,#N/A N/A
11/30/2015,49.1,#N/A N/A
10/31/2015,49,#N/A N/A
9/30/2015,50,#N/A N/A
8/31/2015,50,#N/A N/A
7/31/2015,51.9,#N/A N/A
6/30/2015,52.6,#N/A N/A
5/31/2015,52.7,#N/A N/A
4/30/2015,52.1,#N/A N/A
3/31/2015,52.3,#N/A N/A
2/28/2015,53.1,#N/A N/A
1/31/2015,54,#N/A N/A
12/31/2014,55.7,#N/A N/A
11/30/2014,56.3,#N/A N/A
10/31/2014,56.2,#N/A N/A
9/30/2014,55.7,#N/A N/A
8/31/2014,56.3,#N/A N/A
7/31/2014,55.1,#N/A N/A
6/30/2014,55,#N/A N/A
5/31/2014,55.7,#N/A N/A
4/30/2014,56.6,#N/A N/A
3/31/2014,55.9,#N/A N/A
2/28/2014,55,#N/A N/A
1/31/2014,52.5,#N/A N/A
12/31/2013,56.5,#N/A N/A
11/30/2013,55.5,#N/A N/A
10/31/2013,54.6,#N/A N/A
9/30/2013,54.6,#N/A N/A
8/31/2013,54,#N/A N/A
7/31/2013,53.8,#N/A N/A
6/30/2013,51.1,#N/A N/A
5/31/2013,50.8,#N/A N/A
4/30/2013,51,#N/A N/A
3/31/2013,51.9,#N/A N/A
2/28/2013,54.2,#N/A N/A
1/31/2013,53.3,#N/A N/A
12/31/2012,50.1,50.2
11/30/2012,48,#N/A N/A
10/31/2012,50.5,#N/A N/A
9/30/2012,50.8,#N/A N/A
8/31/2012,49,#N/A N/A
7/31/2012,49.6,#N/A N/A
6/30/2012,49.5,#N/A N/A
5/31/2012,53.2,#N/A N/A
4/30/2012,55.2,#N/A N/A
3/31/2012,53.5,#N/A N/A
2/29/2012,53.3,#N/A N/A
1/31/2012,54.2,#N/A N/A
12/31/2011,53,#N/A N/A
11/30/2011,51.8,#N/A N/A
10/31/2011,51.4,#N/A N/A
9/30/2011,53.7,#N/A N/A
8/31/2011,52.6,#N/A N/A
7/31/2011,52.9,#N/A N/A
6/30/2011,55.8,#N/A N/A
5/31/2011,54.8,#N/A N/A
4/30/2011,57.9,#N/A N/A
3/31/2011,58.4,#N/A N/A
2/28/2011,59.2,#N/A N/A
1/31/2011,59.1,#N/A N/A
12/31/2010,56.6,#N/A N/A
11/30/2010,57.3,#N/A N/A
10/31/2010,56.9,#N/A N/A
9/30/2010,55.3,#N/A N/A
8/31/2010,56.4,#N/A N/A
7/31/2010,56.1,#N/A N/A
6/30/2010,56.5,#N/A N/A
5/31/2010,57.4,#N/A N/A
4/30/2010,58.1,#N/A N/A
3/31/2010,58.8,#N/A N/A
2/28/2010,55.5,#N/A N/A
1/31/2010,56.3,#N/A N/A
12/31/2009,55.8,#N/A N/A
11/30/2009,55.4,#N/A N/A
10/31/2009,57.6,#N/A N/A
9/30/2009,54.9,#N/A N/A
8/31/2009,53.4,#N/A N/A
7/31/2009,49.7,#N/A N/A
6/30/2009,46.3,#N/A N/A
5/31/2009,44.1,#N/A N/A
4/30/2009,39.9,#N/A N/A
3/31/2009,37.2,#N/A N/A
2/28/2009,36.6,#N/A N/A
1/31/2009,36.4,#N/A N/A
12/31/2008,34.5,32.9
11/30/2008,39,#N/A N/A
10/31/2008,38.2,#N/A N/A
9/30/2008,47.2,#N/A N/A
8/31/2008,50.1,#N/A N/A
7/31/2008,50.8,#N/A N/A
6/30/2008,49.9,#N/A N/A
5/31/2008,48.9,#N/A N/A
4/30/2008,48.5,#N/A N/A
3/31/2008,49.7,#N/A N/A
2/29/2008,48.8,#N/A N/A
1/31/2008,50.9,#N/A N/A
12/31/2007,50.1,#N/A N/A
11/30/2007,51.5,#N/A N/A
10/31/2007,52.8,#N/A N/A
9/30/2007,53.8,#N/A N/A
8/31/2007,52.2,#N/A N/A
7/31/2007,51.8,#N/A N/A
6/30/2007,54,#N/A N/A
5/31/2007,53.1,#N/A N/A
4/30/2007,52.7,#N/A N/A
3/31/2007,52.8,#N/A N/A
2/28/2007,54.1,#N/A N/A
1/31/2007,50.4,#N/A N/A
12/31/2006,51.4,#N/A N/A
11/30/2006,50.3,#N/A N/A
10/31/2006,51.4,#N/A N/A
9/30/2006,52.2,#N/A N/A
8/31/2006,53.7,#N/A N/A
7/31/2006,53,#N/A N/A
6/30/2006,52,#N/A N/A
5/31/2006,53.7,#N/A N/A
4/30/2006,55.2,#N/A N/A
3/31/2006,54.3,#N/A N/A
2/28/2006,55.8,#N/A N/A
1/31/2006,55,#N/A N/A
12/31/2005,55.1,55.6
11/30/2005,56.7,#N/A N/A
10/31/2005,57.2,#N/A N/A
9/30/2005,56.8,#N/A N/A
8/31/2005,52.4,#N/A N/A
7/31/2005,52.8,#N/A N/A
6/30/2005,52.4,#N/A N/A
5/31/2005,50.8,#N/A N/A
4/30/2005,52.2,#N/A N/A
3/31/2005,55.2,#N/A N/A
2/28/2005,55.5,#N/A N/A
1/31/2005,56.8,#N/A N/A
12/31/2004,57.2,57.3
11/30/2004,56.2,#N/A N/A
10/31/2004,56.3,#N/A N/A
9/30/2004,57.4,#N/A N/A
8/31/2004,58.5,#N/A N/A
7/31/2004,59.9,#N/A N/A
6/30/2004,60.5,#N/A N/A
5/31/2004,61.4,#N/A N/A
4/30/2004,60.6,#N/A N/A
3/31/2004,60.6,#N/A N/A
2/29/2004,59.9,#N/A N/A
1/31/2004,60.8,#N/A N/A
12/31/2003,60.1,63.4
11/30/2003,58.4,#N/A N/A
10/31/2003,55.2,#N/A N/A
9/30/2003,52.4,#N/A N/A
8/31/2003,53.2,#N/A N/A
7/31/2003,51,#N/A N/A
6/30/2003,49,#N/A N/A
5/31/2003,49,#N/A N/A
4/30/2003,46.1,#N/A N/A
3/31/2003,46.3,#N/A N/A
2/28/2003,48.8,#N/A N/A
1/31/2003,51.3,#N/A N/A
12/31/2002,51.6,55.2
11/30/2002,48.5,#N/A N/A
10/31/2002,49,#N/A N/A
9/30/2002,50.5,#N/A N/A
8/31/2002,50.3,#N/A N/A
7/31/2002,50.2,#N/A N/A
6/30/2002,53.6,#N/A N/A
5/31/2002,53.1,#N/A N/A
4/30/2002,52.4,#N/A N/A
3/31/2002,52.4,#N/A N/A
2/28/2002,50.7,#N/A N/A
1/31/2002,47.5,#N/A N/A
12/31/2001,45.3,48.1
11/30/2001,44.1,#N/A N/A
10/31/2001,40.8,#N/A N/A
9/30/2001,46.2,#N/A N/A
8/31/2001,46.3,#N/A N/A
7/31/2001,43.5,#N/A N/A
6/30/2001,43.2,#N/A N/A
5/31/2001,41.3,#N/A N/A
4/30/2001,42.7,#N/A N/A
3/31/2001,43.1,#N/A N/A
2/28/2001,42.1,#N/A N/A
1/31/2001,42.3,#N/A N/A
12/31/2000,43.9,#N/A N/A
11/30/2000,48.5,#N/A N/A
10/31/2000,48.7,#N/A N/A
9/30/2000,49.7,#N/A N/A
8/31/2000,49.9,#N/A N/A
7/31/2000,52.5,#N/A N/A
6/30/2000,51.4,#N/A N/A
5/31/2000,53.2,#N/A N/A
4/30/2000,54.7,#N/A N/A
3/31/2000,54.9,#N/A N/A
2/29/2000,55.8,#N/A N/A
1/31/2000,56.7,#N/A N/A
12/31/1999,57.8,56.8
11/30/1999,58.1,#N/A N/A
10/31/1999,57.2,#N/A N/A
9/30/1999,57,#N/A N/A
8/31/1999,54.8,#N/A N/A
7/31/1999,53.6,#N/A N/A
6/30/1999,55.8,#N/A N/A
