Security,.YARDMODL U Index                                               
Start Date,1/31/1990 0:00
End Date,5/18/2021 0:00
Period,D
,
Date,PX_LAST
5/18/2021,0.0077
5/17/2021,0.0078
5/14/2021,0.0076
5/13/2021,0.0078
5/12/2021,0.0083
5/11/2021,0.0079
5/10/2021,0.0079
5/7/2021,0.0077
5/6/2021,0.0083
5/5/2021,0.0083
5/4/2021,0.0081
5/3/2021,0.0076
4/30/2021,0.0074
4/29/2021,0.0069
4/28/2021,0.007
4/27/2021,0.0066
4/26/2021,0.0068
4/23/2021,0.0068
4/22/2021,0.0073
4/21/2021,0.0066
4/20/2021,0.0069
4/19/2021,0.0064
4/16/2021,0.0065
4/15/2021,0.007
4/14/2021,0.0061
4/13/2021,0.0059
4/12/2021,0.0057
4/9/2021,0.0058
4/8/2021,0.0062
4/7/2021,0.0062
4/6/2021,0.0064
4/5/2021,0.0059
4/1/2021,0.0064
3/31/2021,0.0057
3/30/2021,0.0058
3/29/2021,0.0053
3/26/2021,0.0057
3/25/2021,0.0066
3/24/2021,0.007
3/23/2021,0.0065
3/22/2021,0.0059
3/19/2021,0.0056
3/18/2021,0.0051
3/17/2021,0.0048
3/16/2021,0.0054
3/15/2021,0.0054
3/12/2021,0.0053
3/11/2021,0.0064
3/10/2021,0.0071
3/9/2021,0.0072
3/8/2021,0.0077
3/5/2021,0.0078
3/4/2021,0.0089
3/3/2021,0.0088
3/2/2021,0.0087
3/1/2021,0.0082
2/26/2021,0.0093
2/25/2021,0.0081
2/24/2021,0.0076
2/23/2021,0.0084
2/22/2021,0.0088
2/19/2021,0.0089
2/18/2021,0.0094
2/17/2021,0.0092
2/16/2021,0.0089
2/12/2021,0.0095
2/11/2021,0.0102
2/10/2021,0.0106
2/9/2021,0.0103
2/8/2021,0.0103
2/5/2021,0.0102
2/4/2021,0.0106
2/3/2021,0.0112
2/2/2021,0.0113
2/1/2021,0.012
1/29/2021,0.0124
1/28/2021,0.012
1/27/2021,0.0126
1/26/2021,0.0111
1/25/2021,0.011
1/22/2021,0.0107
1/21/2021,0.0105
1/20/2021,0.0108
1/19/2021,0.0113
1/15/2021,0.0112
1/14/2021,0.0106
1/13/2021,0.0108
1/12/2021,0.0101
1/11/2021,0.0102
1/8/2021,0.0096
1/7/2021,0.0099
1/6/2021,0.0105
1/5/2021,0.0119
1/4/2021,0.0129
12/31/2020,0.0057
12/30/2020,0.0058
12/29/2020,0.0055
12/28/2020,0.0054
12/24/2020,0.0057
12/23/2020,0.0055
12/22/2020,0.006
12/21/2020,0.0056
12/18/2020,0.0061
12/17/2020,0.0061
12/16/2020,0.0063
12/15/2020,0.0063
12/14/2020,0.0072
12/11/2020,0.0071
12/10/2020,0.0069
12/9/2020,0.0064
12/8/2020,0.0066
12/7/2020,0.0065
12/4/2020,0.006
12/3/2020,0.0068
12/2/2020,0.0064
12/1/2020,0.0063
11/30/2020,0.0073
11/27/2020,0.0069
11/25/2020,0.0065
11/24/2020,0.0065
11/23/2020,0.0071
11/20/2020,0.0075
11/19/2020,0.0069
11/18/2020,0.0064
11/17/2020,0.0056
11/16/2020,0.0049
11/13/2020,0.0053
11/12/2020,0.0058
11/11/2020,0.0045
11/10/2020,0.0049
11/9/2020,0.0047
11/6/2020,0.006
11/5/2020,0.0063
11/4/2020,0.0065
11/3/2020,0.0061
11/2/2020,0.0069
10/30/2020,0.0069
10/29/2020,0.0065
10/28/2020,0.0073
10/27/2020,0.006
10/26/2020,0.0056
10/23/2020,0.0045
10/22/2020,0.0043
10/21/2020,0.0046
10/20/2020,0.0045
10/19/2020,0.0053
